"Recurring_CostElementList_CostElement","Recurring_CategorySubtotal_TotalCost_AllPriorYears_val","Recurring_CategorySubtotal_TotalCost_PriorYear_val","Recurring_CategorySubtotal_TotalCost_CurrentYear_val","Recurring_CategorySubtotal_TotalCost_BudgetYearOneBase_val","Recurring_CategorySubtotal_TotalCost_BudgetYearOneOCO_val","Recurring_CategorySubtotal_TotalCost_BudgetYearOne_val","Recurring_CategorySubtotal_TotalCost_BudgetYearTwo_val","Recurring_CategorySubtotal_TotalCost_BudgetYearThree_val","Recurring_CategorySubtotal_TotalCost_BudgetYearFour_val","Recurring_CategorySubtotal_TotalCost_BudgetYearFive_val","Recurring_CategorySubtotal_TotalCost_Total_val","Recurring_CategorySubtotal_TotalCost_ToComplete_val","Recurring_CategorySubtotal_TotalCost_Continuing_val","CategorySubtotal_TotalCost_AllPriorYears_val","CategorySubtotal_TotalCost_PriorYear_val","CategorySubtotal_TotalCost_CurrentYear_val","CategorySubtotal_TotalCost_BudgetYearOneBase_val","CategorySubtotal_TotalCost_BudgetYearOneOCO_val","CategorySubtotal_TotalCost_BudgetYearOne_val","CategorySubtotal_TotalCost_BudgetYearTwo_val","CategorySubtotal_TotalCost_BudgetYearThree_val","CategorySubtotal_TotalCost_BudgetYearFour_val","CategorySubtotal_TotalCost_BudgetYearFive_val","CategorySubtotal_TotalCost_ToComplete_val","CategorySubtotal_TotalCost_Total_val","CategorySubtotal_TotalCost_Continuing_val","NonRecurring_CostElementList_CostElement","NonRecurring_CategorySubtotal_TotalCost_AllPriorYears_val","NonRecurring_CategorySubtotal_TotalCost_PriorYear_val","NonRecurring_CategorySubtotal_TotalCost_CurrentYear_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearOneBase_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearOne_val","NonRecurring_CategorySubtotal_TotalCost_ToComplete_val","NonRecurring_CategorySubtotal_TotalCost_Total_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearTwo_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearThree_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearFour_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearOneOCO_val","NonRecurring_CategorySubtotal_TotalCost_Continuing_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearFive_val","Name_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-e5d4fb0020c3f632e76cfb6da86dd903b89f76d1-0-dc93dcc4a2fdd0ac0efee60700ff42111a208e47","6.801","9.469","15.669","30.384","","30.384","","","","","","","","6.801","9.832","15.669","30.384","","30.384","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList-e5d4fb0020c3f632e76cfb6da86dd903b89f76d1-0-a26f92aae3ed04cbf771afb4fa076943ce9e275d","","0.363","","","","","","","","","","","","","e5d4fb0020c3f632e76cfb6da86dd903b89f76d1-0-05ac8b611eb66f66c6cd441e0bf7906de800a40d","e5d4fb0020c3f632e76cfb6da86dd903b89f76d1","root.record.ItemExhibitList.P5Item","e5d4fb0020c3f632e76cfb6da86dd903b89f76d1-0-cda096d45481a2021e83c4cc86f1f2f719bb6fda"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-e9968fbe0a107d70224fdf46d5c24abebfd53f2c-0-e6ff4ff3fac212f45449c0dabc4fb992ddbb9551","856.947","","","","","","","","","","","","","906.54","7.368","20.796","12.435","","12.435","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList-e9968fbe0a107d70224fdf46d5c24abebfd53f2c-0-4c4497858b3cb734e4e1715e198cabb834f9ca85","49.593","7.368","20.796","12.435","12.435","","","","","","","","","","e9968fbe0a107d70224fdf46d5c24abebfd53f2c-0-0c9bbe4efecb81f81e749efa1b6ccfe1cc1ccecc","e9968fbe0a107d70224fdf46d5c24abebfd53f2c","root.record.ItemExhibitList.P5Item","e9968fbe0a107d70224fdf46d5c24abebfd53f2c-0-ab4c687774c64df97bfc7027ef029df5964eacf7"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-e9ca57a23695a90ae97ab8bcb4c93e3128cd4d62-0-356b2bf4478a8b237551449e64b018058056e748","914.397","678.644","716.176","644.94","","644.94","","","","","","","","914.397","678.644","716.176","644.94","","644.94","","","","","","","","","","","","","","","","","","","","","","","e9ca57a23695a90ae97ab8bcb4c93e3128cd4d62-0-2562b0f8b0d53583c83de4f73b94523dd05d2410","e9ca57a23695a90ae97ab8bcb4c93e3128cd4d62","root.record.ItemExhibitList.P5Item","e9ca57a23695a90ae97ab8bcb4c93e3128cd4d62-0-7a0285be7d5cda97e1533686b0d3403ce935f2cf"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-ea00685089f1f5ae3d6b107db85f208424ac64c1-0-6b2a283058daa22edb68203d98109471c6d537f6","135.809","10.5","","","","","","","","","","","","135.809","10.5","","","","","","","","","","","","","","","","","","","","","","","","","","","ea00685089f1f5ae3d6b107db85f208424ac64c1-0-497edb6be6f2aaae4b134bea5671682936b0f6cf","ea00685089f1f5ae3d6b107db85f208424ac64c1","root.record.ItemExhibitList.P5Item","ea00685089f1f5ae3d6b107db85f208424ac64c1-0-dbc34041938c01fb5395456b971aad21ec9e7dc0"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-ea00685089f1f5ae3d6b107db85f208424ac64c1-0-a36d81e18f214a436a85638305ad9ee5e7821028","375.938","10.111","","","","","","","","","","","","375.938","10.111","","","","","","","","","","","","","","","","","","","","","","","","","","","ea00685089f1f5ae3d6b107db85f208424ac64c1-0-592eb48318bb5e86eeb375282503ca62c599a4d3","ea00685089f1f5ae3d6b107db85f208424ac64c1","root.record.ItemExhibitList.P5Item","ea00685089f1f5ae3d6b107db85f208424ac64c1-1-53afd5fbafd756b6a58698ca96d5fddcd8b6f73d"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-eb0e586dd0849a8bcc8d2f70c6635d2f5b57b390-0-f8d616f4cc636e2db5fc83504569067323e48443","341.202","21.676","23.1","29.04","","29.04","","","","","","","","341.202","21.676","23.1","29.04","","29.04","","","","","","","","","","","","","","","","","","","","","","","eb0e586dd0849a8bcc8d2f70c6635d2f5b57b390-0-40c4d45c0164969f6849228d00e6d3ff375aae10","eb0e586dd0849a8bcc8d2f70c6635d2f5b57b390","root.record.ItemExhibitList.P5Item","eb0e586dd0849a8bcc8d2f70c6635d2f5b57b390-0-818c41b9ea0600a3c034b9d1025bc20c09f8be05"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-ed01a274989398b6f9e3f2043ad454f8c249b48b-0-bb6d5ca6d44b448454ebc4b43b91afe1e80c6b7b","3449.62","","5.7","","","","","","","","3496.32","41","","3449.62","","5.7","","","","","","","","41","3496.32","","","","","","","","","","","","","","","","","ed01a274989398b6f9e3f2043ad454f8c249b48b-0-687de22d3dc475c4ddff63600fcf43444a1ad452","ed01a274989398b6f9e3f2043ad454f8c249b48b","root.record.ItemExhibitList.P5Item","ed01a274989398b6f9e3f2043ad454f8c249b48b-0-f22c3c065ec54d0fa029baed9deea7fc7f57d3e4"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-f1d3074cfdfd308335d314c600e049d8c2ac9c8f-0-047f13b53ae2175a5a39491491975cde0a786ddf","2762.28","214.288","272.592","126.707","","126.707","","","","","","","","2762.28","214.288","272.592","126.707","","126.707","","","","","","","","","","","","","","","","","","","","","","","f1d3074cfdfd308335d314c600e049d8c2ac9c8f-0-6460a71b5491b87c4bdc213739b1bb15be89fdfc","f1d3074cfdfd308335d314c600e049d8c2ac9c8f","root.record.ItemExhibitList.P5Item","f1d3074cfdfd308335d314c600e049d8c2ac9c8f-0-b25b902ecc90b24485e7cb3d7b32f6050fc21f7a"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-f1e432e2d44bfaae638f6fd652eb28d52006bcf6-0-9b1d47e5e527dc0353ea7f0000c4e10a331d08d3","0","","","5.237","","5.237","","","","","","","","0","","","5.237","","5.237","","","","","","","","","","","","","","","","","","","","","","Adv Tact Data Link Sys (ATDLS) - DR003 C2P","f1e432e2d44bfaae638f6fd652eb28d52006bcf6-0-3bad28c855b48583c119913d9213e08eb53f9ac4","f1e432e2d44bfaae638f6fd652eb28d52006bcf6","root.record.ItemExhibitList.P5Item","f1e432e2d44bfaae638f6fd652eb28d52006bcf6-0-d1672173b039994bb3eb592c1ebcce87e8541876"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-f1e432e2d44bfaae638f6fd652eb28d52006bcf6-1-079ade8f82591bb21ffc8f3b5431461ca062112e","","","0.555","2.373","","2.373","","","","","","","","","","0.555","2.373","","2.373","","","","","","","","","","","","","","","","","","","","","","Adv Tact Data Link Sys (ATDLS) - DR012 LINK 16","f1e432e2d44bfaae638f6fd652eb28d52006bcf6-1-fa98dafa28f68bed93a939b327f51513389d06a3","f1e432e2d44bfaae638f6fd652eb28d52006bcf6","root.record.ItemExhibitList.P5Item","f1e432e2d44bfaae638f6fd652eb28d52006bcf6-0-d1672173b039994bb3eb592c1ebcce87e8541876"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-f1e432e2d44bfaae638f6fd652eb28d52006bcf6-2-dab70f46fa1d1a1495cd86c489c2cd38c720918d","","","1.6","","","","","","","","","","","","","1.6","","","","","","","","","","","","","","","","","","","","","","","","","Adv Tact Data Link Sys (ATDLS) - DR014 LINK MONITORING MANAGEMENT TOOL (LMMT)","f1e432e2d44bfaae638f6fd652eb28d52006bcf6-2-f46b74d44295dd40d2ebabec520c63a1ab144feb","f1e432e2d44bfaae638f6fd652eb28d52006bcf6","root.record.ItemExhibitList.P5Item","f1e432e2d44bfaae638f6fd652eb28d52006bcf6-0-d1672173b039994bb3eb592c1ebcce87e8541876"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-f1e432e2d44bfaae638f6fd652eb28d52006bcf6-3-d2834b32bdaaf9c39ed350689453c87cdd6637c6","","","","0.575","","0.575","","","","","","","","","","","0.575","","0.575","","","","","","","","","","","","","","","","","","","","","","INSTALLATION - DR776 NON-FMP","f1e432e2d44bfaae638f6fd652eb28d52006bcf6-3-9b67c17c4354f931584361fca23a403ae04b773d","f1e432e2d44bfaae638f6fd652eb28d52006bcf6","root.record.ItemExhibitList.P5Item","f1e432e2d44bfaae638f6fd652eb28d52006bcf6-0-d1672173b039994bb3eb592c1ebcce87e8541876"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-f1e432e2d44bfaae638f6fd652eb28d52006bcf6-4-151b3bbcccecbe57f154bc488d9dc56d2c11ea3f","","","1.507","2.3","","2.3","","","","","","","","","","1.507","2.3","","2.3","","","","","","","","","","","","","","","","","","","","","","INSTALLATION - DR777 FMP","f1e432e2d44bfaae638f6fd652eb28d52006bcf6-4-5a496c66ed2b49bd203443ce25c766f39b8e7bfb","f1e432e2d44bfaae638f6fd652eb28d52006bcf6","root.record.ItemExhibitList.P5Item","f1e432e2d44bfaae638f6fd652eb28d52006bcf6-0-d1672173b039994bb3eb592c1ebcce87e8541876"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-f389ffe39e8d28f8e85dea8bc2191c6cb86d64a2-0-671ac6715bdc11b00d8a730885e900d22d225e82","245.34","30.002","21.465","","","","","","","","","","","245.34","30.002","21.465","","","","","","","","","","","","","","","","","","","","","","","","","","f389ffe39e8d28f8e85dea8bc2191c6cb86d64a2-0-5df81f3d77fdab38e79c00d8ebfe539ce1d9833f","f389ffe39e8d28f8e85dea8bc2191c6cb86d64a2","root.record.ItemExhibitList.P5Item","f389ffe39e8d28f8e85dea8bc2191c6cb86d64a2-0-97e9d2d8e873946c5e214af198156455031c9176"
"","","","","","","","","","","","","","","2315.884","621.148","288.498","203.623","","203.623","391.994","238.345","472.454","376.434","136.536","5044.916","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList-f3d947bb96c9f4da2682e62398028a6ea2f2fee0-0-7d3b34346c9a36a4019b1fbdb29a010c5e6dcaf9","2315.884","621.148","288.498","203.623","203.623","136.536","5044.916","391.994","238.345","472.454","","","376.434","Flyaway Cost Element Category","f3d947bb96c9f4da2682e62398028a6ea2f2fee0-0-fb52e1174fa1549177ad00b5e1ed1892174d8433","f3d947bb96c9f4da2682e62398028a6ea2f2fee0","root.record.ItemExhibitList.P5Item","f3d947bb96c9f4da2682e62398028a6ea2f2fee0-0-2d6e46523c7e51783cbe1b75146cc0d997a30450"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-f42df6fc904a4602397c61d4b4a26a2384a09a7b-0-8e8bb0673ca18511f14839baee6c3b439a309913","58.407","10.512","11.543","0.792","","0.792","","","","","","","","58.407","10.512","11.543","0.792","","0.792","","","","","","","","","","","","","","","","","","","","","","","f42df6fc904a4602397c61d4b4a26a2384a09a7b-0-ca797236d8f33301603caf92a4371225250f84c1","f42df6fc904a4602397c61d4b4a26a2384a09a7b","root.record.ItemExhibitList.P5Item","f42df6fc904a4602397c61d4b4a26a2384a09a7b-0-de3684520be43ca033ca1deec5f8f5d42a346d64"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-f4d1eee38f5b110f14fe9096c3fb99331deb7249-0-beca61a22a621509f315c8f15f71dd675968f118","726.431","7.088","6.841","0.16","","0.16","","","","","","","","726.431","7.088","6.841","0.16","","0.16","","","","","","","","","","","","","","","","","","","","","","","f4d1eee38f5b110f14fe9096c3fb99331deb7249-0-0970e391da669ea43a2e6840b4a4d7211b9ced18","f4d1eee38f5b110f14fe9096c3fb99331deb7249","root.record.ItemExhibitList.P5Item","f4d1eee38f5b110f14fe9096c3fb99331deb7249-0-07f776337170e0dd3a5ed763084c0fbf759e5786"
"","","","","","","","","","","","","","","16.085","","2.08","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList-f672a89d3b4b343ac31e9ffea6f0139dd3bb7051-0-ae7b8c53484f10e8641718370c69b02bf19e782e","16.085","","2.08","","","","","","","","","","","Electronic Warfare MILDEC - 1U060 ICADS","f672a89d3b4b343ac31e9ffea6f0139dd3bb7051-0-38fb346a744391eceb45ecaa4bab5e4a694350b9","f672a89d3b4b343ac31e9ffea6f0139dd3bb7051","root.record.ItemExhibitList.P5Item","f672a89d3b4b343ac31e9ffea6f0139dd3bb7051-0-5b4818af6a78b87b073b40f32c92f1e21d9f6079"
"","","","","","","","","","","","","","","","","6.343","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList-f672a89d3b4b343ac31e9ffea6f0139dd3bb7051-1-316ca55de2e687cc1c6049105121c4cc65d2efd6","","","6.343","","","","","","","","","","","Electronic Warfare MILDEC - 1U061 ICADS Variant","f672a89d3b4b343ac31e9ffea6f0139dd3bb7051-1-079235f1ac1882e0a147fa886b8133f5c2bf4fa3","f672a89d3b4b343ac31e9ffea6f0139dd3bb7051","root.record.ItemExhibitList.P5Item","f672a89d3b4b343ac31e9ffea6f0139dd3bb7051-0-5b4818af6a78b87b073b40f32c92f1e21d9f6079"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-f7e8af0893394acc876017a71c2e00e8b082401b-0-367bc2834f2cdd8b8cf85ecdf6332a5155f715fe","16.882","1.573","2.793","0.756","","0.756","","","","","","","","27.979","2.375","3.559","0.756","","0.756","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList-f7e8af0893394acc876017a71c2e00e8b082401b-0-6d0d4c67420c6badd916922d9d6fee6655c31276","11.097","0.802","0.766","","","","","","","","","","","","f7e8af0893394acc876017a71c2e00e8b082401b-0-1f75c7e82c59460207e82c6e7d862fd87734315f","f7e8af0893394acc876017a71c2e00e8b082401b","root.record.ItemExhibitList.P5Item","f7e8af0893394acc876017a71c2e00e8b082401b-0-6dc441736813b9e22cf524c9a5af3a93334e89b2"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-f82e591c4c81b6a837ce08108675832afef11cef-0-73c7dc56afe5dec0269c4685b8a8db8f83177904","221.914","128.307","129.11","134.366","","134.366","","","","","","","","221.914","128.307","129.11","134.366","","134.366","","","","","","","","","","","","","","","","","","","","","","","f82e591c4c81b6a837ce08108675832afef11cef-0-69b1c23c6cdeebb1b614833d4708d80cd9d9e563","f82e591c4c81b6a837ce08108675832afef11cef","root.record.ItemExhibitList.P5Item","f82e591c4c81b6a837ce08108675832afef11cef-1-6034cb7a82c2b566083dfb117d974f06e4e39f5f"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-fa4b3e86a037a5f97ac9b0208e32c6380776c1cf-0-4d0a70029f2bafb32907bc901c69547e4a739a0d","","3.498","2.613","4.938","","4.938","","","","","","","","","3.498","2.613","4.938","","4.938","","","","","","","","","","","","","","","","","","","","","","","fa4b3e86a037a5f97ac9b0208e32c6380776c1cf-0-1dbcd0dee69ca1687e9637d24883718d8132392a","fa4b3e86a037a5f97ac9b0208e32c6380776c1cf","root.record.ItemExhibitList.P5Item","fa4b3e86a037a5f97ac9b0208e32c6380776c1cf-0-f939ef802b29240280906d52e43f6a1c0a49767c"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-fa4b6f4e8dda0cb518b142d84e74b9dabfc616a9-0-43027ee358ba0913adcd58ce29b86540672bee79","3158.185","78.476","69.255","70.333","","70.333","","","","","","","","3158.185","78.476","69.255","70.333","","70.333","","","","","","","","","","","","","","","","","","","","","","","fa4b6f4e8dda0cb518b142d84e74b9dabfc616a9-0-3c97ec4022ff70e42c5986dd75ab9ae3fcab9b2e","fa4b6f4e8dda0cb518b142d84e74b9dabfc616a9","root.record.ItemExhibitList.P5Item","fa4b6f4e8dda0cb518b142d84e74b9dabfc616a9-0-cb907597854904712cf3d85f320e5d0008013508"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-fb8b493e456903b493231e2d5896726cb0f2bdcd-0-edd52e3781b13ce4e6435d282f4dac4a2dc38a84","9.348","19.568","","22.801","","22.801","","","","","","","","9.348","19.568","","22.801","","22.801","","","","","","","","","","","","","","","","","","","","","","","fb8b493e456903b493231e2d5896726cb0f2bdcd-0-6474626cb16c49707eb9785c8c1f00a4cd4e1ffc","fb8b493e456903b493231e2d5896726cb0f2bdcd","root.record.ItemExhibitList.P5Item","fb8b493e456903b493231e2d5896726cb0f2bdcd-0-2bcb36a579f93e43702f9403df77c5a9326730a8"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-fc1248bf929ec2bb1ce381f43d5fa1ad13fee2b2-0-ba81fcdaaff0e3fe2217ba4ddc8e4939ca7796ed","349.216","7.332","5.31","5.012","","5.012","","","","","","","","349.216","7.332","5.31","5.012","","5.012","","","","","","","","","","","","","","","","","","","","","","","fc1248bf929ec2bb1ce381f43d5fa1ad13fee2b2-0-c28e325396a0c5845ca6249e70c78413f5c48139","fc1248bf929ec2bb1ce381f43d5fa1ad13fee2b2","root.record.ItemExhibitList.P5Item","fc1248bf929ec2bb1ce381f43d5fa1ad13fee2b2-0-372dcd30d0a4d77f5f25a8937ba5dd31a1316dab"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-ff36b6c47eadd25da6c0a861ec15cbdcb45b2c68-0-2e46e3a66607c7d0a130955178ff9fb4a3c46b95","52.069","6.368","1.615","5.437","","5.437","","","","","","","","52.069","6.368","1.615","5.437","","5.437","","","","","","","","","","","","","","","","","","","","","","","ff36b6c47eadd25da6c0a861ec15cbdcb45b2c68-0-0b428905401ab6620f82b2db2fe17cb09dafb465","ff36b6c47eadd25da6c0a861ec15cbdcb45b2c68","root.record.ItemExhibitList.P5Item","ff36b6c47eadd25da6c0a861ec15cbdcb45b2c68-0-72fdcc9f521c3eb1fead13355f22d72d368a1b58"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-ff9901efec2d90efd65c1fe1692cf195fcb6e955-0-02cf5f3d49bd923d6b6c7b42baaa7eae9bf14b72","161.22","6.163","6.814","5.369","","5.369","","","","","","","","161.22","6.163","6.814","5.369","","5.369","","","","","","","","","","","","","","","","","","","","","","","ff9901efec2d90efd65c1fe1692cf195fcb6e955-0-e0ead21e5374d56d737b400dab3fb5ec86f9915a","ff9901efec2d90efd65c1fe1692cf195fcb6e955","root.record.ItemExhibitList.P5Item","ff9901efec2d90efd65c1fe1692cf195fcb6e955-0-6c5bb3a5155191490f1883d641eecff9a7d51690"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-ffc2043c1f4c6f4d405d5f4b0c70f5504a44a96b-0-2ecf705eabe5ecd4474036364cdbb22e27faa244","2472.559","128.235","25","2.38","","2.38","","","","","","","","2472.559","128.235","25","2.38","","2.38","","","","","","","","","","","","","","","","","","","","","","","ffc2043c1f4c6f4d405d5f4b0c70f5504a44a96b-0-0725c892253b6db60dbf99cd93bcba93d200452a","ffc2043c1f4c6f4d405d5f4b0c70f5504a44a96b","root.record.ItemExhibitList.P5Item","ffc2043c1f4c6f4d405d5f4b0c70f5504a44a96b-0-e45d28fb34d7fe7d47dff2154f71fabafbfc4564"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-2d96393c86368a048f1f44d70b0148cfb55ae725-0-894d7132a955392d64d930b5ec3a518d37417c5c","","","11.5","1.504","6.995","8.499","","","","","","","","","","11.5","1.504","6.995","8.499","","","","","","","","","","","","","","","","","","","","","","","2d96393c86368a048f1f44d70b0148cfb55ae725-0-ede711d47af54fdb1be7c690c01495aa1410e2cd","2d96393c86368a048f1f44d70b0148cfb55ae725","root.record.ItemExhibitList.P5Item","2d96393c86368a048f1f44d70b0148cfb55ae725-0-81088999c15625a0adc9dbfaaa21e6b38c47b158"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-2d96393c86368a048f1f44d70b0148cfb55ae725-0-800d08f74cc521b69acf6df6ab52c60bfdd134f7","","39.64","40.1","4.1","39.624","43.724","","","","","","","","","39.64","40.1","4.1","39.624","43.724","","","","","","","","","","","","","","","","","","","","","","","2d96393c86368a048f1f44d70b0148cfb55ae725-0-0336be48837ea6c9595028700efb50aa8184b653","2d96393c86368a048f1f44d70b0148cfb55ae725","root.record.ItemExhibitList.P5Item","2d96393c86368a048f1f44d70b0148cfb55ae725-1-563e19d0fe643c487c5daa339d87d4075dae43e7"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-2d96393c86368a048f1f44d70b0148cfb55ae725-0-91f23a6ef6cff4b2831b6bcde1464a024d7d1efc","","115.418","89.876","7.309","1.728","9.037","","","","","","","","","115.418","89.876","7.309","1.728","9.037","","","","","","","","","","","","","","","","","","","","","","","2d96393c86368a048f1f44d70b0148cfb55ae725-0-b569631f743f8629f9e2f81466bee752b5884409","2d96393c86368a048f1f44d70b0148cfb55ae725","root.record.ItemExhibitList.P5Item","2d96393c86368a048f1f44d70b0148cfb55ae725-2-ed6cbd1a8aadabdebe09f2892493048f5641dde4"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-3650fb56248f2ef94b3f23b49c11b0fd3efdabfe-0-7ffa8f35eb380e4850785c305ab38c42bbdeeffa","2472.559","128.235","25","2.38","25","27.38","","","","","","","","2472.559","128.235","25","2.38","25","27.38","","","","","","","","","","","","","","","","","","","","","","","3650fb56248f2ef94b3f23b49c11b0fd3efdabfe-0-10590ed8e7788ef2ad0e8aab88703a3ed35b5a3d","3650fb56248f2ef94b3f23b49c11b0fd3efdabfe","root.record.ItemExhibitList.P5Item","3650fb56248f2ef94b3f23b49c11b0fd3efdabfe-0-949317b22dca76212bb0092e91c99525c53a54c9"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-40b05472f57b01dade70cb68a29dc977b48d5710-0-6d8bcda71db2420cf1a6de1016faf291890b1b7b","53","27","15.3","","32.083","32.083","","","","","","","","53","27","15.3","","32.083","32.083","","","","","","","","","","","","","","","","","","","","","","","40b05472f57b01dade70cb68a29dc977b48d5710-0-4c6bbf5d93f758783b6ac8a1a3e2f0db5f71f7a1","40b05472f57b01dade70cb68a29dc977b48d5710","root.record.ItemExhibitList.P5Item","40b05472f57b01dade70cb68a29dc977b48d5710-0-72a2138a0fc7fd2a5aa393b407b71d8e4602fc74"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-41b4251387c0ab31e2cbc327ede98b74f35a2133-0-c4a3ee2430b7cc213e1640770ec48ca85ad37532","191.168","39.7","51.654","","51.5","51.5","","","","","","","","191.168","39.7","51.654","","51.5","51.5","","","","","","","","","","","","","","","","","","","","","","","41b4251387c0ab31e2cbc327ede98b74f35a2133-0-4ee0ed8f53320d47c7eca235e5f0f0436a1fc8de","41b4251387c0ab31e2cbc327ede98b74f35a2133","root.record.ItemExhibitList.P5Item","41b4251387c0ab31e2cbc327ede98b74f35a2133-0-28df4d286f86f3f8efc6dec4e77aac652eb88669"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-4dabc92bdb9e0d737908778fddb5b342568517d0-0-159b5a2e024c8994f7b8018c2817ce7c6a581154","1738.872","26.823","39.525","","192.62","192.62","","","","","","","","1738.872","26.823","39.525","","192.62","192.62","","","","","","","","","","","","","","","","","","","","","","","4dabc92bdb9e0d737908778fddb5b342568517d0-0-09c1cafad7e8395866f45dd7cf519446db6fcbd7","4dabc92bdb9e0d737908778fddb5b342568517d0","root.record.ItemExhibitList.P5Item","4dabc92bdb9e0d737908778fddb5b342568517d0-0-d333556caada7df29bbd814be845a57cc7e25ea9"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-50a9f2c47e3a913463b9804ae35cea45b6f8ca8a-0-60b879b85364994ead98590091ffc6d4da29a926","729.823","","53.93","146.015","36","182.015","","","","","","","","729.823","","57.665","146.015","36","182.015","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList-50a9f2c47e3a913463b9804ae35cea45b6f8ca8a-0-c5f6972f104e7423dc8cb7d1f6ea2d2b4c5a2eab","","","3.735","","","","","","","","","","","","50a9f2c47e3a913463b9804ae35cea45b6f8ca8a-0-6740e5f8f0df972873ac474a5ab8a9a8198198cc","50a9f2c47e3a913463b9804ae35cea45b6f8ca8a","root.record.ItemExhibitList.P5Item","50a9f2c47e3a913463b9804ae35cea45b6f8ca8a-0-cedb236788725c59730052ed6ce24c6156284141"
