"Name_val","Name_@footnote","Location_val","ContractDates_PriorYear_val","ContractDates_PriorYear_@footnote","ContractDates_CurrentYear_val","ContractDates_CurrentYear_@footnote","ContractDates_BudgetYearOne_val","ContractDates_BudgetYearOne_@footnote","ContractDates_BudgetYearTwo_val","ContractDates_BudgetYearThree_val","ContractDates_BudgetYearFour_val","ContractDates_BudgetYearFive_val","DeliveryDates_PriorYear_val","DeliveryDates_CurrentYear_val","DeliveryDates_BudgetYearOne_val","DeliveryDates_BudgetYearTwo_val","DeliveryDates_BudgetYearThree_val","DeliveryDates_BudgetYearFour_val","DeliveryDates_BudgetYearFive_val","AdminLeadTimeAfterOct1InMonths_val","ProductionLeadTimeAfterOct1InMonths_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"TBD","","TBD","","","","","","","","","","","","","","","","","","","","ca60d9ef77cb2594d0aabfbec7b123cd6cfc3c4b-0-6a1d142fda10a03be7ebed250e7ee58060ca9303","ca60d9ef77cb2594d0aabfbec7b123cd6cfc3c4b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","ca60d9ef77cb2594d0aabfbec7b123cd6cfc3c4b-4-a06f6fd58a26c72791e87ee1c7e44ff38154f204"
"Manufacturer Name Not Provided.","","Manufacturer Location Not Provided.","","","","","","","","","","","","","","","","","","","","caecbfbabc76a252f03524fef2ee094b2ad6ff64-0-82c3a9a6237a5bcff8faaeef2cdc96734c678405","caecbfbabc76a252f03524fef2ee094b2ad6ff64","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","caecbfbabc76a252f03524fef2ee094b2ad6ff64-0-cca488328f927272c6a695cd136c38feeec91dd4"
"TBD","",">TBD","2013-05","","2014-05","","2015-05","","","","","","2013-11","2014-11","2015-11","","","","","8","6","caecbfbabc76a252f03524fef2ee094b2ad6ff64-0-a678edfe7890adae78d7158f85ada45ed48a7df2","caecbfbabc76a252f03524fef2ee094b2ad6ff64","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","caecbfbabc76a252f03524fef2ee094b2ad6ff64-0-ad02da259c977790985ab429f236bb2f38ad46b8"
"Manufacturer Name Not Provided.","","Manufacturer Location Not Provided.","","","","","","","","","","","","","","","","","","","","caecbfbabc76a252f03524fef2ee094b2ad6ff64-0-135b732868c0fabc38dc74fbd2c929228533c8e4","caecbfbabc76a252f03524fef2ee094b2ad6ff64","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","caecbfbabc76a252f03524fef2ee094b2ad6ff64-0-65c975cba18020c96ea8e49a7e6e66f438e66424"
"NAWC AD 4.5.10","",">St. Inigoes, NAS Patuxent River MD","","","","","2014-12","","2015-12","","2017-12","2018-12","","","2015-04","2016-04","","2018-04","2019-04","2","4","cd0234fefc886a33aa0eeeff43ef244ed8f5b32b-0-6885cd0656080c33dbd9d5493f19634edadc6f2f","cd0234fefc886a33aa0eeeff43ef244ed8f5b32b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","cd0234fefc886a33aa0eeeff43ef244ed8f5b32b-0-ad334dde78e5847cf3ac90d8c4d565f40a8c2849"
"BAE International Incorporated","","Wayne, NJ","","","","","","","","","","","","","","","","","","2","","cd3b3ce34f0477c33490d56c4962c23335977468-0-7145c3adae9956b63511e68714ed32c44f410d5a","cd3b3ce34f0477c33490d56c4962c23335977468","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","cd3b3ce34f0477c33490d56c4962c23335977468-0-b60c5b414c9a7ce59c9f2bb39950fbf64a30e923"
"BAE International Incorporated","","Wayne, NJ","","","2013-12","","2014-12","","2015-12","2016-12","2017-12","2018-12","","2014-11","2015-11","2016-11","2017-11","2018-11","2019-11","2","12","cd3b3ce34f0477c33490d56c4962c23335977468-0-acb6ea86a2334f9de1edde0536c2b983d092123c","cd3b3ce34f0477c33490d56c4962c23335977468","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","cd3b3ce34f0477c33490d56c4962c23335977468-1-7af45aa3cc499f94e0d1e6160b165e1255ab9344"
"Honeywell, Incorporated","","Clearwater, FL","2012-12","","","","","","2015-12","2016-12","2017-12","2018-12","2013-11","","","2016-11","2017-11","2018-11","2019-11","2","12","cd3b3ce34f0477c33490d56c4962c23335977468-0-5a045607c6b72dcb09ca1b0636642414f0c850df","cd3b3ce34f0477c33490d56c4962c23335977468","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","cd3b3ce34f0477c33490d56c4962c23335977468-2-25d9421836941c8192f632d57824ecf8fa5faaa6"
"Various","","Various","2012-12","","2013-12","","2014-12","","2015-12","2016-12","2017-12","2018-12","2013-09","2014-09","2015-09","2016-09","2017-09","2018-09","2019-09","2","10","cd3b3ce34f0477c33490d56c4962c23335977468-0-2c86cb3fdb89e012f0b92e540c07ba47941d266a","cd3b3ce34f0477c33490d56c4962c23335977468","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","cd3b3ce34f0477c33490d56c4962c23335977468-3-20dea3c1d09c25523f2018f03499caf01d69c716"
"TBD","","TBD","","","2014-03","","2015-03","","2016-03","2017-03","2018-03","2019-03","","2014-09","2015-09","2016-09","2017-09","2018-09","2019-09","6","6","cd3b3ce34f0477c33490d56c4962c23335977468-0-ba7a5853efcefd754ffc0489d467bcd6ed437f19","cd3b3ce34f0477c33490d56c4962c23335977468","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","cd3b3ce34f0477c33490d56c4962c23335977468-4-3f45a50fae92538dc296c076c5f0242ee5e5622f"
"Prototype Integration Facility (PIF)","","Redstone Arsenal, AL","","","","","2015-06","","2016-06","2017-06","2018-06","2019-06","","","2016-03","2017-03","2018-03","2019-03","2020-03","8","10","cd3b3ce34f0477c33490d56c4962c23335977468-0-f9f5d2365c640c4b423cfcff4b2cd9cc19f92afa","cd3b3ce34f0477c33490d56c4962c23335977468","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","cd3b3ce34f0477c33490d56c4962c23335977468-5-a744f52e622bfb2aabea5229c64b811108c16108"
"Manufacturer Name Not Provided.","","Manufacturer Location Not Provided.","","","","","","","","","","","","","","","","","","","","ce67b449838c43ea66c6d213b644f6d8c595bd20-0-9f623cc139de51a3e281740019442ff9b70aecde","ce67b449838c43ea66c6d213b644f6d8c595bd20","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","ce67b449838c43ea66c6d213b644f6d8c595bd20-0-34632c39673ac0d450879610d1bc896878b7d747"
"TBD","FY16 and out is 12 months Production Lead Time",">TBD","","","","","2015-05","","2016-05","2017-05","2018-05","","","","2016-07","2017-05","2018-05","2019-05","","12","12","ce67b449838c43ea66c6d213b644f6d8c595bd20-0-8b6c09e93236209dce0165662ecadbc62290bc91","ce67b449838c43ea66c6d213b644f6d8c595bd20","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","ce67b449838c43ea66c6d213b644f6d8c595bd20-0-ab1d35d7d839d05bf16dd7d9041a5dd0addbb258"
"Manufacturer Name Not Provided.","","Manufacturer Location Not Provided.","","","","","","","","","","","","","","","","","","","","ce67b449838c43ea66c6d213b644f6d8c595bd20-0-b6738dfbd29a8e13458d2abb54dd802e483d77ad","ce67b449838c43ea66c6d213b644f6d8c595bd20","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","ce67b449838c43ea66c6d213b644f6d8c595bd20-0-46396bb05cbcc671f9aa22d6cd74e751b05d9732"
"Argon","Administrative lead time is 6-9 months;",">Union Town, PA","2013-01","","","","2015-01","","2016-01","2017-01","2018-01","2019-01","2014-03","","2016-03","2017-03","2018-03","2019-03","2020-03","6","14","ce67b449838c43ea66c6d213b644f6d8c595bd20-0-d1afc7729a3e8fcde87874faae9795d2b4d6bab6","ce67b449838c43ea66c6d213b644f6d8c595bd20","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","ce67b449838c43ea66c6d213b644f6d8c595bd20-0-03854e36109622fd8a5f8757d315021870171e77"
"Various","",">Various","2012-12","","2013-12","","2014-12","","2015-12","2016-12","2017-12","2018-12","2013-09","2014-09","2015-09","2016-09","2017-09","2018-09","2019-09","2","6","d0a1efd7e1637f24aee02ea393a1e2c0e5a74c2d-0-aae4dd98aa724f7d05eb3a8ce8fbd8219ad4818d","d0a1efd7e1637f24aee02ea393a1e2c0e5a74c2d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","d0a1efd7e1637f24aee02ea393a1e2c0e5a74c2d-0-6d0dd9db9ea1c8100852e98579d489f68138e326"
"VARIOUS","",">VARIOUS","2012-12","","2013-12","","2014-12","","2015-12","2016-12","2017-12","2018-12","2013-03","2014-03","2015-03","2016-03","2017-03","2018-03","2019-03","3","3","d0a1efd7e1637f24aee02ea393a1e2c0e5a74c2d-0-d662a68e6afa76814be3d4ec66067e6979bd1cac","d0a1efd7e1637f24aee02ea393a1e2c0e5a74c2d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","d0a1efd7e1637f24aee02ea393a1e2c0e5a74c2d-0-27fd92d8e7fdd440f1b268b2c5dcd867cecec1c1"
"Kongsberg","",">Mystic, CT","2012-12","","","","","","","","","","2013-03","","","","","","","3","6","d0a1efd7e1637f24aee02ea393a1e2c0e5a74c2d-0-496372f3711ed3a0d97f290ef067d3fcaf58eab0","d0a1efd7e1637f24aee02ea393a1e2c0e5a74c2d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","d0a1efd7e1637f24aee02ea393a1e2c0e5a74c2d-0-30c731eb3a60c9bb0b610ff5b65e2747cf412f37"
"Various","",">Various","2012-12","","","","","","","","","","2013-09","","","","","","","6","6","d0a1efd7e1637f24aee02ea393a1e2c0e5a74c2d-0-559a767713ba712b37df6943cb9641fa6327fd7e","d0a1efd7e1637f24aee02ea393a1e2c0e5a74c2d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","d0a1efd7e1637f24aee02ea393a1e2c0e5a74c2d-0-7a6a77d0f42ed083b034a7775e6be732fd47a651"
"Various","",">Various","","","","","2014-12","","2015-12","","","","","","2015-09","2016-09","","","","6","6","d0a1efd7e1637f24aee02ea393a1e2c0e5a74c2d-0-214ce16f771b1a47781af188ca0c6432ec222de3","d0a1efd7e1637f24aee02ea393a1e2c0e5a74c2d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","d0a1efd7e1637f24aee02ea393a1e2c0e5a74c2d-0-160481ea89b27082c92e4a1a0a5869914478586a"
"Lockheed Martin","","Palmdale/Hill AFB","2013-04","","","","","","","","","","2015-10","","","","","","","7","30","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-f95c557c714c50137ff6a39196b84b4f43ec7c39","d134a540fa3fd220d7cf3d1675eccc495774b4a6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-6ed1bed2913fa871cafd1c318a540eb4a155c82d"
"Lockheed Martin","","Palmdale/Hill AFB","2013-01","","2014-01","","2015-01","","2016-01","2017-01","2018-01","2019-01","2013-01","2014-01","2015-01","2016-01","2017-01","2018-01","2019-01","3","0","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-f039253e17073da1dc06367a9299db7d9b0b4ae8","d134a540fa3fd220d7cf3d1675eccc495774b4a6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-9048bf3649287a2926cc917aaecd8af4d35cbbb6"
"Pratt & Whitney","","East Hartford/Tinker AFB","2013-01","","2014-01","","2015-01","","2016-01","2017-01","2018-01","2019-01","2014-01","2015-01","2016-01","2017-01","2018-01","2019-01","2020-01","3","12","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-a8e93cf45d0fee87294475005d0013af4812d225","d134a540fa3fd220d7cf3d1675eccc495774b4a6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-5efd8c37fa91f344cfe7e4c492b90dda6dba6b8b"
"Lockheed Martin","","Palmdale/Hill AFB","2013-01","","2014-01","","2015-01","","2016-01","2017-01","2018-01","","2013-01","2014-01","2015-01","2016-01","2017-01","2018-01","","3","0","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-2ce3f0ab227de1142ccd404d0ca09346e87922cb","d134a540fa3fd220d7cf3d1675eccc495774b4a6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-43564a45d5e0fbca043038c7cb61749455d7c4d2"
"Lockheed Martin","","Palmdale/Hill AFB","2013-01","","2014-01","","","","2016-01","2017-01","2018-01","2019-01","2013-01","2014-01","","2016-01","2017-01","2018-01","2019-01","3","0","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-3b6129ebd6847c3b91f059cc72702f923ae0de52","d134a540fa3fd220d7cf3d1675eccc495774b4a6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-5b9f565fd882a152dad8617bd6ca5223fdd8fc28"
"Various","",">Various","","","","","","","","","","","","","","","","","","6","12","d17d8fb23a8878e06da6b531b885e0a0c656edd5-0-165a9303bf3407020fe604436bb72d0d86aa73e6","d17d8fb23a8878e06da6b531b885e0a0c656edd5","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","d17d8fb23a8878e06da6b531b885e0a0c656edd5-0-8d25f635fc56e3a656cbb75bc0191ecb63187a58"
"Various","",">Various","","","","","","","2016-03","2017-03","2018-03","2019-03","","","","2017-03","2018-03","2019-03","2020-03","6","12","d17d8fb23a8878e06da6b531b885e0a0c656edd5-0-8776da5980b22ef23a07b871f5647980309fd688","d17d8fb23a8878e06da6b531b885e0a0c656edd5","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","d17d8fb23a8878e06da6b531b885e0a0c656edd5-0-04d9310a21983758287dfcb2de01a239b68693cb"
"Various","",">Various","2013-03","","2014-03","","2015-03","","","","","","2014-03","2015-03","2016-03","","","","","6","12","d17d8fb23a8878e06da6b531b885e0a0c656edd5-0-979e013ae7a236d638b01d83bd6972b51d4ad994","d17d8fb23a8878e06da6b531b885e0a0c656edd5","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","d17d8fb23a8878e06da6b531b885e0a0c656edd5-0-266f9590243c0d6613882ddbe234bfddd5f6fb59"
"Various","",">Various","","","","","","","","","2018-03","","","","","","","2019-03","","6","12","d17d8fb23a8878e06da6b531b885e0a0c656edd5-0-1f36e5a70d265d29f8b519b8dd5e0437e40ce43a","d17d8fb23a8878e06da6b531b885e0a0c656edd5","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","d17d8fb23a8878e06da6b531b885e0a0c656edd5-0-6e6e53c22cc2c9b819094a76281219458d1768ef"
"Various","",">Various","","","","","","","2016-03","2017-03","","","","","","2017-03","2018-03","","","6","12","d17d8fb23a8878e06da6b531b885e0a0c656edd5-0-71d0e85ff7c806e891480ced57192ecb0f3d020e","d17d8fb23a8878e06da6b531b885e0a0c656edd5","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","d17d8fb23a8878e06da6b531b885e0a0c656edd5-0-346949ef6e0fdab5acc100d2082af240b0283142"
"Various","",">Various","2013-03","","2014-03","","2015-03","","2016-03","2017-03","2018-03","2019-03","2014-03","2015-03","2016-03","2017-03","2018-03","2019-03","2020-03","6","12","d17d8fb23a8878e06da6b531b885e0a0c656edd5-0-31e03a3e4f02e6651bb3ca6517d95479dead51a5","d17d8fb23a8878e06da6b531b885e0a0c656edd5","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","d17d8fb23a8878e06da6b531b885e0a0c656edd5-0-e84250a40e1cf232248543671ac4165e89e5592a"
"Various","",">Various","","","","","2015-03","","2016-03","2017-03","2018-03","2019-03","","","2016-03","2017-03","2018-03","2019-03","2020-03","6","12","d17d8fb23a8878e06da6b531b885e0a0c656edd5-0-e5e519bdf5d74b438ccee01a52f23f6b355c0ef4","d17d8fb23a8878e06da6b531b885e0a0c656edd5","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","d17d8fb23a8878e06da6b531b885e0a0c656edd5-0-77cbfc4affe6ce9a53230ecb4e44ffbefd086e9e"
"McAlester Army Ammunition Plant","","McAlester, OK","","","2014-01","","","","","","","","","2015-06","","","","","","3","21","d3d8c896daf4f75a657b37d1ac73bbf674e3a95d-0-91abd7ea319624004bd61a22d010455e27c5880c","d3d8c896daf4f75a657b37d1ac73bbf674e3a95d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","d3d8c896daf4f75a657b37d1ac73bbf674e3a95d-0-2318605e75e96256be73f8a8051e76ad13dd99c7"
"TBD","","TBD","2013-02","","2014-02","","2015-02","","","","","","2013-10","2014-10","2015-10","","","","","5","8","d53d4252d8b8f65d377951453a69be29cb583a81-0-412cdcabb598ff3c68e4e79d1d5ef00accb3e735","d53d4252d8b8f65d377951453a69be29cb583a81","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","d53d4252d8b8f65d377951453a69be29cb583a81-0-e0d4444c128705b9cb12f007ecf917792dae73d8"
"TBD","","TBD","","","2014-08","","2015-03","","2016-03","2017-03","2018-06","2019-03","","2015-01","2015-09","2016-09","2017-09","2018-12","2019-09","6","6","d53d4252d8b8f65d377951453a69be29cb583a81-0-705bd9be26ba392f68a4dfd86222372c77e57099","d53d4252d8b8f65d377951453a69be29cb583a81","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","d53d4252d8b8f65d377951453a69be29cb583a81-1-3e37cbb37d09791dea6655d6ceff2f0c62c80c16"
"TBD","","TBD","","","","","2015-04","","2016-04","2017-04","2018-04","2019-04","","","2015-11","2016-11","2017-11","2018-11","2019-11","7","7","d53d4252d8b8f65d377951453a69be29cb583a81-0-3ce54c32365edf2db4e2d28d85841077c73d09d5","d53d4252d8b8f65d377951453a69be29cb583a81","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","d53d4252d8b8f65d377951453a69be29cb583a81-2-795513302ea5ea08a1f5f32f8892a1ff2318fa77"
"TBD","","TBD","","","","","","","","2017-03","2018-03","","","","","","2018-01","2019-01","","6","10","d53d4252d8b8f65d377951453a69be29cb583a81-0-2bc4b4cf03904892bcd00761f7317f8fa3ebc478","d53d4252d8b8f65d377951453a69be29cb583a81","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","d53d4252d8b8f65d377951453a69be29cb583a81-3-0e80e0c0924c664597ff34ceb76f24b558ba78fb"
"NCS Technologies Inc.","Universal Computers",">Gainesville, VA","2012-11","","","","","","","","","","2013-02","","","","","","","1","3","da1ace277342a47be3c22d3fbb47177acdf7aef6-0-b216a505c04cd0c675dfced85364d8b6ea77aabd","da1ace277342a47be3c22d3fbb47177acdf7aef6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","da1ace277342a47be3c22d3fbb47177acdf7aef6-0-3471e3a2053846771ab864be77c902e0aa45fb33"
"NCS Technologies Inc.","Universal Computers",">Gainesville, VA","2012-11","","","","","","","","","","2013-02","","","","","","","1","3","da1ace277342a47be3c22d3fbb47177acdf7aef6-0-0b2d87bc5fc8a8d8cad6bd6f47521687baf32611","da1ace277342a47be3c22d3fbb47177acdf7aef6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","da1ace277342a47be3c22d3fbb47177acdf7aef6-0-c3aec137d60e31d82b00ee0c65edc82d8041f85d"
"Raytheon","AN/USQ-151, JTT-M Systems",">St. Petersburg, FL","2012-12","","2013-12","","","","","","","","2014-01","2015-01","","","","","","2","13","da1ace277342a47be3c22d3fbb47177acdf7aef6-0-1fd596a21979db96a4ed34e2f909e08a69b0a378","da1ace277342a47be3c22d3fbb47177acdf7aef6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","da1ace277342a47be3c22d3fbb47177acdf7aef6-0-a9311ff730e821865138f10d4f43e07c65454f58"
"Raytheon","AN/USQ-151, JTT-M System",">St. Petersburg, FL","2012-12","","2013-12","","","","","","","","2014-01","2015-01","","","","","","2","13","da1ace277342a47be3c22d3fbb47177acdf7aef6-0-b6487ccbb013509ad1c2b028db3fd0e15b4954a7","da1ace277342a47be3c22d3fbb47177acdf7aef6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","da1ace277342a47be3c22d3fbb47177acdf7aef6-0-bd2facc8b66b4bc75e973865218ff72d6e8b214b"
"TBD","","TBD","","","","","2015-03","","2016-07","2017-01","","","","","2016-06","2018-06","2019-01","","","6","12","daaea55b51d052005b4e775c05d917cdac9a5f9b-0-58488ee772f1c4ac4eb99e25236bb88b63cd2ec6","daaea55b51d052005b4e775c05d917cdac9a5f9b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","daaea55b51d052005b4e775c05d917cdac9a5f9b-0-993444459bff470defae590df0d056e863377a4c"
"LMIS","","Hagerstown, MD","2013-01","","","","","","","","","","","","","","","","","3","6","daaea55b51d052005b4e775c05d917cdac9a5f9b-0-7fd13f369fa9278107b559f519e3f84734449fd8","daaea55b51d052005b4e775c05d917cdac9a5f9b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","daaea55b51d052005b4e775c05d917cdac9a5f9b-1-b54bb604688e02026d0f77374e3d539112e36fb4"
"LMIS/SNC","","Hagerstown, MD","","","","","","","","","","","","","","","","","","","","daaea55b51d052005b4e775c05d917cdac9a5f9b-0-1561ad87cf742e078ca4524e08ccc1364ee47211","daaea55b51d052005b4e775c05d917cdac9a5f9b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","daaea55b51d052005b4e775c05d917cdac9a5f9b-2-1e7f38fc48e2ee2ab6b405e34fac63dff9c40bd2"
"LMIS/SNC","","Hagerstown, MD","","","","","","","","","","","","","","","","","","1","3","daaea55b51d052005b4e775c05d917cdac9a5f9b-0-89df73462a14ed50dec0c372aa8a31f320a9bc42","daaea55b51d052005b4e775c05d917cdac9a5f9b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","daaea55b51d052005b4e775c05d917cdac9a5f9b-3-4fe52b7a506a90f1a67f512b2f125028945d8927"
"The Boeing Company - All Aircraft (Excluding AV-8B)","",">St. Louis, MO","2012-12","","2013-12","","2014-12","","2015-12","2016-12","2017-12","2018-12","2015-08","2015-05","2016-05","2017-05","2018-05","2019-05","2020-05","3","18","db1fff735c2ad6b4c5670d7947c080c018b68a17-0-1df5676d4d25f75fa39ac291978bb4f1b189ad19","db1fff735c2ad6b4c5670d7947c080c018b68a17","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","db1fff735c2ad6b4c5670d7947c080c018b68a17-0-2556ba535032c9d6a9af98075f57ec0a3a0ca72a"
"Manufacturer Name Not Provided.","","Manufacturer Location Not Provided.","","","","","","","","","","","","","","","","","","","","db1fff735c2ad6b4c5670d7947c080c018b68a17-0-01d12de9851268d5c0820db7c8d51afa86454350","db1fff735c2ad6b4c5670d7947c080c018b68a17","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","db1fff735c2ad6b4c5670d7947c080c018b68a17-0-523bb64bdb7b653f7d7cdbba3cf67271b1209bb4"
"Manufacturer Name Not Provided.","","Manufacturer Location Not Provided.","","","","","","","","","","","","","","","","","","","","db1fff735c2ad6b4c5670d7947c080c018b68a17-0-b72e2773713f59d64b439c198c8e22491f6be4f4","db1fff735c2ad6b4c5670d7947c080c018b68a17","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","db1fff735c2ad6b4c5670d7947c080c018b68a17-0-1f3c8b4d8118b79e8df354819526689f45b5d187"
"Various","",">Various","2013-01","","","","","","2016-01","2017-01","2018-01","2019-01","2013-12","","","2016-12","2017-12","2018-12","2019-12","4","11","db1fff735c2ad6b4c5670d7947c080c018b68a17-0-d521b3300c6e05ea0a5b90ba2a68ac3c0aa90038","db1fff735c2ad6b4c5670d7947c080c018b68a17","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","db1fff735c2ad6b4c5670d7947c080c018b68a17-0-e0f27ca3d7afe87be83121c10db4aed28128a696"
"Manufacturer Name Not Provided.","","Manufacturer Location Not Provided.","","","","","","","","","","","","","","","","","","","","db1fff735c2ad6b4c5670d7947c080c018b68a17-0-8330f5a7f7330f2f502eacf859eff24d34243803","db1fff735c2ad6b4c5670d7947c080c018b68a17","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","db1fff735c2ad6b4c5670d7947c080c018b68a17-0-9df826a788b6c922a09d15d0c07d03b97e114ee5"
"Various","",">Various","","","","","","","","","","","","","","","","","","7","12","db1fff735c2ad6b4c5670d7947c080c018b68a17-0-d2022cce387e54d47b9a321fc6dbfd1c5440d978","db1fff735c2ad6b4c5670d7947c080c018b68a17","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","db1fff735c2ad6b4c5670d7947c080c018b68a17-0-8bee8074d2f36701fb57f0e3598416d82b052c7f"
"TBD","Administrative and Procurement lead time for Unecrypted A-Kits (MH-60S) from FY13 - FY16 is 5 months - A-Kits will be procured and installed in the same Fiscal Year (FY). Administrative and Procurement lead time for Encrypted A-Kits (CH/MH-53E, MH/HH-60H/S, MV-22B, UH-1Y) from FY16 - To Complete is 13 months - A-Kits will be procured in one FY and installed in the next.",">TBD","2012-12","","2013-12","","2014-12","","2015-12","2016-12","2017-12","2018-12","2013-03","2014-03","2015-03","2016-03","2017-10","2018-10","2019-10","3","10","db1fff735c2ad6b4c5670d7947c080c018b68a17-0-b052c7d55084ad11538ae58d37ff03c00f1ebcbc","db1fff735c2ad6b4c5670d7947c080c018b68a17","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","db1fff735c2ad6b4c5670d7947c080c018b68a17-0-5120741c1b1061cc6f0a7793ac00b0faaa1ede7f"
"TBD","",">TBD","","","2013-11","","2014-11","","2015-11","2016-11","2017-11","2018-11","","2015-02","2016-02","2017-02","2018-02","2019-02","2020-02","2","15","db1fff735c2ad6b4c5670d7947c080c018b68a17-0-a53241b1770ed9b4e6d9324432c8322de9499d97","db1fff735c2ad6b4c5670d7947c080c018b68a17","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","db1fff735c2ad6b4c5670d7947c080c018b68a17-0-6b9a04bd05a388d82f657251c95e1f2124c8f4a9"
"Various","",">Various","2013-03","","2014-03","","","","","","","","2013-10","2014-10","","","","","","6","7","db1fff735c2ad6b4c5670d7947c080c018b68a17-0-fc08836a9535cb4541b182576d9a314f128df00f","db1fff735c2ad6b4c5670d7947c080c018b68a17","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","db1fff735c2ad6b4c5670d7947c080c018b68a17-0-2bd57b3bf9a673b33574ad7e9fc5b546c52c28f6"
