"Name_@footnote","Name_val","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_ToComplete_val","Cost_TotalCost_Total_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_Continuing_val","Cost_TotalCost_BudgetYearFive_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_PriorYear_val","Cost_Quantity_AllPriorYears_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_Quantity_ToComplete_val","Cost_Quantity_Total_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_UnitCost_BudgetYearOneBase_val","Cost_UnitCost_BudgetYearOne_val","Cost_UnitCost_PriorYear_val","Cost_UnitCost_AllPriorYears_val","Cost_UnitCost_CurrentYear_val","Cost_UnitCost_BudgetYearTwo_val","Cost_UnitCost_BudgetYearThree_val","Cost_UnitCost_BudgetYearFour_val","Cost_UnitCost_BudgetYearFive_val","Cost_UnitCost_ToComplete_val","Cost_UnitCost_Total_val","Cost_UnitCost_BudgetYearOneOCO_val","Cost_AllPriorYears_TotalCost_val","Cost_AllPriorYears_UnitCost_val","Cost_AllPriorYears_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_PriorYear_UnitCost_val","Cost_PriorYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_CurrentYear_UnitCost_val","Cost_CurrentYear_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneBase_UnitCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearOne_UnitCost_val","Cost_BudgetYearOne_Quantity_val","Cost_ToComplete_TotalCost_val","Cost_ToComplete_UnitCost_val","Cost_ToComplete_Quantity_val","Cost_Total_TotalCost_val","Cost_Total_UnitCost_val","Cost_Total_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearTwo_UnitCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearThree_UnitCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFour_UnitCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFive_TotalCost_val","Cost_BudgetYearFive_UnitCost_val","Cost_BudgetYearFive_Quantity_val","ManufacturerList_Manufacturer","AllPriorYearsDeliveries_val","IdCode_val","Remarks_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"","1.2.3) Other","293.844","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cd853530d7156d2fc7d67a7a924b17c7f4f1f18f-2-7d4b77abec7de90b928c2c5570d9dff349696e19","cd853530d7156d2fc7d67a7a924b17c7f4f1f18f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","cd853530d7156d2fc7d67a7a924b17c7f4f1f18f-0-2b860cf54a04c7d63223c170744116fe10ec0a6b"
"","Airframe Modifications and Mission Equipment","","","","17.4","17.4","","","","","","","","","1","1","","","","","","","","","","","17.4","17.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ce4c9497ec102099fa43d27aeb84cdd98c5ad4ad-0-19e662f4d7394c3141fb0371f8750083cf79cbf2","ce4c9497ec102099fa43d27aeb84cdd98c5ad4ad","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","ce4c9497ec102099fa43d27aeb84cdd98c5ad4ad-0-62469a03756f4fa5300806fd3c173d92377c6567"
"Cost element 1.2.1 non-recurring costs increase in FY 2015 for correction of deficiencies in the Electronic Support Measures system, Airborne Low Frequency Sonar (ALFS) reliability improvements to improve system availability and commencement of production line shutdown activities.","1.2.1) Non-Recur Cost","404.263","14.338","5.6","26.803","26.803","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d06f776b3838b9690f014e7de05dcde9225f3675-0-e7727c77d1c59bb4938919968e011eaa4d2825e3","d06f776b3838b9690f014e7de05dcde9225f3675","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","d06f776b3838b9690f014e7de05dcde9225f3675-0-2e9d9613880a2b664f96359574304c3f61f39908"
"","1.2.2) Ancillary Eqpt","544.677","46.038","61.129","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d06f776b3838b9690f014e7de05dcde9225f3675-1-936e1b3a6d701a265d33f8e19fb80eb4041dbcea","d06f776b3838b9690f014e7de05dcde9225f3675","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","d06f776b3838b9690f014e7de05dcde9225f3675-0-2e9d9613880a2b664f96359574304c3f61f39908"
"","1.2.3) Termination Liability","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d06f776b3838b9690f014e7de05dcde9225f3675-2-32cff1e0097e67aaf68dbc608fde90087344ff3d","d06f776b3838b9690f014e7de05dcde9225f3675","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","d06f776b3838b9690f014e7de05dcde9225f3675-0-2e9d9613880a2b664f96359574304c3f61f39908"
"","Training Aids","","","1.656","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d5b7917858c3fcafbce18d34a6e0d998f774b7cb-0-b03b7888b8b3d78681a48f6bfb1e5fd4bb2a3763","d5b7917858c3fcafbce18d34a6e0d998f774b7cb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","d5b7917858c3fcafbce18d34a6e0d998f774b7cb-0-a7cfdbb34721a66e5edbe69537002d7d5a7d2365"
"","Non-Recurring Eng (ABCT)","","","12.177","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d5d31fee9447968ffe026b3ad36a6e70c8fb7627-0-e722e4d67c22339bd938c63e2cb80809fd032769","d5d31fee9447968ffe026b3ad36a6e70c8fb7627","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","d5d31fee9447968ffe026b3ad36a6e70c8fb7627-0-6f818ba046e1774af08e4c80a0209ef56780b44d"
"FY15 requirement for Non-Recurring Cost (Line 1.2.1) is driven by need to triple production capability by FY18, to meet the full-rate production level/quantity. Non-recurring Costs include such items as DoN share of Production Non-Recurring Tooling per the Joint Strike Fighter (JSF) Production, Sustainment, and Follow-on-Development Memorandum of Understanding (MOU) between the U.S. and eight partner nations cooperating in the production, sustainment and follow-on development of the JSF.  In addition, it includes funding for Diminishing Manufacturing, concurrency engineering, techincal assistance and Cost Reduction Intiatives (CRI).","1.2.1) Non- Recur Cost","310.041","25.385","88.484","218.617","218.617","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d65af189eff26da1f3e1e7e45c5cc213158052d8-0-b345eb8f86c3ae2cfedfb138bf1afae698be5730","d65af189eff26da1f3e1e7e45c5cc213158052d8","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","d65af189eff26da1f3e1e7e45c5cc213158052d8-0-1ad1f8042aa6a524e7931c2f1683e72ebfa7b397"
"","1.2.2) Ancillary Equip","64.328","48.41","46.263","46.515","46.515","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d65af189eff26da1f3e1e7e45c5cc213158052d8-1-df1c10394bc7dd7429f22e187fc5c7337846b4c2","d65af189eff26da1f3e1e7e45c5cc213158052d8","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","d65af189eff26da1f3e1e7e45c5cc213158052d8-0-1ad1f8042aa6a524e7931c2f1683e72ebfa7b397"
"","PRODUCTION FACILITIZATION","","28.131","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","e580193d057234bd3dea1cca33b8f9730534a76a-0-450c02a2491649ff73c7d350a62855e218661491","e580193d057234bd3dea1cca33b8f9730534a76a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","e580193d057234bd3dea1cca33b8f9730534a76a-0-726100aa85282128677644bf041bcac8a37e762c"
"","1.2.1) Advanced ManPads Integration (A-MANPADS) Non-Recurring","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","e5d4fb0020c3f632e76cfb6da86dd903b89f76d1-0-0fbf5555231b37931c1972d76c569b4880612c21","e5d4fb0020c3f632e76cfb6da86dd903b89f76d1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","e5d4fb0020c3f632e76cfb6da86dd903b89f76d1-0-05ac8b611eb66f66c6cd441e0bf7906de800a40d"
"","1.2.2) Identification Friend or Foe (IFF) Non-Recurring","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","e5d4fb0020c3f632e76cfb6da86dd903b89f76d1-1-c9731125e5fc9295ec148da2f53218a53599d127","e5d4fb0020c3f632e76cfb6da86dd903b89f76d1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","e5d4fb0020c3f632e76cfb6da86dd903b89f76d1-0-05ac8b611eb66f66c6cd441e0bf7906de800a40d"
"","1.2.3) AN/PRC 117-G","","0.363","","","","","","","","","","","","","","11","","","","","","","","","","","","33000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","e5d4fb0020c3f632e76cfb6da86dd903b89f76d1-2-4f2b43fad7da79815f4c3f9002acabe8a2c57635","e5d4fb0020c3f632e76cfb6da86dd903b89f76d1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","e5d4fb0020c3f632e76cfb6da86dd903b89f76d1-0-05ac8b611eb66f66c6cd441e0bf7906de800a40d"
"","1.2.1) Vehicle Modifications","49.494","4.25","17.532","9.049","9.049","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","e9968fbe0a107d70224fdf46d5c24abebfd53f2c-0-5d7bde2be47b2bd03e0a1aa2e17b41c44b7ce673","e9968fbe0a107d70224fdf46d5c24abebfd53f2c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","e9968fbe0a107d70224fdf46d5c24abebfd53f2c-0-0c9bbe4efecb81f81e749efa1b6ccfe1cc1ccecc"
"","1.2.2) Nonrecurring Engineering and Tooling","","1.438","1.368","1.44","1.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","e9968fbe0a107d70224fdf46d5c24abebfd53f2c-1-a23f5663b2dc82f1272fcb7c4abdf70cdff715c4","e9968fbe0a107d70224fdf46d5c24abebfd53f2c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","e9968fbe0a107d70224fdf46d5c24abebfd53f2c-0-0c9bbe4efecb81f81e749efa1b6ccfe1cc1ccecc"
"","1.2.3) Engineering Change Orders (ECO)","","1.518","1.545","1.591","1.591","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","e9968fbe0a107d70224fdf46d5c24abebfd53f2c-2-c8f4a78b3fc4374c58537f52ce653a6c19f91538","e9968fbe0a107d70224fdf46d5c24abebfd53f2c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","e9968fbe0a107d70224fdf46d5c24abebfd53f2c-0-0c9bbe4efecb81f81e749efa1b6ccfe1cc1ccecc"
"","1.2.4) Reserve Vehicle Modifications","0.099","0.162","0.351","0.355","0.355","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","e9968fbe0a107d70224fdf46d5c24abebfd53f2c-3-6e843f0d33762c74d5708ae9c0f82f0680141aab","e9968fbe0a107d70224fdf46d5c24abebfd53f2c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","e9968fbe0a107d70224fdf46d5c24abebfd53f2c-0-0c9bbe4efecb81f81e749efa1b6ccfe1cc1ccecc"
"","MQ-9 Reaper Aircraft and GFE","1901.763","436.837","254.35","189.957","189.957","0.000","3872.902","322.027","175.113","337.876","","","254.979","12","12","36","204","20","22","11","22","16","","343","","15.83","15.83","12.134","9.322","12.718","14.638","15.919","15.358","15.936","","11.291","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList-f3d947bb96c9f4da2682e62398028a6ea2f2fee0-0-51f510323529fdc5733c82bdf70eacfbea74c3c0","84","B","","f3d947bb96c9f4da2682e62398028a6ea2f2fee0-0-7690f65314d066398abc845f198b0d077eec7b5c","f3d947bb96c9f4da2682e62398028a6ea2f2fee0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","f3d947bb96c9f4da2682e62398028a6ea2f2fee0-0-fb52e1174fa1549177ad00b5e1ed1892174d8433"
"","Production Support","114.023","183.811","32.229","12.48","12.48","11.012","438.889","16.385","11.516","29.117","","","28.316","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","B","","f3d947bb96c9f4da2682e62398028a6ea2f2fee0-1-331672b6b0005208ea6f5e82bcfbf4b8f59758f1","f3d947bb96c9f4da2682e62398028a6ea2f2fee0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","f3d947bb96c9f4da2682e62398028a6ea2f2fee0-0-fb52e1174fa1549177ad00b5e1ed1892174d8433"
"","Fixed Ground Control Station and GFE","128.949","","","","","125.524","376.615","13.834","21.374","","","","86.934","","","","53","","4","6","","23","32","118","","","","","2.433","","3.459","3.562","","3.78","3.923","3.192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList-f3d947bb96c9f4da2682e62398028a6ea2f2fee0-2-7c84a680275f0114176f16a09a894a4bc930d475","33","B","","f3d947bb96c9f4da2682e62398028a6ea2f2fee0-2-4643c1f19921313b4131ee9a0bfbf3bd7797f618","f3d947bb96c9f4da2682e62398028a6ea2f2fee0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","f3d947bb96c9f4da2682e62398028a6ea2f2fee0-0-fb52e1174fa1549177ad00b5e1ed1892174d8433"
"","Mobile Ground Control Station and GFE","2.377","","","","","0.000","163.361","24.288","29.188","103.084","","","4.424","","","","1","","6","7","24","1","","39","","","","","2.377","","4.048","4.17","4.295","4.424","","4.189","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList-f3d947bb96c9f4da2682e62398028a6ea2f2fee0-3-7a583bd3ecce83b0f99fbcd28781339f70272f08","0","B","","f3d947bb96c9f4da2682e62398028a6ea2f2fee0-3-b42f9851c525be261020c9a95db90c48969a4db3","f3d947bb96c9f4da2682e62398028a6ea2f2fee0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","f3d947bb96c9f4da2682e62398028a6ea2f2fee0-0-fb52e1174fa1549177ad00b5e1ed1892174d8433"
"","Dual Ground Control Station and GFE","16.143","","","","","0.000","16.143","","","","","","","","","","5","","","","","","","5","","","","","3.229","","","","","","","3.229","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList-f3d947bb96c9f4da2682e62398028a6ea2f2fee0-4-0c4c3ccfdf8a7451a2019f17f6b569c1af8e440d","0","B","","f3d947bb96c9f4da2682e62398028a6ea2f2fee0-4-85456767d08bf879dd0cf0e1fd1d0e99109f7b0a","f3d947bb96c9f4da2682e62398028a6ea2f2fee0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","f3d947bb96c9f4da2682e62398028a6ea2f2fee0-0-fb52e1174fa1549177ad00b5e1ed1892174d8433"
"","Ground Data Terminals","47.381","","","","","0.000","47.381","","","","","","","","","","125","","","","","","","125","","","","","0.379","","","","","","","0.379","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList-f3d947bb96c9f4da2682e62398028a6ea2f2fee0-5-ef6d9a85e9c22db820ada39fb8cae8c6159b4adb","0","B","","f3d947bb96c9f4da2682e62398028a6ea2f2fee0-5-690161e95d1dbed3c00422dcdca0a992ffc0e979","f3d947bb96c9f4da2682e62398028a6ea2f2fee0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","f3d947bb96c9f4da2682e62398028a6ea2f2fee0-0-fb52e1174fa1549177ad00b5e1ed1892174d8433"
"","Predator Primary Satellite Link (PPSL)","105.248","0.5","1.919","1.186","1.186","0.000","129.625","15.46","1.154","2.377","","","1.781","","","","27","","4","","","","","31","","","","","3.898","","3.865","","","","","4.181","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList-f3d947bb96c9f4da2682e62398028a6ea2f2fee0-6-21bfeb8bd08c725e2a9180985b602d1a28388bb5","0","B","","f3d947bb96c9f4da2682e62398028a6ea2f2fee0-6-273244c04925f8a2d276dd258e456dd00f471fc0","f3d947bb96c9f4da2682e62398028a6ea2f2fee0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","f3d947bb96c9f4da2682e62398028a6ea2f2fee0-0-fb52e1174fa1549177ad00b5e1ed1892174d8433"
"","1.1.1) ICADS","14.005","","","","","","","","","","","","","","","","1","","","","","","","","","","","","14005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","f672a89d3b4b343ac31e9ffea6f0139dd3bb7051-0-4ff69ddb0d05ae6c67431fc8de560af969be6b9e","f672a89d3b4b343ac31e9ffea6f0139dd3bb7051","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","f672a89d3b4b343ac31e9ffea6f0139dd3bb7051-0-38fb346a744391eceb45ecaa4bab5e4a694350b9"
"","1.1.2) ICADS Engineering Change Proposals (ECPs)","2.08","","2.08","","","","","","","","","","","","","","4","4","","","","","","","","","","","520","520","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","f672a89d3b4b343ac31e9ffea6f0139dd3bb7051-1-489e0348e58ed0141ac02c7257b8bff316581d73","f672a89d3b4b343ac31e9ffea6f0139dd3bb7051","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","f672a89d3b4b343ac31e9ffea6f0139dd3bb7051-0-38fb346a744391eceb45ecaa4bab5e4a694350b9"
"","2.1.1) Variant","","","6.343","","","","","","","","","","","","","","","3","","","","","","","","","","","","2114.333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","f672a89d3b4b343ac31e9ffea6f0139dd3bb7051-0-64c919ae61b1d9fd49048813eaab19308861d86d","f672a89d3b4b343ac31e9ffea6f0139dd3bb7051","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","f672a89d3b4b343ac31e9ffea6f0139dd3bb7051-1-079235f1ac1882e0a147fa886b8133f5c2bf4fa3"
"","1.2.1) Q Battery Equipment for FOC","9.905","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","f7e8af0893394acc876017a71c2e00e8b082401b-0-dcd49ef8daa2c64f11fa3eb12ed970c839b8e247","f7e8af0893394acc876017a71c2e00e8b082401b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","f7e8af0893394acc876017a71c2e00e8b082401b-0-1f75c7e82c59460207e82c6e7d862fd87734315f"
"","1.2.2) Common Test Device","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","f7e8af0893394acc876017a71c2e00e8b082401b-1-500e1fa4c89269b0488aa20fcdfa152ceb2e49cd","f7e8af0893394acc876017a71c2e00e8b082401b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","f7e8af0893394acc876017a71c2e00e8b082401b-0-1f75c7e82c59460207e82c6e7d862fd87734315f"
"","1.2.3) Sapphire Glass","0.992","0.802","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","f7e8af0893394acc876017a71c2e00e8b082401b-2-0ac32b29fc91b1d292baf240da66664f5f5ce89e","f7e8af0893394acc876017a71c2e00e8b082401b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","f7e8af0893394acc876017a71c2e00e8b082401b-0-1f75c7e82c59460207e82c6e7d862fd87734315f"
"","1.2.4) RSS Upgrades","","","0.766","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","f7e8af0893394acc876017a71c2e00e8b082401b-3-bdbb599554ac098741380b0994e6d7ea832a83c5","f7e8af0893394acc876017a71c2e00e8b082401b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","f7e8af0893394acc876017a71c2e00e8b082401b-0-1f75c7e82c59460207e82c6e7d862fd87734315f"
"","Non-Recurring Engineering","","","3.735","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50a9f2c47e3a913463b9804ae35cea45b6f8ca8a-0-7125a61c00ee1bf52f46d5b18872f05030aaa932","50a9f2c47e3a913463b9804ae35cea45b6f8ca8a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","50a9f2c47e3a913463b9804ae35cea45b6f8ca8a-0-6740e5f8f0df972873ac474a5ab8a9a8198198cc"
"","MQ-9 Reaper Aircraft and GFE","1901.763","436.837","254.35","189.957","379.917","0.000","4062.862","322.027","175.113","337.876","189.96","","254.979","12","24","36","204","20","22","11","22","16","","355","12","15.83","15.83","12.134","9.322","12.718","14.638","15.919","15.358","15.936","","11.445","15.83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList-b491f3d8e2bd8e073fa80cd1bc9f6847144cba72-0-a21eb7166b7a4d7f436546964e8b2055e8266b4c","84","","","b491f3d8e2bd8e073fa80cd1bc9f6847144cba72-0-f9550d523cefed97ddad7723e973ae4680b07dd0","b491f3d8e2bd8e073fa80cd1bc9f6847144cba72","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","b491f3d8e2bd8e073fa80cd1bc9f6847144cba72-0-9d3a468ad2977281f762448dc608555918c08178"
"","Production Support","114.023","183.811","32.229","12.48","14.52","11.012","440.929","16.385","11.516","29.117","2.04","","28.316","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b491f3d8e2bd8e073fa80cd1bc9f6847144cba72-1-186e2b18f01cff2514e3b2693d42420fd74b2642","b491f3d8e2bd8e073fa80cd1bc9f6847144cba72","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","b491f3d8e2bd8e073fa80cd1bc9f6847144cba72-0-9d3a468ad2977281f762448dc608555918c08178"
"","Fixed Ground Control Station and GFE","128.949","","","","","125.524","376.615","13.834","21.374","","","","86.934","","","","53","","4","6","","23","32","118","","","","","2.433","","3.459","3.562","","3.78","3.923","3.192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList-b491f3d8e2bd8e073fa80cd1bc9f6847144cba72-2-668b0d51ef174ca3a76582d881734cb46774cf5d","33","","","b491f3d8e2bd8e073fa80cd1bc9f6847144cba72-2-9711f0731f285a5c345564a543d3e98db7a15f5a","b491f3d8e2bd8e073fa80cd1bc9f6847144cba72","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","b491f3d8e2bd8e073fa80cd1bc9f6847144cba72-0-9d3a468ad2977281f762448dc608555918c08178"
"","Mobile Ground Control Station and GFE","2.377","","","","","0.000","163.361","24.288","29.188","103.084","","","4.424","","","","1","","6","7","24","1","","39","","","","","2.377","","4.048","4.17","4.295","4.424","","4.189","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList-b491f3d8e2bd8e073fa80cd1bc9f6847144cba72-3-25594a0768a0a0adb1d7dadd81af58ead0824e14","0","","","b491f3d8e2bd8e073fa80cd1bc9f6847144cba72-3-d8451192d3ebf14bd35e8d3ab18b89a23cf6ef0e","b491f3d8e2bd8e073fa80cd1bc9f6847144cba72","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","b491f3d8e2bd8e073fa80cd1bc9f6847144cba72-0-9d3a468ad2977281f762448dc608555918c08178"
"","Dual Ground Control Station and GFE","16.143","","","","","0.000","16.143","","","","","","","","","","5","","","","","","","5","","","","","3.229","","","","","","","3.229","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList-b491f3d8e2bd8e073fa80cd1bc9f6847144cba72-4-20f87d68a6aeca2e11fa7908fe9dc3e76232b2e4","0","","","b491f3d8e2bd8e073fa80cd1bc9f6847144cba72-4-5e0db27e0b10c57a1274c66671c6fcb734fa2b88","b491f3d8e2bd8e073fa80cd1bc9f6847144cba72","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","b491f3d8e2bd8e073fa80cd1bc9f6847144cba72-0-9d3a468ad2977281f762448dc608555918c08178"
