"Name_val","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_ToComplete_val","Cost_TotalCost_Total_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_Continuing_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_Quantity_AllPriorYears_val","Cost_UnitCost_PriorYear_val","Cost_UnitCost_CurrentYear_val","Cost_UnitCost_BudgetYearOneBase_val","Cost_UnitCost_BudgetYearOne_val","Cost_UnitCost_BudgetYearTwo_val","Cost_UnitCost_BudgetYearThree_val","Cost_UnitCost_BudgetYearFour_val","Cost_UnitCost_BudgetYearFive_val","Cost_UnitCost_AllPriorYears_val","Cost_AllPriorYears_TotalCost_val","Cost_AllPriorYears_UnitCost_val","Cost_AllPriorYears_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_PriorYear_UnitCost_val","Cost_PriorYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_CurrentYear_UnitCost_val","Cost_CurrentYear_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneBase_UnitCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearOne_UnitCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_TotalCost_val","Cost_ToComplete_TotalCost_val","Cost_ToComplete_UnitCost_val","Cost_ToComplete_Quantity_val","Cost_Total_TotalCost_val","Cost_Total_Quantity_val","Cost_Total_UnitCost_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOneOCO_UnitCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearFive_TotalCost_val","ManufacturerList_Manufacturer","IdCode_val","AllPriorYearsDeliveries_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Technical Data","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","0.000","","","0.000","","","0.043","","","0.043","","","","","","0","0.000","0","0.043","0","","","","","","","","","10d01190b0a82c5d54464168aa70bd4314f10d98-1-92b583c7fc453a58375ca87389a2e5c0ce5543aa","10d01190b0a82c5d54464168aa70bd4314f10d98","root.record.ItemExhibitList.P5Item","10d01190b0a82c5d54464168aa70bd4314f10d98-1-1591c976156b5973aa875b408b4c2ac5da4921e0"
"Stockpile Systems (Nuclear Planning & Execution System)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.357","0.357","1","0.357","0.089","4","0.357","0.089","4","0.684","0.684","1","0.684","0.684","1","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-22fbfba3006f3424a4d8436320a36bedf4eb643c-0-d67130a7d1dd8d09e2f8780d465ecf3deca4d68c","A","","22fbfba3006f3424a4d8436320a36bedf4eb643c-0-4a82afff74866f1693caa969b25ffdd84d631b89","22fbfba3006f3424a4d8436320a36bedf4eb643c","root.record.ItemExhibitList.P5Item","22fbfba3006f3424a4d8436320a36bedf4eb643c-0-dee355ffd31eef03c86e51766d133c3f3a771ada"
"IA Situational Awarness/Command & Control","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9","0.9","1","0.1","0.1","1","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-22fbfba3006f3424a4d8436320a36bedf4eb643c-1-cfa82fb46e23c4e4f2e500519734c98026ec4f47","A","","22fbfba3006f3424a4d8436320a36bedf4eb643c-1-fca9514aedcf5aa20eecf7f272a7d96d1a8001fa","22fbfba3006f3424a4d8436320a36bedf4eb643c","root.record.ItemExhibitList.P5Item","22fbfba3006f3424a4d8436320a36bedf4eb643c-0-dee355ffd31eef03c86e51766d133c3f3a771ada"
"NACT Monitoring Site Equipment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.934","1.934","1","1.934","1.934","1","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-22fbfba3006f3424a4d8436320a36bedf4eb643c-2-22777c435d883b863250e6a10d4d026a9850aa80","A","","22fbfba3006f3424a4d8436320a36bedf4eb643c-2-95bd16e2181dc6f43dcf44edb7e06c6bc5d0a64b","22fbfba3006f3424a4d8436320a36bedf4eb643c","root.record.ItemExhibitList.P5Item","22fbfba3006f3424a4d8436320a36bedf4eb643c-0-dee355ffd31eef03c86e51766d133c3f3a771ada"
"Nimble Elder Tactical/Communication Vehicles","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","A","","22fbfba3006f3424a4d8436320a36bedf4eb643c-0-26e9846952aaa5a5eb7fa4bd9c5291a89c89320b","22fbfba3006f3424a4d8436320a36bedf4eb643c","root.record.ItemExhibitList.P5Item","22fbfba3006f3424a4d8436320a36bedf4eb643c-1-5436354fc85378fa7250b1a5e346f42ae5020110"
"Virtual Server Farms Capability, Networks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.326","3.326","1","3.326","3.326","1","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-22fbfba3006f3424a4d8436320a36bedf4eb643c-0-e5cfe528f4ee0c052992fe4fe71305d3b2032d7f","A","","22fbfba3006f3424a4d8436320a36bedf4eb643c-0-0c2f2b3865c114b25c9eaff05d4c17055a6502dc","22fbfba3006f3424a4d8436320a36bedf4eb643c","root.record.ItemExhibitList.P5Item","22fbfba3006f3424a4d8436320a36bedf4eb643c-2-299f84257ddfff420f46b9a3e0469165bf92a8ae"
"Network Telecom Equipment and Services (5th Signal Command Darmstadt, Germany)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.15","0.15","1","","","","","","","","","","","","","","","","","","","","","","","","","","","A","","22fbfba3006f3424a4d8436320a36bedf4eb643c-1-65c1a3ba05199b5587ca066c9848096ab080c1ed","22fbfba3006f3424a4d8436320a36bedf4eb643c","root.record.ItemExhibitList.P5Item","22fbfba3006f3424a4d8436320a36bedf4eb643c-2-299f84257ddfff420f46b9a3e0469165bf92a8ae"
"Equipment Purchase Phase II","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.362","4.362","1","","","","","","","","","","","","","","","","","","","","","","","","","","","A","","22fbfba3006f3424a4d8436320a36bedf4eb643c-2-4dc29c7c651b2314ebcc4dbdc544e87c8ad7297a","22fbfba3006f3424a4d8436320a36bedf4eb643c","root.record.ItemExhibitList.P5Item","22fbfba3006f3424a4d8436320a36bedf4eb643c-2-299f84257ddfff420f46b9a3e0469165bf92a8ae"
"IT Installation Kleber Germany","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.629","1.629","1","","","","","","","","","","","","","","","","","","","","","","","","","","","A","","22fbfba3006f3424a4d8436320a36bedf4eb643c-3-6cc7acea65e473a92afe96a46a0a14bab6d994c3","22fbfba3006f3424a4d8436320a36bedf4eb643c","root.record.ItemExhibitList.P5Item","22fbfba3006f3424a4d8436320a36bedf4eb643c-2-299f84257ddfff420f46b9a3e0469165bf92a8ae"
"Virtual Desktop Infrastructure (VDI)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.703","2.703","1","","","","","","","","","","","","","","","","","","","","","","","","","","","A","","22fbfba3006f3424a4d8436320a36bedf4eb643c-4-bfc021bc2bbfe3187aae84d567dea24f2afeede9","22fbfba3006f3424a4d8436320a36bedf4eb643c","root.record.ItemExhibitList.P5Item","22fbfba3006f3424a4d8436320a36bedf4eb643c-2-299f84257ddfff420f46b9a3e0469165bf92a8ae"
"DTRA DMZ and Server Access Architecture Site 1 and 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.779","2.779","1","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-22fbfba3006f3424a4d8436320a36bedf4eb643c-5-713c5c1f24cb1a2c85b7366d9701b689d1b74a68","A","","22fbfba3006f3424a4d8436320a36bedf4eb643c-5-47ea71544fa87ef7614a45f6dbdadf279215e9a8","22fbfba3006f3424a4d8436320a36bedf4eb643c","root.record.ItemExhibitList.P5Item","22fbfba3006f3424a4d8436320a36bedf4eb643c-2-299f84257ddfff420f46b9a3e0469165bf92a8ae"
"WAN Acceleration and Deep Packet Inspection Infrastructure (Site 1 and Site 2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.471","4.471","1","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-22fbfba3006f3424a4d8436320a36bedf4eb643c-6-32e8cafc84ff991766b458eb309dd22ed722f33a","A","","22fbfba3006f3424a4d8436320a36bedf4eb643c-6-0134615542e1e261a58050cafcb2810d923da8d3","22fbfba3006f3424a4d8436320a36bedf4eb643c","root.record.ItemExhibitList.P5Item","22fbfba3006f3424a4d8436320a36bedf4eb643c-2-299f84257ddfff420f46b9a3e0469165bf92a8ae"
"Reachback Analyst Workstations and Peripherals","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.107","0.107","1","0.106","0.106","1","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-22fbfba3006f3424a4d8436320a36bedf4eb643c-7-c3cd5c1e95941ab576a514ee5454f93f6c998162","A","","22fbfba3006f3424a4d8436320a36bedf4eb643c-7-1b3f2cec377568c66200802d3fd5d159eb471d48","22fbfba3006f3424a4d8436320a36bedf4eb643c","root.record.ItemExhibitList.P5Item","22fbfba3006f3424a4d8436320a36bedf4eb643c-2-299f84257ddfff420f46b9a3e0469165bf92a8ae"
"DTRA Server Infrastructure (Site 1 and Site 2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.538","2.538","1","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-22fbfba3006f3424a4d8436320a36bedf4eb643c-8-f600ee579d4aa085cc300bb0a2e7d534154b935d","A","","22fbfba3006f3424a4d8436320a36bedf4eb643c-8-9c9d2ac519474d1f3b31c26245ebc4c4d3706c6d","22fbfba3006f3424a4d8436320a36bedf4eb643c","root.record.ItemExhibitList.P5Item","22fbfba3006f3424a4d8436320a36bedf4eb643c-2-299f84257ddfff420f46b9a3e0469165bf92a8ae"
"Reachback Computational Servers/Data Storage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.21","0.21","1","0.424","0.424","1","0.564","0.564","1","0.564","0.564","1","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-22fbfba3006f3424a4d8436320a36bedf4eb643c-9-bff60e9adb16fa41373a4d7849290d59b7fbbb74","A","","22fbfba3006f3424a4d8436320a36bedf4eb643c-9-0559d42e8a992a96685a6654d9d3b343d973fa4d","22fbfba3006f3424a4d8436320a36bedf4eb643c","root.record.ItemExhibitList.P5Item","22fbfba3006f3424a4d8436320a36bedf4eb643c-2-299f84257ddfff420f46b9a3e0469165bf92a8ae"
"Reachback Server, Metrological Data","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.123","0.123","1","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-22fbfba3006f3424a4d8436320a36bedf4eb643c-10-f68e3c64e41af072427cda14157414d481be239d","A","","22fbfba3006f3424a4d8436320a36bedf4eb643c-10-435665323ca3ae7706c1ca6ac1d10b720b1388ff","22fbfba3006f3424a4d8436320a36bedf4eb643c","root.record.ItemExhibitList.P5Item","22fbfba3006f3424a4d8436320a36bedf4eb643c-2-299f84257ddfff420f46b9a3e0469165bf92a8ae"
"Albquerque Physcial Plant Modernization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.55","1.55","1","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-22fbfba3006f3424a4d8436320a36bedf4eb643c-11-383968fc43befe98f9bf95c7d25fcd1ac94739d7","A","","22fbfba3006f3424a4d8436320a36bedf4eb643c-11-30492962d343334a7f795eb1d2627935cc17329e","22fbfba3006f3424a4d8436320a36bedf4eb643c","root.record.ItemExhibitList.P5Item","22fbfba3006f3424a4d8436320a36bedf4eb643c-2-299f84257ddfff420f46b9a3e0469165bf92a8ae"
"DTRA Storage Infrastructure Modernization (Site 1)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.11","2.11","1","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-22fbfba3006f3424a4d8436320a36bedf4eb643c-12-ae07e92ac57380296da905ad3ae283de9b515bce","A","","22fbfba3006f3424a4d8436320a36bedf4eb643c-12-d469d79f1330f4cef6fc2e4c5a2d823734ca0ac5","22fbfba3006f3424a4d8436320a36bedf4eb643c","root.record.ItemExhibitList.P5Item","22fbfba3006f3424a4d8436320a36bedf4eb643c-2-299f84257ddfff420f46b9a3e0469165bf92a8ae"
"DTRA VOIP System (Inlcuding access layer software for Site1 and Site 2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.337","0.337","1","0.571","0.571","1","3.872","3.872","1","3.119","3.119","1","3.119","3.119","1","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-22fbfba3006f3424a4d8436320a36bedf4eb643c-13-df16737f5196eaf81d8eb197be1974197c49b9ff","A","","22fbfba3006f3424a4d8436320a36bedf4eb643c-13-0cbe364e8b5d9da988bb0a70171b598d1960cc5f","22fbfba3006f3424a4d8436320a36bedf4eb643c","root.record.ItemExhibitList.P5Item","22fbfba3006f3424a4d8436320a36bedf4eb643c-2-299f84257ddfff420f46b9a3e0469165bf92a8ae"
"CNDSP (Site 2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.749","0.749","1","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-22fbfba3006f3424a4d8436320a36bedf4eb643c-14-46ca02548b550e4fde4381710f717ce65acc2757","A","","22fbfba3006f3424a4d8436320a36bedf4eb643c-14-9a5ad40f789e99b2c99a22bacd57cbf1e6d235d1","22fbfba3006f3424a4d8436320a36bedf4eb643c","root.record.ItemExhibitList.P5Item","22fbfba3006f3424a4d8436320a36bedf4eb643c-2-299f84257ddfff420f46b9a3e0469165bf92a8ae"
"Synchronus MetroCluster (Unclassified)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.928","4.928","1","3.35","3.35","1","3.35","3.35","1","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-22fbfba3006f3424a4d8436320a36bedf4eb643c-15-274f30a3d0f5267f84fb30d4a126dad6ce4a2fcf","A","","22fbfba3006f3424a4d8436320a36bedf4eb643c-15-140fb0330ce993341ab112ee0994285d7483b53d","22fbfba3006f3424a4d8436320a36bedf4eb643c","root.record.ItemExhibitList.P5Item","22fbfba3006f3424a4d8436320a36bedf4eb643c-2-299f84257ddfff420f46b9a3e0469165bf92a8ae"
"Reachback Server, Numerical Weather","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.05","0.05","1","0.196","0.196","1","0.196","0.196","1","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-22fbfba3006f3424a4d8436320a36bedf4eb643c-16-bb405992470cd8ca170d591c47e9c470b3731866","A","","22fbfba3006f3424a4d8436320a36bedf4eb643c-16-60da5849a5b42460a15efa9aeba368ba63bd8325","22fbfba3006f3424a4d8436320a36bedf4eb643c","root.record.ItemExhibitList.P5Item","22fbfba3006f3424a4d8436320a36bedf4eb643c-2-299f84257ddfff420f46b9a3e0469165bf92a8ae"
"Software Quality Assurance (SQA) Toolset","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5","0.5","1","0.222","0.222","1","0.222","0.222","1","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-22fbfba3006f3424a4d8436320a36bedf4eb643c-17-31e70a8cf3f481f357880363c2e0878bf1dd5a22","A","","22fbfba3006f3424a4d8436320a36bedf4eb643c-17-0b62be306251c94f8a5072d3c6cd619dc6d8445a","22fbfba3006f3424a4d8436320a36bedf4eb643c","root.record.ItemExhibitList.P5Item","22fbfba3006f3424a4d8436320a36bedf4eb643c-2-299f84257ddfff420f46b9a3e0469165bf92a8ae"
"Blue Coat (hardware Proxy Devices) (Red River Computer Company, Fort Belvoir VA)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.503","0.503","1","","","","","","","","","","","","","","","","","","","","","","","","","","","A","","22fbfba3006f3424a4d8436320a36bedf4eb643c-18-0bd5f198b50bd356bd74a6c7031957682d87bfbd","22fbfba3006f3424a4d8436320a36bedf4eb643c","root.record.ItemExhibitList.P5Item","22fbfba3006f3424a4d8436320a36bedf4eb643c-2-299f84257ddfff420f46b9a3e0469165bf92a8ae"
"DASR Site Activation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.856","20856000","1","12.892","12892000","1","10.755","10755000","1","3.382","3382000","1","3.382","3382000","1","","","","0.000","0.00","0","47.885","4","11971250","","","","","","A","","2962b44d9b1f2bc29a22cce469ae6cfc9d37f5be-0-01367474ba609dd776a032c925deed1c0929835b","2962b44d9b1f2bc29a22cce469ae6cfc9d37f5be","root.record.ItemExhibitList.P5Item","2962b44d9b1f2bc29a22cce469ae6cfc9d37f5be-0-7a79f9381126648d2796ab92d1a9e4394229ac58"
"Logistics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.317","0.863","5","0.476","0.119","4","0.516","0.172","3","0.516","0.172","3","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-312b2c88d247f5d7320c92f47afa70e1f171872d-0-1fdac6bf064221a9d83148445cf8f85863c5b946","A","","312b2c88d247f5d7320c92f47afa70e1f171872d-0-0244072011e689d8c85d6c730cb24a287d48330e","312b2c88d247f5d7320c92f47afa70e1f171872d","root.record.ItemExhibitList.P5Item","312b2c88d247f5d7320c92f47afa70e1f171872d-0-e16b4aef9b7128739063fe8e8b0c0a3463a3e6fb"
"Advanced Threat Box Logistics Support","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.576","","","0.805","","","0.473","","","0.000","","","0.000","","","","","","0","0.000","0","2.854","0","","","","","","","","","40d365317c2695995273930668a57d384a824c91-0-a697ae28b9000ed5eba74c863f52f8fa555b4921","40d365317c2695995273930668a57d384a824c91","root.record.ItemExhibitList.P5Item","40d365317c2695995273930668a57d384a824c91-4-08c039d1ebd3ed9abd01382115821c8ebde34c18"
"Domestic Response Capability Logistics Support","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","0.000","","","2.587","","","3.87","","","3.87","","","","","","0","0.000","0","6.457","0","","","","","","","","","40d365317c2695995273930668a57d384a824c91-1-869141b14e8b02252754b7ad6cb28f4d9f9531ac","40d365317c2695995273930668a57d384a824c91","root.record.ItemExhibitList.P5Item","40d365317c2695995273930668a57d384a824c91-4-08c039d1ebd3ed9abd01382115821c8ebde34c18"
"Domestic Response Capability Contractor Logistics Support","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","0.000","","","2.95","","","0.000","","","0.000","","","","","","0","0.000","0","2.95","0","","","","","","","","","40d365317c2695995273930668a57d384a824c91-0-e008786855177c522b38cc60ab36c82958a61e80","40d365317c2695995273930668a57d384a824c91","root.record.ItemExhibitList.P5Item","40d365317c2695995273930668a57d384a824c91-7-ac277a5b0a8f0b4ed4a3f129dc1be2c39ba139b4"
"Interim Contractor Support - Labor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.149","","","27.014","","","","","","","","","","","","","","","0.000","","","39.163","","","","","","","","B","","63a09f2d24509e3e49dc113e41bc696fedd4b156-0-c973e74b22cdc6a8e43f427c423a9427f01a935e","63a09f2d24509e3e49dc113e41bc696fedd4b156","root.record.ItemExhibitList.P5Item","63a09f2d24509e3e49dc113e41bc696fedd4b156-0-a20f9292c4bbb773612735685c1c45dd048ac711"
"Interim Contractor Support - Material","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.005","","","21.845","","","","","","","","","","","","","","","0.000","","","27.85","","","","","","","","B","","63a09f2d24509e3e49dc113e41bc696fedd4b156-1-1559735bc4592336951701e655782ef0abbefccd","63a09f2d24509e3e49dc113e41bc696fedd4b156","root.record.ItemExhibitList.P5Item","63a09f2d24509e3e49dc113e41bc696fedd4b156-0-a20f9292c4bbb773612735685c1c45dd048ac711"
"Interim Contractor Support - Deployment Support","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.891","","","0.097","","","","","","","","","","","","","","","0.000","","","88.988","","","","","","","","B","","63a09f2d24509e3e49dc113e41bc696fedd4b156-2-efc192a444196e3d5a64486cef1f15d38217ca4d","63a09f2d24509e3e49dc113e41bc696fedd4b156","root.record.ItemExhibitList.P5Item","63a09f2d24509e3e49dc113e41bc696fedd4b156-0-a20f9292c4bbb773612735685c1c45dd048ac711"
"Organic Depot Activation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.014","","","","","","","","","","","","","","","","","","0.000","","","0.014","","","","","","","","B","","63a09f2d24509e3e49dc113e41bc696fedd4b156-3-2c1e4cb067746e66a2764513a8f100b229b98666","63a09f2d24509e3e49dc113e41bc696fedd4b156","root.record.ItemExhibitList.P5Item","63a09f2d24509e3e49dc113e41bc696fedd4b156-0-a20f9292c4bbb773612735685c1c45dd048ac711"
"Production Support","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0.000","0","1.213","","","0.653","","","0.664","","","0.664","","","","","","","","","","","","","","","","","A","","64e91e4fc2468d9a18a33d7bb4b01b68e0838119-0-9fd96fb20d56570395ee89a56b0ef4a8d5cf7a1b","64e91e4fc2468d9a18a33d7bb4b01b68e0838119","root.record.ItemExhibitList.P5Item","64e91e4fc2468d9a18a33d7bb4b01b68e0838119-1-2288c4630b0f0b0bfe4e87780645f87644f515fd"
"Government Support","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0.000","0","0.317","","","0.51","","","0.51","","","0.51","","","","","","","","","","","","","","","","","A","","64e91e4fc2468d9a18a33d7bb4b01b68e0838119-1-e52408bd8ad03d2a5558da73e1cd153e10109e0b","64e91e4fc2468d9a18a33d7bb4b01b68e0838119","root.record.ItemExhibitList.P5Item","64e91e4fc2468d9a18a33d7bb4b01b68e0838119-1-2288c4630b0f0b0bfe4e87780645f87644f515fd"
"NonRecurring Engineering Support","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.314","","","0.314","","","","","","","","","","","","","","","","","B","","64e91e4fc2468d9a18a33d7bb4b01b68e0838119-0-d0cd57fdf74ab904585a5c03472c23102fe43680","64e91e4fc2468d9a18a33d7bb4b01b68e0838119","root.record.ItemExhibitList.P5Item","64e91e4fc2468d9a18a33d7bb4b01b68e0838119-2-c1aef17d0c7329f124c2d7c6eedd8b0c0815b6e6"
"Support Equipment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.263","","","6.965","","","13.604","","","13.604","","","","","","","","","","","","","","","","","B","","64e91e4fc2468d9a18a33d7bb4b01b68e0838119-1-a8b6f40b5bb7b82f95f3395d016d10801c7119d7","64e91e4fc2468d9a18a33d7bb4b01b68e0838119","root.record.ItemExhibitList.P5Item","64e91e4fc2468d9a18a33d7bb4b01b68e0838119-2-c1aef17d0c7329f124c2d7c6eedd8b0c0815b6e6"
"TECHNICAL DATA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.06","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","0.000","0.000","0.000","","","0.06","","","","","","","","A","","7ab0d52bda370f7b26c1c5b5bfdb85c6894c074f-0-6658278d24e700c67653b6a5ac9c80b4c9a5a4a3","7ab0d52bda370f7b26c1c5b5bfdb85c6894c074f","root.record.ItemExhibitList.P5Item","7ab0d52bda370f7b26c1c5b5bfdb85c6894c074f-0-f0253a8787b765ab3a4a3e820e535c998e2150da"
"Initial Spares & Repairs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","0.000","","","2.45","","","2.45","","","","","","","","","","","","","","","","","","","a7daaf12ceb3a343b9a6d25d5fa9045bec36b77f-0-18866351db46178b6a94058e034a0874db6132fe","a7daaf12ceb3a343b9a6d25d5fa9045bec36b77f","root.record.ItemExhibitList.P5Item","a7daaf12ceb3a343b9a6d25d5fa9045bec36b77f-0-b223004d7e7d79c94d9f6751632e59696d035ede"
"Data","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","0.000","","","0.5","","","0.5","","","","","","","","","","","","","","","","","","","a7daaf12ceb3a343b9a6d25d5fa9045bec36b77f-1-c42c9080f3a97cca8ab3e492f56591542ce56f41","a7daaf12ceb3a343b9a6d25d5fa9045bec36b77f","root.record.ItemExhibitList.P5Item","a7daaf12ceb3a343b9a6d25d5fa9045bec36b77f-0-b223004d7e7d79c94d9f6751632e59696d035ede"
"Data/Training/CLS/Support Equipment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","2.701","","","1.156","","","1.156","","","","","","","","","","","","","","","","","","","d5f22e934702c10c003bf006b2412f8b596b6fbf-0-863f15509f67249a4f8dfc6052beea9327e6db23","d5f22e934702c10c003bf006b2412f8b596b6fbf","root.record.ItemExhibitList.P5Item","d5f22e934702c10c003bf006b2412f8b596b6fbf-0-8267d2f01e999f6e1c3a3c62df27496c9f8dede9"
"Fielding","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","4.164","","","1.502","","","1.502","","","","","","","","","","","","","","","","","","","d5f22e934702c10c003bf006b2412f8b596b6fbf-1-093f907b000073a75414575bb2ed3d60de4b2318","d5f22e934702c10c003bf006b2412f8b596b6fbf","root.record.ItemExhibitList.P5Item","d5f22e934702c10c003bf006b2412f8b596b6fbf-0-8267d2f01e999f6e1c3a3c62df27496c9f8dede9"
