"ProgramElementNumber_val","ProgramElementFunding_Quantity_AllPriorYears_val","ProgramElementFunding_Quantity_Total_val","ProgramElementFunding_Quantity_PriorYear_val","ProgramElementFunding_Quantity_CurrentYear_val","ProgramElementFunding_Quantity_BudgetYearOneBase_val","ProgramElementFunding_Quantity_BudgetYearOne_val","ProgramElementFunding_Quantity_BudgetYearTwo_val","ProgramElementFunding_Quantity_BudgetYearThree_val","ProgramElementFunding_Quantity_BudgetYearFour_val","ProgramElementFunding_Quantity_BudgetYearFive_val","ProgramElementFunding_Quantity_ToComplete_val","ProgramElementFunding_TotalCost_AllPriorYears_val","ProgramElementFunding_TotalCost_PriorYear_val","ProgramElementFunding_TotalCost_CurrentYear_val","ProgramElementFunding_TotalCost_BudgetYearOneBase_val","ProgramElementFunding_TotalCost_BudgetYearOne_val","ProgramElementFunding_TotalCost_BudgetYearTwo_val","ProgramElementFunding_TotalCost_BudgetYearThree_val","ProgramElementFunding_TotalCost_Total_val","ProgramElementFunding_TotalCost_BudgetYearFour_val","ProgramElementFunding_TotalCost_BudgetYearFive_val","ProgramElementFunding_TotalCost_ToComplete_val","ProgramElementFunding_TotalCost_BudgetYearOneOCO_val","ProgramElementFunding_AllPriorYears_Quantity_val","ProgramElementFunding_AllPriorYears_TotalCost_val","ProgramElementFunding_PriorYear_Quantity_val","ProgramElementFunding_PriorYear_TotalCost_val","ProgramElementFunding_CurrentYear_Quantity_val","ProgramElementFunding_CurrentYear_TotalCost_val","ProgramElementFunding_BudgetYearOneBase_Quantity_val","ProgramElementFunding_BudgetYearOneBase_TotalCost_val","ProgramElementFunding_BudgetYearOneOCO_Quantity_val","ProgramElementFunding_BudgetYearOneOCO_TotalCost_val","ProgramElementFunding_BudgetYearOne_Quantity_val","ProgramElementFunding_BudgetYearOne_TotalCost_val","ProgramElementFunding_BudgetYearTwo_Quantity_val","ProgramElementFunding_BudgetYearTwo_TotalCost_val","ProgramElementFunding_BudgetYearThree_Quantity_val","ProgramElementFunding_BudgetYearThree_TotalCost_val","ProgramElementFunding_BudgetYearFour_Quantity_val","ProgramElementFunding_BudgetYearFour_TotalCost_val","ProgramElementFunding_BudgetYearFive_Quantity_val","ProgramElementFunding_BudgetYearFive_TotalCost_val","ProgramElementFunding_ToComplete_Quantity_val","ProgramElementFunding_ToComplete_TotalCost_val","ProgramElementFunding_Total_Quantity_val","ProgramElementFunding_Total_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"0604933F","","","","","","","","","","","","51.854","65.37","118.411","59.826","59.826","88.473","124.882","2053.892","196.04","223.436","1125.6","","","","","","","","","","","","","","","","","","","","","","","","","","1a3b4d58a815807acfaffc26fca6d9ba4349caad-0-69e383a4dbe0f7db9a78b0326f5bc0e9a9edb685","1a3b4d58a815807acfaffc26fca6d9ba4349caad","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","1a3b4d58a815807acfaffc26fca6d9ba4349caad-0-181ffcebdc5cd09c1b9ef208302c066c51b82f51"
"0101213F","","","","","","","","","","","","","","","1.96","1.96","8.68","5.36","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1a3b4d58a815807acfaffc26fca6d9ba4349caad-0-a8603f5cd1377265e5b10cbc7517c2d380af9e22","1a3b4d58a815807acfaffc26fca6d9ba4349caad","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","1a3b4d58a815807acfaffc26fca6d9ba4349caad-0-f26ca7060cd833861292c9448752e41740e36c11"
"1160482BB","","","","","","","","","","","","227.562","5.528","1.251","13.5","13.5","12.758","3","269.262","2.554","3.109","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","3807b1ef1c83efea892c6cee0f06b4147ad6efe5-0-1fd8d063cc5f0ab5f5afca9b5f43433e4fd5c4f0","3807b1ef1c83efea892c6cee0f06b4147ad6efe5","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","3807b1ef1c83efea892c6cee0f06b4147ad6efe5-0-024c71823cd9cf56991c97c3f00779d5894e1f73"
"0605213F","","","","","","","","","","","","","110.432","115","173.647","173.647","141.575","73.042","616.545","1.411","1.438","","","","","","","","","","","","","","","","","","","","","","","","","","","44cfc7410d5aa83e42c0e16dc81c1bbb836b2fb3-0-c5a5235c1321b483fa781decf61b262007efc73a","44cfc7410d5aa83e42c0e16dc81c1bbb836b2fb3","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","44cfc7410d5aa83e42c0e16dc81c1bbb836b2fb3-0-a29d823713bbdd696a8e02488fc8bb68244ecc76"
"0302015F","","","","","","","","","","","","","14.906","0.068","1.692","1.692","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4d632ae30e4c7b1a61745c6d2f2b1a4fcdb113bc-0-97e876af78c99382c31960c7d8dcaa5aa27945b1","4d632ae30e4c7b1a61745c6d2f2b1a4fcdb113bc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","4d632ae30e4c7b1a61745c6d2f2b1a4fcdb113bc-0-4f4e9b6d743f4c514bdba72721fd164ecdf439dc"
"0302015F","","","","1","1","1","","","","","","","","12.573","27.078","27.078","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4d632ae30e4c7b1a61745c6d2f2b1a4fcdb113bc-0-85424a20345f1453c143b5cc497cbcc64a803697","4d632ae30e4c7b1a61745c6d2f2b1a4fcdb113bc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","4d632ae30e4c7b1a61745c6d2f2b1a4fcdb113bc-0-2ecd459f6699ce1653be8125cbdff68a56ea53b9"
"0207417F","","","","","","","","","","","","90.07","6.13","21.572","1.5","1.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63c27a1db8c9855347ee3c7bb05b2e3945329a2e-0-d91f0fbed61c07d249a29be46eca37f29504b2b2","63c27a1db8c9855347ee3c7bb05b2e3945329a2e","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","63c27a1db8c9855347ee3c7bb05b2e3945329a2e-0-779a0901ecd45c7d9f16e445d5bff7636422b620"
"0401115F","","","","","","","","","","","","","4.98","0.4","0.000","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","662ecfd7c8e7953a926545f6153c3d5094fdf462-0-c8a145e77fd40d5764e13d83a96a8cfc21be7478","662ecfd7c8e7953a926545f6153c3d5094fdf462","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","662ecfd7c8e7953a926545f6153c3d5094fdf462-0-642acb42f947c00832638ee5cbf57f9af30fb263"
"0401115F","","","","","","","","","","","","","4.98","0.4","0.000","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","662ecfd7c8e7953a926545f6153c3d5094fdf462-0-ee6a4da3654097c468040bda24c610db7c0ce093","662ecfd7c8e7953a926545f6153c3d5094fdf462","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","662ecfd7c8e7953a926545f6153c3d5094fdf462-0-3d688d24e417be862df212c397c8ee5727a25dab"
"0303601F","","55208","","","55208","55208","","","","","","","","","3.933","3.933","","","3.933","","","","","","","","","","","","","","","","","","","","","","","","","","","","","671361293cec2ddf7189549f1349884f7d180dc0-0-22ef309d561db9ed2161a13b0fc6f38edd1c81c0","671361293cec2ddf7189549f1349884f7d180dc0","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","671361293cec2ddf7189549f1349884f7d180dc0-0-26f4160fe9c08ba3c659264f3c94f014536f9382"
"0401219F","2","","","","","","","","","","","96.201","19.041","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7569fecf65e5f63c83ee6d9ec660a957fa28f6f1-0-5fde024bfcc079343e41a91c8637a27d428cef44","7569fecf65e5f63c83ee6d9ec660a957fa28f6f1","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","7569fecf65e5f63c83ee6d9ec660a957fa28f6f1-0-69eb9a9c5c2971b029b63cba09df19bcf4152e58"
"0303601F","","","","","","","","","","","","740.865","88.925","140.17","55.897","55.897","3.979","0.000","1029.836","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7b9729675540aa264e9d26b72606c5021da8f129-0-8323f0fd5ce4bf830586674b0ad963d91b49775b","7b9729675540aa264e9d26b72606c5021da8f129","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","7b9729675540aa264e9d26b72606c5021da8f129-0-e5b68c42b14543c46d85bd4d94a7df468adc6d2d"
"1160403BB","","","","","","","","","","","","6.255","","","","","","","6.255","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8ce449dcb1c5f8e5105b0b81cb1d700ae70eaef9-0-f1be20513bf03855156a632e5888e2a3c9617d06","8ce449dcb1c5f8e5105b0b81cb1d700ae70eaef9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","8ce449dcb1c5f8e5105b0b81cb1d700ae70eaef9-0-5cffd994fda58a9cb48d9cf0bc8a2a988d7826a3"
"1160403BB","","","","","","","","","","","","","","","7","7","12.838","13.615","47.14","6.787","6.9","","","","","","","","","","","","","","","","","","","","","","","","","","","8ce449dcb1c5f8e5105b0b81cb1d700ae70eaef9-0-1527996698abb013e4483d3dbe6e216e4fe0d74a","8ce449dcb1c5f8e5105b0b81cb1d700ae70eaef9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","8ce449dcb1c5f8e5105b0b81cb1d700ae70eaef9-0-736e328eb88942772309e142083bfabcc4c917c3"
"1160403BB","","","","","","","","","","","","129.2","21.985","12.2","","","","","168.385","","5","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","8ce449dcb1c5f8e5105b0b81cb1d700ae70eaef9-0-078f60437303d00708e666fa3ff5754879c60934","8ce449dcb1c5f8e5105b0b81cb1d700ae70eaef9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","8ce449dcb1c5f8e5105b0b81cb1d700ae70eaef9-0-3b31528e0bf590f1625a9b91837aa07720adcd79"
"0101113F","2","","","","","","","","","","","19.866","0.751","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","968e3fc86a5aec93a38d2f8e0380880f966417d4-0-44f26b45a6f01777e0ba2e376bafcf800291861b","968e3fc86a5aec93a38d2f8e0380880f966417d4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","968e3fc86a5aec93a38d2f8e0380880f966417d4-0-edeee042e764f680ec26b253769a439cb4058014"
"0101113F","2","","","","","","","","","","","286.965","0.000","12.634","14.5","14.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","968e3fc86a5aec93a38d2f8e0380880f966417d4-0-4eeb53e7d478e9478a1636515259564686ad3148","968e3fc86a5aec93a38d2f8e0380880f966417d4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","968e3fc86a5aec93a38d2f8e0380880f966417d4-0-ef56e365b7e171c8a310229461d18644f954de7f"
"0101113F","","","3","","","","","","","","","50.322","15.659","4.373","41.134","41.134","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","968e3fc86a5aec93a38d2f8e0380880f966417d4-0-d3f7a3a85951b5da1ac679e281ed1fbf16d67ba4","968e3fc86a5aec93a38d2f8e0380880f966417d4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","968e3fc86a5aec93a38d2f8e0380880f966417d4-0-7a3eb3b5eea0cd8aab2d06e4a34a68afba27adf2"
"0101113F","4","","2","","","","","","","","","14.134","1.202","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","968e3fc86a5aec93a38d2f8e0380880f966417d4-0-9aef62753d5cdf48db6e77790a8ac6ca473c935a","968e3fc86a5aec93a38d2f8e0380880f966417d4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","968e3fc86a5aec93a38d2f8e0380880f966417d4-0-fc5031645ab9cb2f0591f6df90a2eb82954a7d02"
"0401130F","0","0","","","","","","","","","","283.938","","","","","","","283.938","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-838904ac2163d273b7dc5f39a86ce025773ff48a","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-155dc2ce3996bfd6240c692d31b664e8ed10b4e3"
"0401130F","","","","","","","","","","","","24.911","2.5","","","","","","27.411","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-1f7151f830292f4fff5a5f6fc7e15e9aa7d952c5","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-b602a99c3798266b3df8a0ca7feee8c8be308fc5"
"0401130F","","","","","","","","","","","","0.237","11.714","24.38","27.834","27.834","15.045","1.84","81.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-81ef7f470ca18130f265de2837cf424e1cf6313c","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-e4765b66cf2a00e35a8b05ce1be1d7d80d703817"
"0401130F","","","","","","","","","","","","27.889","","","","","","","27.889","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-0373f19079272b229d2f1b63b61a30aea3968caa","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-d99f9ce800fb29f877e31dcd776d73764bbe8011"
"1160403BB","","","","","","","","","","","","18.975","18.437","50.213","27.88","27.88","15.382","","130.887","","","","","","","","","","","","","","","","","","","","","","","","","","","","","a45853f0c1ca6988d070b4196fb81d1bfa4ea899-0-5f9aeaedc497acb82c24a86034d949a4a0164557","a45853f0c1ca6988d070b4196fb81d1bfa4ea899","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","a45853f0c1ca6988d070b4196fb81d1bfa4ea899-0-251d619f7995e4ca423c5c8ccf384b7e5e27f4b7"
"1160429BB","","","","","","","","","","","","19.17","6.935","0.000","0.000","0.000","0.000","","26.105","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","b94b93f15afb091de921271e68ddcbaeb4885aff-0-46005f02131d7a218d82f2836b126ba65d24cfe0","b94b93f15afb091de921271e68ddcbaeb4885aff","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b94b93f15afb091de921271e68ddcbaeb4885aff-0-8c78c52b961b8baadaebe9c3a2b443b9fab4c914"
"1160403BB","","","","","","","","","","","","","","5.457","2.848","2.848","0.6","","8.905","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b94b93f15afb091de921271e68ddcbaeb4885aff-1-533e63e51423c30c6cec40f9c308fd88dc4e5596","b94b93f15afb091de921271e68ddcbaeb4885aff","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b94b93f15afb091de921271e68ddcbaeb4885aff-0-8c78c52b961b8baadaebe9c3a2b443b9fab4c914"
"1160429BB","","","","","","","","","","","","6.317","10.874","0.000","","","","","17.191","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","b94b93f15afb091de921271e68ddcbaeb4885aff-0-cefea4a413b65508eaeafb2052034858f0caec8d","b94b93f15afb091de921271e68ddcbaeb4885aff","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b94b93f15afb091de921271e68ddcbaeb4885aff-0-cd1faddd7d94ac5b14f3b9d6097b238bf361149a"
"1160403BB","","","","","","","","","","","","","","3.872","1.076","1.076","0.579","0.411","6.357","0.419","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","b94b93f15afb091de921271e68ddcbaeb4885aff-1-72eca0b37efe22ce9d8a2fb113d673b8a5bd030d","b94b93f15afb091de921271e68ddcbaeb4885aff","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b94b93f15afb091de921271e68ddcbaeb4885aff-0-cd1faddd7d94ac5b14f3b9d6097b238bf361149a"
"0101127F","4","4","","","","","","","","","","463.465","0.465","","","","","","463.93","","","","","","","","","","","","","","","","","","","","","","","","","","","","","bf9c1f84cf43b78b975c1ea4a267a8a15daa1fbf-0-2b8d2ed5bc94eef4bfeb8a51062adfa1a8752907","bf9c1f84cf43b78b975c1ea4a267a8a15daa1fbf","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bf9c1f84cf43b78b975c1ea4a267a8a15daa1fbf-0-d55d8db8ccbc9e94b0b37d88ffe085e0e25231a8"
"0101126F","","","","","","","","","","","","162.988","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","c4a26dbea460703e501bcb1ec7285c5759fda16a-0-2f8a52ef82196625c5a9e8e80cf37b45b5a224d7","c4a26dbea460703e501bcb1ec7285c5759fda16a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","c4a26dbea460703e501bcb1ec7285c5759fda16a-0-7b8b8ce95df36b89dc7e417f1409ae00e458948d"
"0101126F","","","","1","","","","","","","","","3","5.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","c4a26dbea460703e501bcb1ec7285c5759fda16a-0-bd223c04389fac83286dd6fd2e2e35c60f4dcdbe","c4a26dbea460703e501bcb1ec7285c5759fda16a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","c4a26dbea460703e501bcb1ec7285c5759fda16a-0-46fad73b93039598a10110dc196de74036297119"
"0101126F","","","","","","","","","","","","49.635","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","c4a26dbea460703e501bcb1ec7285c5759fda16a-0-09b5dca4050f9d727019e6e0e26df329020a33c7","c4a26dbea460703e501bcb1ec7285c5759fda16a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","c4a26dbea460703e501bcb1ec7285c5759fda16a-0-f25b2bac181972a3c738953f59d385dd0b763676"
"0101126F","","","","","","","","","","","","163.683","2.986","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","c4a26dbea460703e501bcb1ec7285c5759fda16a-0-ab793828ad8874ff226833ed4ac4924d5770cb09","c4a26dbea460703e501bcb1ec7285c5759fda16a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","c4a26dbea460703e501bcb1ec7285c5759fda16a-0-9354bb5887fa21ae2ccd4718093dde7e1adab591"
"0207138F","","","","","","","","","","","","639.991","","","","","","","639.991","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-d8eaaa32bd32aca24c8d649b51dec13155418714","d134a540fa3fd220d7cf3d1675eccc495774b4a6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-6ed1bed2913fa871cafd1c318a540eb4a155c82d"
"0207138F","","","","","","","","","","","","0.127","","","","","","1.5","1.627","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-9d3092e5c51b68f749d0a310fd4427b3d751182f","d134a540fa3fd220d7cf3d1675eccc495774b4a6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-43564a45d5e0fbca043038c7cb61749455d7c4d2"
"0207138F","","","","","","","","","","","","38.862","5.341","6","4","4","9","9.318","85.535","6.163","6.851","","","","","","","","","","","","","","","","","","","","","","","","","","","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-5aadf7ba6f256d4af95b8c5cb5b9be5f52f2cdb5","d134a540fa3fd220d7cf3d1675eccc495774b4a6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-5b9f565fd882a152dad8617bd6ca5223fdd8fc28"
"0401119F","","","","","","","","","","","","66.447","","","","","","","66.447","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ef0732f3c1dd5717a958db9160b2bcea08ed1ee3-0-0255f806d854608b9f1cff8c5fd4ff973819051f","ef0732f3c1dd5717a958db9160b2bcea08ed1ee3","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","ef0732f3c1dd5717a958db9160b2bcea08ed1ee3-0-c1ca0fb7f19c527113b20eaddffe66a8af2bfd89"
"0401318F","","","","","","","","","","","","47.807","14.741","17.417","12.94","12.94","","","92.905","","","","","","","","","","","","","","","","","","","","","","","","","","","","","f0a6a6e0714b28dae9f824c5215cda3c730a4c53-0-a2777682eab59c92f36cd8776e4842f7fc88526e","f0a6a6e0714b28dae9f824c5215cda3c730a4c53","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f0a6a6e0714b28dae9f824c5215cda3c730a4c53-0-0c493eb9a0e5294c8a97c24887e7ffd74fb5d4ca"
"0401119F","","","","","","","","","","","","20.27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","fba283638089f36cdd3c6afc69cbcba1590c5afb-0-d120a6dc8bd74563a6123cfc1b15e84b654b34a3","fba283638089f36cdd3c6afc69cbcba1590c5afb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","fba283638089f36cdd3c6afc69cbcba1590c5afb-0-3acb10d9829e15cd4f400ee002b4f400863e4ed4"
"0401115F","","","","","","","","","","","","","4.98","0.4","0.000","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","02f9169ee1de449fa830b4df8911aa841a24e8b2-0-8381e5d9cf1f66a0fdd81ea579fafa768735ba4f","02f9169ee1de449fa830b4df8911aa841a24e8b2","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","02f9169ee1de449fa830b4df8911aa841a24e8b2-0-20b733958a558116232763b0118ec292a9752bf3"
"0401115F","","","","","","","","","","","","","4.98","0.4","0.000","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","02f9169ee1de449fa830b4df8911aa841a24e8b2-0-be01b80477fe8434ec2a49ecc2fbcfb3e71349ce","02f9169ee1de449fa830b4df8911aa841a24e8b2","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","02f9169ee1de449fa830b4df8911aa841a24e8b2-0-f8569abbfa411131357c62de8bdd9fe65292b75b"
"0101126F","","","","","","","","","","","","162.988","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7e2d504f272ea9171443be3dc9442a9576121741-0-266a7de7d3a0c8105f94c41875bcfc2d2d92dc24","7e2d504f272ea9171443be3dc9442a9576121741","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","7e2d504f272ea9171443be3dc9442a9576121741-0-a1a426e7bb84d093318c95a6578ee8819ca23c23"
"0101126F","","","","1","","","","","","","","","3","5.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7e2d504f272ea9171443be3dc9442a9576121741-0-ef8b490c748f7a872cd30b2cafff9b900cc81339","7e2d504f272ea9171443be3dc9442a9576121741","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","7e2d504f272ea9171443be3dc9442a9576121741-0-e23f0e979ccefe008dbe22c3b80a2018d895f036"
"0101126F","","","","","","","","","","","","49.635","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7e2d504f272ea9171443be3dc9442a9576121741-0-5026bb2778155ea8be7caff68adb41e0279146bf","7e2d504f272ea9171443be3dc9442a9576121741","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","7e2d504f272ea9171443be3dc9442a9576121741-0-b0252a5ac1b762d355a32768447e5df3fdfb0705"
"0101126F","","","","","","","","","","","","163.683","2.986","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7e2d504f272ea9171443be3dc9442a9576121741-0-dc1c1f5fd18058d50764f38062b71c0cf99d7fb3","7e2d504f272ea9171443be3dc9442a9576121741","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","7e2d504f272ea9171443be3dc9442a9576121741-0-1bf91ae962967d08180c0bc6a6317a835f7ad48c"
"0303601F","","","","","","","","","","","","740.865","88.925","140.17","55.897","55.897","3.979","0.000","1029.836","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d0c584f31e6951bf8391ccedb31e05542a53255a-0-cccf7b2e40daa1aacce02c36d821ed567c0a93a1","d0c584f31e6951bf8391ccedb31e05542a53255a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","d0c584f31e6951bf8391ccedb31e05542a53255a-0-74a1145dcfdbc1e520ebe41255998e5efa6cdd65"
"0303001F","","0","","0","0","0","","","","","","","","55.208","3.933","3.933","","","59.141","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0cf39e05f941fe4164b78a0135b22b256c12e649-0-79864298017ee66e84ec41f66d80d0c77e161b14","0cf39e05f941fe4164b78a0135b22b256c12e649","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0cf39e05f941fe4164b78a0135b22b256c12e649-0-aa5a6cb70080ee101186a690b0f0f0337b515683"
"1160429BB","","","","","","","","","","","","26.105","0","0","0","0","","","26.105","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","26b0d75a1f3b77f36645cb5550376785c04f29e0-0-c3bbedc6ef67e28eeca036adf111a0e1dff03d85","26b0d75a1f3b77f36645cb5550376785c04f29e0","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","26b0d75a1f3b77f36645cb5550376785c04f29e0-0-9c812af538cdfe1bc9c49d00f942121321b5cd7d"
"1160403BB","","","","","","","","","","","","","5.412","2.848","6.162","6.162","7.68","6.36","30.812","2.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","26b0d75a1f3b77f36645cb5550376785c04f29e0-1-b419242ce8ec40c6a6ba546d5e1cea934db2006d","26b0d75a1f3b77f36645cb5550376785c04f29e0","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","26b0d75a1f3b77f36645cb5550376785c04f29e0-0-9c812af538cdfe1bc9c49d00f942121321b5cd7d"
"1160429BB","","","","","","","","","","","","17.191","0","","","","","","17.191","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","26b0d75a1f3b77f36645cb5550376785c04f29e0-0-8fc72415341f38147a50437650fd7ef035ea5665","26b0d75a1f3b77f36645cb5550376785c04f29e0","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","26b0d75a1f3b77f36645cb5550376785c04f29e0-0-bc1f70de07e72e266cf923debeb782a5642ff702"
"1160403BB","","","","","","","","","","","","3.872","3.872","1.076","0.575","0.575","0.408","0.415","10.218","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","26b0d75a1f3b77f36645cb5550376785c04f29e0-1-5fc1c9c8cd37f6c8c9824352d07565bb7f873aea","26b0d75a1f3b77f36645cb5550376785c04f29e0","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","26b0d75a1f3b77f36645cb5550376785c04f29e0-0-bc1f70de07e72e266cf923debeb782a5642ff702"
