"Name_val","Recurring_CostElementList_CostElement","Recurring_CategorySubtotal_TotalCost_AllPriorYears_val","Recurring_CategorySubtotal_TotalCost_PriorYear_val","Recurring_CategorySubtotal_TotalCost_BudgetYearOneBase_val","Recurring_CategorySubtotal_TotalCost_BudgetYearOneOCO_val","Recurring_CategorySubtotal_TotalCost_BudgetYearOne_val","Recurring_CategorySubtotal_TotalCost_CurrentYear_val","Recurring_CategorySubtotal_TotalCost_Total_val","Recurring_CategorySubtotal_TotalCost_BudgetYearTwo_val","Recurring_CategorySubtotal_TotalCost_BudgetYearThree_val","Recurring_CategorySubtotal_TotalCost_BudgetYearFour_val","Recurring_CategorySubtotal_TotalCost_BudgetYearFive_val","Recurring_CategorySubtotal_TotalCost_Continuing_val","Recurring_CategorySubtotal_TotalCost_ToComplete_val","CategorySubtotal_TotalCost_AllPriorYears_val","CategorySubtotal_TotalCost_PriorYear_val","CategorySubtotal_TotalCost_BudgetYearOneBase_val","CategorySubtotal_TotalCost_BudgetYearOneOCO_val","CategorySubtotal_TotalCost_BudgetYearOne_val","CategorySubtotal_TotalCost_CurrentYear_val","CategorySubtotal_TotalCost_ToComplete_val","CategorySubtotal_TotalCost_Total_val","CategorySubtotal_TotalCost_BudgetYearTwo_val","CategorySubtotal_TotalCost_BudgetYearThree_val","CategorySubtotal_TotalCost_BudgetYearFour_val","CategorySubtotal_TotalCost_BudgetYearFive_val","CategorySubtotal_TotalCost_Continuing_val","NonRecurring_CostElementList_CostElement","NonRecurring_CategorySubtotal_TotalCost_CurrentYear_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearOneBase_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearOne_val","NonRecurring_CategorySubtotal_TotalCost_PriorYear_val","NonRecurring_CategorySubtotal_TotalCost_AllPriorYears_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearOneOCO_val","NonRecurring_CategorySubtotal_TotalCost_ToComplete_val","NonRecurring_CategorySubtotal_TotalCost_Total_val","NonRecurring_CategorySubtotal_TotalCost_Continuing_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearTwo_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearThree_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearFour_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearFive_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Joint Deployment Center (JDTC)","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-491affde4c84d8f8803b4aa76f00dfb775bf55d3-5-fbdbf548a4edb1dd291f1c9a0c100d288813cd88","1.08","0.132","","","","0.59","","0.25","0.25","0.261","0.241","true","","1.08","0.132","","","","0.59","","","0.25","0.25","0.261","0.241","true","","","","","","","","","","","","","","","491affde4c84d8f8803b4aa76f00dfb775bf55d3-5-b3e534ece03088bde2a2145605515e25496af569","491affde4c84d8f8803b4aa76f00dfb775bf55d3","root.record.ItemExhibitList.P5Item","491affde4c84d8f8803b4aa76f00dfb775bf55d3-0-bb8cb97dea46aaeef0e723d8b4db37f2063566e8"
"Cyber Range Instrumentation","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-491affde4c84d8f8803b4aa76f00dfb775bf55d3-6-c83f095add91eab4836ca198d038a5fc14c7195b","0.000","1.672","0.33","","0.33","2.532","","0.331","0.331","0.356","0.356","true","","0.000","1.672","0.33","","0.33","2.532","","","0.331","0.331","0.356","0.356","true","","","","","","","","","","","","","","","491affde4c84d8f8803b4aa76f00dfb775bf55d3-6-342d82b9b7552d643101adc6bbea63a5cdd7302e","491affde4c84d8f8803b4aa76f00dfb775bf55d3","root.record.ItemExhibitList.P5Item","491affde4c84d8f8803b4aa76f00dfb775bf55d3-0-bb8cb97dea46aaeef0e723d8b4db37f2063566e8"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-491affde4c84d8f8803b4aa76f00dfb775bf55d3-0-6c719f1a55a0d0d69674abd34dbb681a063ff3d8","0.68","0.109","0.107","","0.107","0.109","","0.112","0.119","0.134","0.154","true","","0.68","0.109","0.107","","0.107","0.109","","","0.112","0.119","0.134","0.154","true","","","","","","","","","","","","","","","491affde4c84d8f8803b4aa76f00dfb775bf55d3-0-ac644a35e7cf5ab63072b4ee50bd9db28570e8cb","491affde4c84d8f8803b4aa76f00dfb775bf55d3","root.record.ItemExhibitList.P5Item","491affde4c84d8f8803b4aa76f00dfb775bf55d3-2-4209cba9f3a3ff68cd537e67f9d6d10a0a12f7ee"
"Network Upgrade","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-491affde4c84d8f8803b4aa76f00dfb775bf55d3-1-a1276f720a59606c02323ecc5fd612adacb2d8ac","0.753","0.147","0.147","","0.147","0.147","","0.149","0.15","0.151","0.15","true","","0.753","0.147","0.147","","0.147","0.147","","","0.149","0.15","0.151","0.15","true","","","","","","","","","","","","","","","491affde4c84d8f8803b4aa76f00dfb775bf55d3-1-b153ec6d071f50e9d9560fc956ee99a1b06869d3","491affde4c84d8f8803b4aa76f00dfb775bf55d3","root.record.ItemExhibitList.P5Item","491affde4c84d8f8803b4aa76f00dfb775bf55d3-2-4209cba9f3a3ff68cd537e67f9d6d10a0a12f7ee"
"Joint Personal Dosimeter","","","","","","","","","","","","","","","","","","","","","0.000","8.215","4.639","2","1.576","0.000","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList-491affde4c84d8f8803b4aa76f00dfb775bf55d3-0-e5b4b293b86487d61e374da6bf71a5545ee22a3c","","","","","","","0.000","8.215","","4.639","2","1.576","","491affde4c84d8f8803b4aa76f00dfb775bf55d3-0-d15376ab4f09cef24b89ddb928ed7ebc494aef02","491affde4c84d8f8803b4aa76f00dfb775bf55d3","root.record.ItemExhibitList.P5Item","491affde4c84d8f8803b4aa76f00dfb775bf55d3-4-a940d153805732028312b068f96589fc6f4c9494"
"Radiological Detection System","","","","","","","","","","","","","","","","","","","","","","","","3.992","5.055","7.167","true","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList-491affde4c84d8f8803b4aa76f00dfb775bf55d3-1-bfac2f70ff43126e8a0c642f3e7c0f077c1180d0","","","","","","","","","true","","3.992","5.055","7.167","491affde4c84d8f8803b4aa76f00dfb775bf55d3-1-276e981dd7fe8a806afd08b48c345f569e552b68","491affde4c84d8f8803b4aa76f00dfb775bf55d3","root.record.ItemExhibitList.P5Item","491affde4c84d8f8803b4aa76f00dfb775bf55d3-4-a940d153805732028312b068f96589fc6f4c9494"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-4adadd3e5b12c8cc1ba1f9966b064be728441f3e-0-2ff14213cb08f55c92f1ebcee92a93f3e80c8100","","5.172","2.585","","2.585","11.142","","","","","","","","","5.172","2.585","","2.585","11.142","","","","","","","","","","","","","","","","","","","","","","4adadd3e5b12c8cc1ba1f9966b064be728441f3e-0-8a46205236c0b8beac55b891314bfd44f9fff1f9","4adadd3e5b12c8cc1ba1f9966b064be728441f3e","root.record.ItemExhibitList.P5Item","4adadd3e5b12c8cc1ba1f9966b064be728441f3e-0-0e845142e5794cd7281162a0b8b412fec1b413f0"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-4adadd3e5b12c8cc1ba1f9966b064be728441f3e-0-8cda8804a68f5320f3a22f557830f03731a0e673","","13.845","3.828","","3.828","13.075","","","","","","","","","13.845","3.828","","3.828","13.075","","","","","","","","","","","","","","","","","","","","","","4adadd3e5b12c8cc1ba1f9966b064be728441f3e-0-336e5217215359bac852a1b7aa4d0e33af875230","4adadd3e5b12c8cc1ba1f9966b064be728441f3e","root.record.ItemExhibitList.P5Item","4adadd3e5b12c8cc1ba1f9966b064be728441f3e-1-6a64f16d83bb3e4b680f0fb80926d8a02b0d5c03"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-4adadd3e5b12c8cc1ba1f9966b064be728441f3e-0-c16e230cad2c290c36b7c73328e5b0d02774c22a","","47.341","6.088","","6.088","23.756","","","","","","","","","47.341","6.088","","6.088","23.756","","","","","","","","","","","","","","","","","","","","","","4adadd3e5b12c8cc1ba1f9966b064be728441f3e-0-18dff2e81b8c1bb012d5cf2bea9dd1ea07178ada","4adadd3e5b12c8cc1ba1f9966b064be728441f3e","root.record.ItemExhibitList.P5Item","4adadd3e5b12c8cc1ba1f9966b064be728441f3e-2-0875de2744de832f181d7d6a43391e959b205a49"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-4adadd3e5b12c8cc1ba1f9966b064be728441f3e-0-d580e764bbc8a1c8f1534106c9777d001fa4654b","","26.339","10.83","","10.83","6.268","","","","","","","","","26.339","10.83","","10.83","6.268","","","","","","","","","","","","","","","","","","","","","","4adadd3e5b12c8cc1ba1f9966b064be728441f3e-0-b55f73ec10b4aa4c517307de676be48bac9cdb5b","4adadd3e5b12c8cc1ba1f9966b064be728441f3e","root.record.ItemExhibitList.P5Item","4adadd3e5b12c8cc1ba1f9966b064be728441f3e-3-71b08b5d36eedfb591582cf81067b49d74670abf"
"Hardware Cost Element Category","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-4bad17cf67c2ab62e97003d8250cf9a96e5f9ffe-0-9a95353081858baa32b076fa68ae01de4a15e6a6","","9.746","2.708","","2.708","14.412","","","","","","","","","9.746","2.708","","2.708","14.412","","","","","","","","","","","","","","","","","","","","","","4bad17cf67c2ab62e97003d8250cf9a96e5f9ffe-0-21b69b4a3351e3dbbbc862303f1afbd47b523b92","4bad17cf67c2ab62e97003d8250cf9a96e5f9ffe","root.record.ItemExhibitList.P5Item","4bad17cf67c2ab62e97003d8250cf9a96e5f9ffe-0-bcf7437b8a0cb18575a73349af6f945f6462838c"
"","","","","","","","","","","","","","","","","","65.252","","65.252","62.683","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList-539f2f008eec29197e8273e18c4494e55c5324bb-0-b71f33bfaead74507f868c9f52757fcea7ff8de7","62.683","65.252","65.252","","","","","","","","","","","539f2f008eec29197e8273e18c4494e55c5324bb-0-d89b9b8e8f248d1596781c6bb71351a6ad1b844e","539f2f008eec29197e8273e18c4494e55c5324bb","root.record.ItemExhibitList.P5Item","539f2f008eec29197e8273e18c4494e55c5324bb-0-b862d9c19068ae3cbe289d9a264c82ed9c69cc06"
"SM-6","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-5401ff724ee7bd9d16e6c234c1ef022c926fb8eb-0-126e0bf2aec4c95cd894db7ed3aa3482628ed60b","682.586","264.658","405.577","","405.577","328.844","","","","","","","","710.688","264.658","405.577","","405.577","328.844","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList-5401ff724ee7bd9d16e6c234c1ef022c926fb8eb-0-afa4386e690c4e76ace4aae62904e476e0209f96","","","","","28.102","","","","","","","","","5401ff724ee7bd9d16e6c234c1ef022c926fb8eb-0-a0d221f98ccfffc9352aba111477ed978a16ce6d","5401ff724ee7bd9d16e6c234c1ef022c926fb8eb","root.record.ItemExhibitList.P5Item","5401ff724ee7bd9d16e6c234c1ef022c926fb8eb-0-d907637d7c96bf27731dbf63b4d41f6b92d337b1"
"SM-2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-5401ff724ee7bd9d16e6c234c1ef022c926fb8eb-1-e1a94d8ea7f3d2df98b01d5073543adb440f339b","7666.487","","","","","","","","","","","","","7666.487","","","","","","","","","","","","","","","","","","","","","","","","","","","5401ff724ee7bd9d16e6c234c1ef022c926fb8eb-1-05abc2af67901393836bf401d2522b1769e34f75","5401ff724ee7bd9d16e6c234c1ef022c926fb8eb","root.record.ItemExhibitList.P5Item","5401ff724ee7bd9d16e6c234c1ef022c926fb8eb-0-d907637d7c96bf27731dbf63b4d41f6b92d337b1"
"SM-2 Blk IV","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-5401ff724ee7bd9d16e6c234c1ef022c926fb8eb-2-a02983a56aa6dcbb453114c20cbe2da5bd092abf","478.2","","","","","","","","","","","","","478.2","","","","","","","","","","","","","","","","","","","","","","","","","","","5401ff724ee7bd9d16e6c234c1ef022c926fb8eb-2-9b187c03d72b15058bc103c66abf41332f002fd8","5401ff724ee7bd9d16e6c234c1ef022c926fb8eb","root.record.ItemExhibitList.P5Item","5401ff724ee7bd9d16e6c234c1ef022c926fb8eb-0-d907637d7c96bf27731dbf63b4d41f6b92d337b1"
"Trainers Cost","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-556441d9f27e7dc0df7743c2e0dfef1449ae6f3d-0-cf09354b52b63e7dfc801230fe8e6eafda477cf2","101.704","31.461","","","","41.813","","","","","","","","101.704","31.461","","","","41.813","","","","","","","","","","","","","","","","","","","","","","556441d9f27e7dc0df7743c2e0dfef1449ae6f3d-0-746766d30127cb702165660c4ce3ce1662fdda0d","556441d9f27e7dc0df7743c2e0dfef1449ae6f3d","root.record.ItemExhibitList.P5Item","556441d9f27e7dc0df7743c2e0dfef1449ae6f3d-0-d4420ef39789f5d7d0eef3a0dace67dfa0d73273"
"SJ040 - Service Change Kits","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-56c443d91bfefa117a5387cbdc2cfc69e67db36f-0-63d785e40f2d8e61cd6be0c7895625bb4fa84935","12.835","0.379","0.000","0.000","0.000","14.83","","","","","","","","12.835","0.379","0.000","0.000","0.000","14.83","","","","","","","","","","","","","","","","","","","","","","56c443d91bfefa117a5387cbdc2cfc69e67db36f-0-4fe795177c591281f13caa73a4565603ddc5d7bc","56c443d91bfefa117a5387cbdc2cfc69e67db36f","root.record.ItemExhibitList.P5Item","56c443d91bfefa117a5387cbdc2cfc69e67db36f-0-9fed62dcb8ad4e6dc6eaf45dd4ef1bf9d0c71170"
"SJ261 - MWS","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-56c443d91bfefa117a5387cbdc2cfc69e67db36f-1-e275671f9d41b6f8ca5c9e2647eab9b701f4dad5","5.638","0.000","0.000","0.000","0.000","0.000","","","","","","","","5.638","0.000","0.000","0.000","0.000","0.000","","","","","","","","","","","","","","","","","","","","","","56c443d91bfefa117a5387cbdc2cfc69e67db36f-1-1acf36c3648b61c8fef6eccffbdd6c1310b170b2","56c443d91bfefa117a5387cbdc2cfc69e67db36f","root.record.ItemExhibitList.P5Item","56c443d91bfefa117a5387cbdc2cfc69e67db36f-0-9fed62dcb8ad4e6dc6eaf45dd4ef1bf9d0c71170"
"SJ281 - ARC","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-56c443d91bfefa117a5387cbdc2cfc69e67db36f-2-21b4a6ac57e56ee71ed05128da1aaab7cc43312d","4.844","0.000","0.000","0.000","0.000","0.000","","","","","","","","4.844","0.000","0.000","0.000","0.000","0.000","","","","","","","","","","","","","","","","","","","","","","56c443d91bfefa117a5387cbdc2cfc69e67db36f-2-f921a21226b984e1ae7916fa8cea7bbd96c5af3f","56c443d91bfefa117a5387cbdc2cfc69e67db36f","root.record.ItemExhibitList.P5Item","56c443d91bfefa117a5387cbdc2cfc69e67db36f-0-9fed62dcb8ad4e6dc6eaf45dd4ef1bf9d0c71170"
"SJ860 - Acceptance Testing","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-56c443d91bfefa117a5387cbdc2cfc69e67db36f-3-46a3249cdabe7d505ab6a4e7f15048ce6f9192b8","0.05","0.000","0.000","0.000","0.000","0.000","","","","","","","","0.05","0.000","0.000","0.000","0.000","0.000","","","","","","","","","","","","","","","","","","","","","","56c443d91bfefa117a5387cbdc2cfc69e67db36f-3-af44d977db825e52424085f193ed7a515a812cad","56c443d91bfefa117a5387cbdc2cfc69e67db36f","root.record.ItemExhibitList.P5Item","56c443d91bfefa117a5387cbdc2cfc69e67db36f-0-9fed62dcb8ad4e6dc6eaf45dd4ef1bf9d0c71170"
"Prior years","","","","","","","","","","","","","","","65.959","0.000","0.000","0.000","0.000","0.000","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList-56c443d91bfefa117a5387cbdc2cfc69e67db36f-4-3a2e7c88e7fc8946e479776de129c586cfe67c05","0.000","0.000","0.000","0.000","65.959","0.000","","","","","","","","56c443d91bfefa117a5387cbdc2cfc69e67db36f-4-ba33caaf3e14466cb6501741d4fb13a76e67eb78","56c443d91bfefa117a5387cbdc2cfc69e67db36f","root.record.ItemExhibitList.P5Item","56c443d91bfefa117a5387cbdc2cfc69e67db36f-0-9fed62dcb8ad4e6dc6eaf45dd4ef1bf9d0c71170"
"MC001 - INFLUENCE MINE SWEEP","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-5752fdbac60527e49a548eb7be8d704ba73fbf97-0-aa5df2cd93116be3d64674a6cbcafd7125d84bd4","0.000","","","","","","","","","","","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","5752fdbac60527e49a548eb7be8d704ba73fbf97-0-7f0f0c1e91da05409a76bae38a300d1704f3cc93","5752fdbac60527e49a548eb7be8d704ba73fbf97","root.record.ItemExhibitList.P5Item","5752fdbac60527e49a548eb7be8d704ba73fbf97-0-5107cb67f51b9b6668dfcb42400fa279ffa7f6c6"
"MC003 - ORGANIC AIRBORNE MINE COUNTERMEASURES (OAMCM)","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-5752fdbac60527e49a548eb7be8d704ba73fbf97-1-bbcd6e6c75994aca0dbf38a31bcea281f3b175f7","","18.519","","","","19.928","","","","","","","","","18.519","","","","19.928","","","","","","","","","","","","","","","","","","","","","","5752fdbac60527e49a548eb7be8d704ba73fbf97-1-53abb147e24d004ef41b13a55f214db1824f4f64","5752fdbac60527e49a548eb7be8d704ba73fbf97","root.record.ItemExhibitList.P5Item","5752fdbac60527e49a548eb7be8d704ba73fbf97-0-5107cb67f51b9b6668dfcb42400fa279ffa7f6c6"
"MC004 - COASTAL MINE RECONNAISANCE MODULE","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-5752fdbac60527e49a548eb7be8d704ba73fbf97-2-529a3a40ee15d45d6b5b184c5e0720795c8888cf","0.000","","","","","","","","","","","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","5752fdbac60527e49a548eb7be8d704ba73fbf97-2-c19f6071c2c0ca57e2e60be8c4d16828c64278f6","5752fdbac60527e49a548eb7be8d704ba73fbf97","root.record.ItemExhibitList.P5Item","5752fdbac60527e49a548eb7be8d704ba73fbf97-0-5107cb67f51b9b6668dfcb42400fa279ffa7f6c6"
"MC005 - UNMANNED UNDERSEA MODULE","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-5752fdbac60527e49a548eb7be8d704ba73fbf97-3-6ca69017503d83a7f8c75fff08e305e4bac12506","0.000","","","","","","","","","","","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","5752fdbac60527e49a548eb7be8d704ba73fbf97-3-0f31d8995971b8701073f88be664b3905b44411b","5752fdbac60527e49a548eb7be8d704ba73fbf97","root.record.ItemExhibitList.P5Item","5752fdbac60527e49a548eb7be8d704ba73fbf97-0-5107cb67f51b9b6668dfcb42400fa279ffa7f6c6"
"MC006 - MCM SUPPORT EQUIPMENT","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-5752fdbac60527e49a548eb7be8d704ba73fbf97-4-d4d76cf8c2236a52f96016a43a273172aaa2e952","","0.737","3.137","","3.137","2.558","","","","","","","","","0.737","3.137","","3.137","2.558","","","","","","","","","","","","","","","","","","","","","","5752fdbac60527e49a548eb7be8d704ba73fbf97-4-96ace169df4d83a3ed89154c8df1efccf4894f48","5752fdbac60527e49a548eb7be8d704ba73fbf97","root.record.ItemExhibitList.P5Item","5752fdbac60527e49a548eb7be8d704ba73fbf97-0-5107cb67f51b9b6668dfcb42400fa279ffa7f6c6"
"MC007 - MCM WHOLENESS SYSTEMS","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-5752fdbac60527e49a548eb7be8d704ba73fbf97-5-23c60e42a37bfc4448143895cd0550041e14e5e6","","7.9","8.244","","8.244","8.098","","","","","","","","","7.9","8.244","","8.244","8.098","","","","","","","","","","","","","","","","","","","","","","5752fdbac60527e49a548eb7be8d704ba73fbf97-5-349d2f87ea647732634b5ddf664c767a43cab082","5752fdbac60527e49a548eb7be8d704ba73fbf97","root.record.ItemExhibitList.P5Item","5752fdbac60527e49a548eb7be8d704ba73fbf97-0-5107cb67f51b9b6668dfcb42400fa279ffa7f6c6"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-577e9f149c8ab41879d03cf6b9c97a8f37075417-0-86adcc0fa191e69b2825960175fc2d20f749cf56","","10.636","","","","","","","","","","","","","10.636","","","","","","","","","","","","","","","","","","","","","","","","","","577e9f149c8ab41879d03cf6b9c97a8f37075417-0-688be7f4c5079dd0df2acabc061075b95f537eb5","577e9f149c8ab41879d03cf6b9c97a8f37075417","root.record.ItemExhibitList.P5Item","577e9f149c8ab41879d03cf6b9c97a8f37075417-0-2d3ce6c0ff70709445babcad50dbcd6484ba433b"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-598483e1af6be2b7c3ce49b140a8744f6ffd858d-0-514811a4a06a78d9fdba155beeba22ad14baf0ab","","58.69","111.084","","111.084","71.586","1375.915","172.705","199.217","186.486","189.354","","386.793","","58.69","111.084","","111.084","71.586","386.793","1375.915","172.705","199.217","186.486","189.354","","","","","","","","","","","","","","","","598483e1af6be2b7c3ce49b140a8744f6ffd858d-0-eb40e4690b4c6c469bc3b3740753fc6ba6cb8a2b","598483e1af6be2b7c3ce49b140a8744f6ffd858d","root.record.ItemExhibitList.P5Item","598483e1af6be2b7c3ce49b140a8744f6ffd858d-0-5120cbccf4e63a1bda410e167fdef4058195ff66"
"TRIDENT II MODIFICATIONS - D5 Life Extension","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-5999af448c72312b2eec9e3c4ecad5964794a11e-0-0081d45c8d3c466de85821c5899a715f51770826","5277.789","524.666","585.077","","585.077","590.061","","","","","","","","5277.789","524.666","585.077","","585.077","590.061","","","","","","","","","","","","","","","","","","","","","","5999af448c72312b2eec9e3c4ecad5964794a11e-0-bdb8e203443f3c6ad69cb05befaaaa8c656459f3","5999af448c72312b2eec9e3c4ecad5964794a11e","root.record.ItemExhibitList.P5Item","5999af448c72312b2eec9e3c4ecad5964794a11e-0-65146d8467753bf0ff18b0a7f75ba547ca20c663"
"N340 FUZE PD M739A1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-5bc69507bc0edf45b9331311330c743dd9b1dcea-0-a70b7ec714a1ed242f4420ff7485390d3800bbc5","14.512","6.286","","","","17.569","","","","","","","","14.512","6.286","","","","17.569","","","","","","","","","","","","","","","","","","","","","","5bc69507bc0edf45b9331311330c743dd9b1dcea-0-dda82cf403334d414f2720039ffe0e95b944fb2d","5bc69507bc0edf45b9331311330c743dd9b1dcea","root.record.ItemExhibitList.P5Item","5bc69507bc0edf45b9331311330c743dd9b1dcea-0-28549fb311822207e5b7b730af3420174ba3729e"
"NA28 PRECISION GUIDED KIT (NPGK)","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-5bc69507bc0edf45b9331311330c743dd9b1dcea-1-029c32fa3a761a363b1cb285e6fbf7da393c84bc","33.888","25.888","9.972","","9.972","22.016","","","","","","","","33.888","25.888","9.972","","9.972","22.016","","","","","","","","","","","","","","","","","","","","","","5bc69507bc0edf45b9331311330c743dd9b1dcea-1-625aa6ef1786f976bd973bd7e982465870f164c5","5bc69507bc0edf45b9331311330c743dd9b1dcea","root.record.ItemExhibitList.P5Item","5bc69507bc0edf45b9331311330c743dd9b1dcea-0-28549fb311822207e5b7b730af3420174ba3729e"
"Maritime Patrol & Reconnaissance Force (MPRF) - WH046 Tactical/Mobile","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-5c2e185591aba517fa961c6a6fabe314d20b4f99-0-f82315660458847b281ee0c7f8ac03e880650ff1","0.000","0.000","0.000","0.000","0.000","0.000","","","","","","","","0.000","0.000","0.000","0.000","0.000","0.000","","","","","","","","","","","","","","","","","","","","","","5c2e185591aba517fa961c6a6fabe314d20b4f99-0-0e91f28e681b6c512de393514ecf3f248472a33f","5c2e185591aba517fa961c6a6fabe314d20b4f99","root.record.ItemExhibitList.P5Item","5c2e185591aba517fa961c6a6fabe314d20b4f99-0-7a97a5da3ee22f55186ca5626b5c9cf5273886f7"
"WH776 Installation","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-5c2e185591aba517fa961c6a6fabe314d20b4f99-1-0816034598f5ec49f401f1d51ac4647686d9cfbf","0.000","0.000","0.000","0.000","0.000","0.000","","","","","","","","0.000","0.000","0.000","0.000","0.000","0.000","","","","","","","","","","","","","","","","","","","","","","5c2e185591aba517fa961c6a6fabe314d20b4f99-1-6efaca8968e48b1532c8d3342366bb4a3f21f164","5c2e185591aba517fa961c6a6fabe314d20b4f99","root.record.ItemExhibitList.P5Item","5c2e185591aba517fa961c6a6fabe314d20b4f99-0-7a97a5da3ee22f55186ca5626b5c9cf5273886f7"
"Mobile Power Equipment","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-5ef7dfc3e8e76c49e32724c2d157e70fdb46a160-0-24813fe7221048447e1022076221456f2f480456","170.636","42.75","4.89","","4.89","37.139","","","","","","","","170.636","42.75","4.89","","4.89","37.139","","","","","","","","","","","","","","","","","","","","","","5ef7dfc3e8e76c49e32724c2d157e70fdb46a160-0-ef472d58c9e9ee26817e528490219028dec8c304","5ef7dfc3e8e76c49e32724c2d157e70fdb46a160","root.record.ItemExhibitList.P5Item","5ef7dfc3e8e76c49e32724c2d157e70fdb46a160-0-42d9c3204eff395d7b3c1e04317973f0e3502701"
"Advanced Power Sources","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-5ef7dfc3e8e76c49e32724c2d157e70fdb46a160-1-fe0903049d805a5d84daba87b6dd783c4efd1f0b","45.952","26.575","4.095","","4.095","26.218","","","","","","","","45.952","26.575","4.095","","4.095","26.218","","","","","","","","","","","","","","","","","","","","","","5ef7dfc3e8e76c49e32724c2d157e70fdb46a160-1-0521e8370e99cbdc093797e5f4ea96bd1e147709","5ef7dfc3e8e76c49e32724c2d157e70fdb46a160","root.record.ItemExhibitList.P5Item","5ef7dfc3e8e76c49e32724c2d157e70fdb46a160-0-42d9c3204eff395d7b3c1e04317973f0e3502701"
