"@projectCategoryName","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOne_TotalCost_val","Number_val","Title_val","CostElementList_Construction_PriorYear_TotalCost_val","CostElementList_Construction_CurrentYear_TotalCost_val","CostElementList_Construction_BudgetYearOneBase_TotalCost_val","CostElementList_Construction_BudgetYearOne_TotalCost_val","CostElementList_Construction_BudgetYearOneOCO_TotalCost_val","CostElementList_Equipment_PriorYear_TotalCost_val","CostElementList_Equipment_CurrentYear_TotalCost_val","CostElementList_Equipment_BudgetYearOneBase_TotalCost_val","CostElementList_Equipment_BudgetYearOne_TotalCost_val","CostElementList_Equipment_BudgetYearOneOCO_TotalCost_val","CostElementList_EquipmentInstallation_PriorYear_TotalCost_val","CostElementList_EquipmentInstallation_CurrentYear_TotalCost_val","CostElementList_EquipmentInstallation_BudgetYearOneBase_TotalCost_val","CostElementList_EquipmentInstallation_BudgetYearOne_TotalCost_val","CostElementList_EquipmentInstallation_BudgetYearOneOCO_TotalCost_val","CostElementList_ContractorSupport_PriorYear_TotalCost_val","CostElementList_ContractorSupport_CurrentYear_TotalCost_val","CostElementList_ContractorSupport_BudgetYearOneBase_TotalCost_val","CostElementList_ContractorSupport_BudgetYearOne_TotalCost_val","CostElementList_ContractorSupport_BudgetYearOneOCO_TotalCost_val","CostElementList_Other_BudgetYearOneBase_TotalCost_val","CostElementList_Other_BudgetYearOne_TotalCost_val","CostElementList_Other_CurrentYear_TotalCost_val","CostElementList_Other_PriorYear_TotalCost_val","CostElementList_Other_BudgetYearOneOCO_TotalCost_val","CostElementList_OtherInHouseSupport_CurrentYear_TotalCost_val","CostElementList_OtherInHouseSupport_PriorYear_TotalCost_val","CostElementList_OtherInHouseSupport_BudgetYearOneBase_TotalCost_val","CostElementList_OtherInHouseSupport_BudgetYearOne_TotalCost_val","CostElementList_OtherInHouseSupport_BudgetYearOneOCO_TotalCost_val","CostElementList_CorpsOfEngineersSupport_PriorYear_TotalCost_val","CostElementList_CorpsOfEngineersSupport_CurrentYear_TotalCost_val","EndItemSupportedModel_val","MilestoneList_InitialProjectAward_val","MilestoneList_FinalProjectAward_val","MilestoneList_ConstructionComplete_val","MilestoneList_EquipmentInstallationComplete_val","MilestoneList_ProveOutBegins_val","MilestoneList_ProveOutComplete_val","MilestoneList_FinalDesignComplete_val","MilestoneList_ConceptDesignComplete_val","NarrativeExplanation_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Production Support","","","0.323","0.323","5163787","Feasibility Study of Treated Water in Explosive Manufacturing","","","","","","","","","","","","","","","","","","","","","0.288","0.288","","","","","","0.035","0.035","","","","Research Development Explosives (RDX), High Melt Explosives (HMX), IMX","2016-03","2016-03","","","","","","","FY 2016 Base procurement dollars in the amount of $0.323 million support evaluation of treated and recycled waste stream water on explosive products in the manufacturing processes at Holston Army Ammunition Plant.  This effort provides a potential capability to recycle the wastewater in supporting the compliance with the National Pollutant Discharge Elimination System permit.","e4c7f4c038a61d32e0461f1db9af36aa1b024169-12-21a28f533bf652bdebc5f7e4e866452ff27e6d22","e4c7f4c038a61d32e0461f1db9af36aa1b024169","root.record.FacilityList.ProductionSupportFacility","e4c7f4c038a61d32e0461f1db9af36aa1b024169-0-f39835cd409e809a493cdc5258f3304cb7b03a62"
"Production Support","","","3.002","3.002","5163786","Upgrade PCS7 Network","","","","","","","","1.224","1.224","","","","1.137","1.137","","","","","","","0.566","0.566","","","","","","0.075","0.075","","","","Research Development Explosives (RDX), High Melt Explosives (HMX), IMX","2016-05","2016-05","","2017-04","2017-04","2017-04","2016-07","","FY 2016 Base procurement dollars in the amount of $3.002 million support upgrades to control system computer workstations in various production buildings at Holston Army Ammunition Plant.  The computer systems will be replaced with commercial-off-the-shelf systems that will enhance information assurance.","e4c7f4c038a61d32e0461f1db9af36aa1b024169-13-83c5e1477af969e32578f06be3fa6d829254122a","e4c7f4c038a61d32e0461f1db9af36aa1b024169","root.record.FacilityList.ProductionSupportFacility","e4c7f4c038a61d32e0461f1db9af36aa1b024169-0-f39835cd409e809a493cdc5258f3304cb7b03a62"
"Production Support","","","0.952","0.952","5163972","Modernization of Lacquer Preparation Facility","","","","","","","","","","","","","","","","","","","","","0.952","0.952","","","","","","","","","","","Research Development Explosives (RDX), High Melt Explosives (HMX)","2016-04","2016-04","","2018-07","2018-07","2018-09","2016-10","","FY 2016 Base procurement dollars in the amount of $0.952 million support the first phase of the modernization of the lacquer preparation facility at Holston Army Ammunition Plant (AAP).  This initial phase will modernize the control panels and control system.  The lacquer preparation facility is an aging facility that is essential to the manufacture of mature and innovative Insensitive Munitions (IM).  A malfunction of the outdated controls could lead to an extended shutdown of the lacquer preparation facility and affect Holston AAP's ability to manufacture IM product.","e4c7f4c038a61d32e0461f1db9af36aa1b024169-14-7508dae310094f1009d75f10aea4e1a92015be4e","e4c7f4c038a61d32e0461f1db9af36aa1b024169","root.record.FacilityList.ProductionSupportFacility","e4c7f4c038a61d32e0461f1db9af36aa1b024169-0-f39835cd409e809a493cdc5258f3304cb7b03a62"
"Production Support","","2.645","","","5153295","Modernize B235 Filter Press, Ph 2","","0.46","","","","","0.712","","","","","1.067","","","","","","","","","","","0.406","","","","","","","","","","Research Development Explosives (RDX), High Melt Explosives (HMX)","2015-09","2015-09","2016-04","2016-12","2017-01","2017-04","2015-12","","Procurement dollars in the amount of $2.645 million support modernization of the B235 Filter Press which is used to remove solid waste from the wastewater stream at Holston Army Ammunition Plant.  Project will replace an existing rusted and degraded filter press with a newer technology belt filter press.","e4c7f4c038a61d32e0461f1db9af36aa1b024169-15-3bccf243e12ea53c6a4c18b66b142f49c644fef7","e4c7f4c038a61d32e0461f1db9af36aa1b024169","root.record.FacilityList.ProductionSupportFacility","e4c7f4c038a61d32e0461f1db9af36aa1b024169-0-f39835cd409e809a493cdc5258f3304cb7b03a62"
"Production Support","0.571","","","","5143630","Rebuild Restrooms and Break Rooms, Line 3A Production Area","0.503","","","","","","","","","","","","","","","","","","","","","","","0.068","","","","","","","","","105mm, 155mm, and 75mm Artillery","2014-02","2014-02","2015-02","","","","2013-06","","Procurement dollars in the amount of $0.571 million support effort to rebuild four restrooms, enhance functionality of four break rooms, three change houses, and miscellaneous work on Line 3A at Iowa Army Ammunition Plant.  Effort will improve the production workers' quality of work environment, morale and sanitation improvements.","e4c7f4c038a61d32e0461f1db9af36aa1b024169-0-5221b9dce5361370dd73a91960920d50102da2f6","e4c7f4c038a61d32e0461f1db9af36aa1b024169","root.record.FacilityList.ProductionSupportFacility","e4c7f4c038a61d32e0461f1db9af36aa1b024169-1-72b300d513ddcf2c71c30c53af0450c7a33a37c5"
"Production Support","0.414","","","","5143632","Upgrade Restrooms, Line 3 Production Area","0.35","","","","","","","","","","","","","","","","","","","","","","","0.064","","","","","","","","","105mm Artillery, 155mm Artillery, 75mm Artillery","2014-02","2014-02","2015-02","","","","2013-06","","Procurement dollars in the amount of $0.414 million support effort to upgrade restrooms, break rooms and changing areas in the active production areas of Line 3 at Iowa Army Ammunition Plant (AAP).  This effort will improve the production workers' quality of work environment, morale and sanitation requirements.","e4c7f4c038a61d32e0461f1db9af36aa1b024169-1-0ad6d223cc38a8113605370bd090f1489919a3c0","e4c7f4c038a61d32e0461f1db9af36aa1b024169","root.record.FacilityList.ProductionSupportFacility","e4c7f4c038a61d32e0461f1db9af36aa1b024169-1-72b300d513ddcf2c71c30c53af0450c7a33a37c5"
"Production Support","3.116","","","","5143687","Line 3A Melt Pour Loader","","","","","","1.504","","","","","0.477","","","","","","","","","","","","","0.785","","","0.35","","","","","","Artillery, Mortars","2014-06","2015-10","","2016-06","2016-09","2016-09","2014-03","","Procurement dollars in the amount of $3.116 million support effort to provide a new melt pouring loader on Line 3A at Iowa Army Ammunition Plant that supports explosive materials to include trinitrotoluene, Composition B and newer insensitive formulations.  The loader will consist of stainless steel construction, capable of loading projectiles up to 155mm in size and allow for complete cleaning and visual inspection.  It will be equipped with drip pans to minimize employee exposure to hazardous materials and allow for explosive fume removal.  This new system will reduce scrap volume and improve cast quality.  It will also decrease downtime, cleanup time and costs.","e4c7f4c038a61d32e0461f1db9af36aa1b024169-2-a5bb32f87908656440b7d9731fdf663e01cbed92","e4c7f4c038a61d32e0461f1db9af36aa1b024169","root.record.FacilityList.ProductionSupportFacility","e4c7f4c038a61d32e0461f1db9af36aa1b024169-1-72b300d513ddcf2c71c30c53af0450c7a33a37c5"
"Production Support","","1.735","","","5153688","Projectile Preheat Oven, Line 3A","","","","","","","1.054","","","","","0.176","","","","","","","","","","","0.505","","","","","","","","","","High Explosive (HE) Artillery, Mortars","2015-02","2015-02","","2016-02","2016-02","2016-02","","","Procurement dollars in the amount of $1.735 million support effort to provide a new projectile preheat oven on Line 3A at Iowa Army Ammunition Plant.  Projectiles filled with Insensitive Munitions Explosives-101 (IMX-101) require a higher temperature preheat than with trinitrotoluene-based material.  The current oven configuration will not allow complete uniform projectile preheat or the ability to preheat IMX-101-filled projectiles.  The new oven will be capable of supporting both current and future production on Line 3A and reduce the preheat time of projectiles.","e4c7f4c038a61d32e0461f1db9af36aa1b024169-3-f1f2b2ba488e08ce0d329cf57ab2f6008e2172c6","e4c7f4c038a61d32e0461f1db9af36aa1b024169","root.record.FacilityList.ProductionSupportFacility","e4c7f4c038a61d32e0461f1db9af36aa1b024169-1-72b300d513ddcf2c71c30c53af0450c7a33a37c5"
"Production Support","2.162","","","","5143583","Rehabilitate Road F North and Line 3 Roads","1.824","","","","","","","","","","","","","","","","","","","","","","","0.338","","","","","","","","","Modular Artillery Charging Sys(MACS),105mm/120mm Tank,105mm/155mm Artillery","2014-04","2014-04","2015-10","","","","2013-06","","Procurement dollars in the amount of $2.162 million support rehabilitation of Road F and Line 3 perimeter roads at Iowa Army Ammunition Plant.  Road F is a major thoroughfare serving production lines 3 and 4A. It also serves Line 3A, the Test Fire Area, and Storage Yards G and K.  Without major renovation, the road surface and base will continue to decay, increasing the hazards of transporting explosives and the cost of maintenance.","e4c7f4c038a61d32e0461f1db9af36aa1b024169-4-c7b1777281b86d6f6c3416e79702a5a865385ff6","e4c7f4c038a61d32e0461f1db9af36aa1b024169","root.record.FacilityList.ProductionSupportFacility","e4c7f4c038a61d32e0461f1db9af36aa1b024169-1-72b300d513ddcf2c71c30c53af0450c7a33a37c5"
"Production Support","2.425","","5.149","5.149","51X3692","Central Fire Alarm/Reporting System","","","","","","1.7","","1.885","1.885","","0.26","","3.191","3.191","","","","","","","0.073","0.073","","0.465","","","","","","","","","Artillery, Detonators, Modular Artillery Charge Sys (MACS), Mortars","2014-03","2016-04","","2018-01","2018-01","2018-01","2016-05","","FY 2016 Base procurement dollars in the amount of $5.149 million support additional phase to procure and install necessary equipment for alerting personnel of a fire event or faulty conditions in buildings across Iowa Army Ammunition Plant (AAP).  This fire suppression system, including sprinkler systems and ultraviolet deluge systems, will protect both property and personnel and operate in a variety of environments.  It will ensure Iowa AAP maintains compliance with applicable fire alarm and reporting system regulations.","e4c7f4c038a61d32e0461f1db9af36aa1b024169-5-47a7c0f4ab905963989861209ca90c8ab9d23661","e4c7f4c038a61d32e0461f1db9af36aa1b024169","root.record.FacilityList.ProductionSupportFacility","e4c7f4c038a61d32e0461f1db9af36aa1b024169-1-72b300d513ddcf2c71c30c53af0450c7a33a37c5"
"Production Support","2.369","","","","5143700","Line 3A Explosive Scrap Melter","","","","","","1.665","","","","","0.433","","","","","","","","","","","","","0.119","","","0.152","","","","","","High Explosive Artillery, Mortars","2014-06","2014-06","","2016-06","2016-06","2016-06","2013-05","","Procurement dollars in the amount of $2.369 million support efforts to design, procure and install explosive scrap reuse equipment on Line 3A at Iowa Army Ammunition Plant (AAP).  This effort will allow Iowa AAP to remelt and reuse excess material from Insensitive Munitions (IM) production.  In addition, this process will reduce safety and environmental risks by eliminating the requirement to store, transport and treat excess explosive material.  The project will include procurement of two rotary melting vessels, oven heat exchanger, process piping and associated control equipment.","e4c7f4c038a61d32e0461f1db9af36aa1b024169-6-8b71b6bbbd038a9f53737e0f43efa1e7d1cc6056","e4c7f4c038a61d32e0461f1db9af36aa1b024169","root.record.FacilityList.ProductionSupportFacility","e4c7f4c038a61d32e0461f1db9af36aa1b024169-1-72b300d513ddcf2c71c30c53af0450c7a33a37c5"
"Production Support","","3.282","","","5153746","Replace Chemical and Explosives Laboratory","","1.546","","","","","1.362","","","","","0.27","","","","","","","","","","","0.059","","","0.045","","","","","","","40mm, Artillery, Mortars, Tank","2015-05","2015-05","2016-10","2016-11","2016-11","2016-11","2014-12","","Procurement dollars in the amount of $3.282 million support modernization effort to construct new laboratories adequate to meet all water and chemical measurements and analysis required to support current production at Iowa Army Ammunition Plant.  The current facilities are over 70 years old and well past their useful life.  The new laboratory and equipment will meet current safety and environmental standards, allowing for enhanced production quality and a safe testing environment for personnel.","e4c7f4c038a61d32e0461f1db9af36aa1b024169-7-1cd7f5bd4881be85c1bcdb996da6e65665647878","e4c7f4c038a61d32e0461f1db9af36aa1b024169","root.record.FacilityList.ProductionSupportFacility","e4c7f4c038a61d32e0461f1db9af36aa1b024169-1-72b300d513ddcf2c71c30c53af0450c7a33a37c5"
"Production Support","","4.076","","","5153766","Upgrade Insensitive Munitions Explosive (IMX) Wastewater Treatment, Line 3A","","1.454","","","","","1.875","","","","","0.552","","","","","","","","","","","0.07","","","0.125","","","","","","","105mm/155mm Artillery, Mortars","2014-12","2014-12","2017-05","2017-08","2017-11","2017-11","2014-05","","Procurement dollars in the amount of $4.076 million support modernization improvements to the Line 3A, Load Assemble and Pack operations of Insensitive Munitions Explosive (IMX) projectiles at Iowa Army Ammunition Plant.  Efforts include upgrades to the wastewater treatment infrastructure, replacement of deteriorating energetic vapor control and treatment system, installation and integration of advanced wastewater treatment process as well as automation of treatment operation controls for line 3A.  These upgrades are required due to the advanced age of the equipment, the current system's incompatibility with IMX waste streams, emerging IMX production requirements, employee safety and environmental laws and regulations.  This effort will enhance product quality, equipment reliability, availability, and maintainability.","e4c7f4c038a61d32e0461f1db9af36aa1b024169-8-28ffce209e8b99ab8e678fc63d78d57c0eb50478","e4c7f4c038a61d32e0461f1db9af36aa1b024169","root.record.FacilityList.ProductionSupportFacility","e4c7f4c038a61d32e0461f1db9af36aa1b024169-1-72b300d513ddcf2c71c30c53af0450c7a33a37c5"
"Production Support","","","0.588","0.588","5165333","Ultraviolet (UV) Deluge System Upgrade, Line 3A","","","","","","","","0.455","0.455","","","","0.124","0.124","","","","","","","0.009","0.009","","","","","","","","","","","105mm Artillery, 155mm Artillery","2016-04","2016-04","","2016-10","2016-11","2017-12","2014-05","","FY 2016 Base procurement dollars in the amount of $0.588 million support replacement of the existing rapid response ultraviolet (UV) Deluge System in Buildings 3A-10-5 and 3A-50-1 at Iowa Army Ammunition Plant.  The new systems will enhance fire protection and detection and improve personnel safety.  Two additional UV systems in building 3A-05-1 will also be installed to support the explosive scrap melter equipment.","e4c7f4c038a61d32e0461f1db9af36aa1b024169-9-b85a41ac8ee8de40b3b2c6c9ca28892252645caf","e4c7f4c038a61d32e0461f1db9af36aa1b024169","root.record.FacilityList.ProductionSupportFacility","e4c7f4c038a61d32e0461f1db9af36aa1b024169-1-72b300d513ddcf2c71c30c53af0450c7a33a37c5"
"Production Support","","","1.491","1.491","5163743","Plant Wide Mass Warning System","","","0.306","0.306","","","","0.561","0.561","","","","0.58","0.58","","","","","","","0.044","0.044","","","","","","","","","","","60mm/81mm Mortar, Artillery","2016-03","2016-04","2017-12","2018-01","2018-01","2018-04","2016-05","","FY 2016 Base procurement dollars in the amount of $1.491 million support installation of a plant wide mass warning system at Iowa Army Ammunition Plant.  System will be audible to personnel both inside and outside of installation buildings.","e4c7f4c038a61d32e0461f1db9af36aa1b024169-10-0c6aac47f896bef58512364e1a1e571a7af9e904","e4c7f4c038a61d32e0461f1db9af36aa1b024169","root.record.FacilityList.ProductionSupportFacility","e4c7f4c038a61d32e0461f1db9af36aa1b024169-1-72b300d513ddcf2c71c30c53af0450c7a33a37c5"
"Production Support","6.534","","","","5143770","Main Heating Plant Upgrade and Maximum Achievable Control Technology (MACT) Compliance","5.319","","","","","","","","","","0.694","","","","","","","","","","","","","0.369","","","0.152","","","","","","120mm Tank, 155mm Artillery, 40mm, Mortars","2014-06","2014-06","","2017-06","2017-06","2017-07","","","Procurement dollars in the amount of $6.534 million support effort to upgrade the Main Heating Plant and meet Maximum Achievable Control Technology (MACT) air emission standards at Iowa Army Ammunition Plant.  This project will install a natural gas boiler, a natural gas pipeline and redundant combustion control servers.  It will also relocate and cover a conveyor belt and conduct miscellaneous upgrades necessary to meet recent changes to MACT standards.  This project will improve the safety and efficiency of the Main Heating Plant and ensure compliance with environmental regulations.","e4c7f4c038a61d32e0461f1db9af36aa1b024169-11-ceded4044ff49f82269e238d4d61b68f65c89c46","e4c7f4c038a61d32e0461f1db9af36aa1b024169","root.record.FacilityList.ProductionSupportFacility","e4c7f4c038a61d32e0461f1db9af36aa1b024169-1-72b300d513ddcf2c71c30c53af0450c7a33a37c5"
"Production Support","7.737","","","","5143910","Asbestos Abatement and Removal","","","","","","","","","","","","","","","","","","","","","","","","7.737","","","","","","","","","105mm/120mm Tank, 105mm/155mm Artillery, Modular Artillery Charging System","2014-09","2014-09","2016-08","","","","","","Procurement dollars in the amount of $7.737 million support effort to remove and abate asbestos in various production and storage facilities at Iowa Army Ammunition Plant.  Asbestos proposes significant risk to human health.  Friable Asbestos Containing Material will be removed from steam installation lines and lighting fixtures.","e4c7f4c038a61d32e0461f1db9af36aa1b024169-12-084db6101f17d7b16df6eb9c59507bb3a1937d54","e4c7f4c038a61d32e0461f1db9af36aa1b024169","root.record.FacilityList.ProductionSupportFacility","e4c7f4c038a61d32e0461f1db9af36aa1b024169-1-72b300d513ddcf2c71c30c53af0450c7a33a37c5"
"Production Support","","2.139","","","5153745","General Road Improvements (Roads D and E)","","1.602","","","","","","","","","","","","","","","","","","","","","0.537","","","","","","","","","","40mm, Artillery, Mortar, Tank","2015-04","2015-04","2016-08","","","","","","Procurement dollars in the amount of $2.139 million support improvements to Roads D and E at Iowa Army Ammunition Plant.  These roads support active production lines and storage yards.  This project will improve safety for plant operational vehicles containing explosive materials.","e4c7f4c038a61d32e0461f1db9af36aa1b024169-13-11198288852689ba0f0e8435b94be82d4d90246e","e4c7f4c038a61d32e0461f1db9af36aa1b024169","root.record.FacilityList.ProductionSupportFacility","e4c7f4c038a61d32e0461f1db9af36aa1b024169-1-72b300d513ddcf2c71c30c53af0450c7a33a37c5"
"Production Support","","6.751","","","5153773","Line 3A Distributed Natural Gas Boiler System","","2.5","","","","","2.919","","","","","0.8","","","","","0.35","","","","","","0.117","","","0.065","","","","","","","105/155mm Artillery, 60mm Mortars","2015-07","2015-07","2017-06","2017-06","2017-07","2017-08","","","Procurement dollars in the amount of $6.751 million support effort to install a high-pressure gas boiler at Iowa Army Ammunition Plant (AAP).  Project will assure the continued flow of steam for processes and heating, ventilation, and air conditioning (HVAC) purposes.  A 2013 baseline energy assessment estimated 33 percent of Iowa AAP's steam energy is lost through distribution, condensate, and insufficient or defective steam traps.","e4c7f4c038a61d32e0461f1db9af36aa1b024169-14-531f9113cfa5d669d55184faca8050978fe396d8","e4c7f4c038a61d32e0461f1db9af36aa1b024169","root.record.FacilityList.ProductionSupportFacility","e4c7f4c038a61d32e0461f1db9af36aa1b024169-1-72b300d513ddcf2c71c30c53af0450c7a33a37c5"
"Production Support","","6.36","","","5155029","Construct 100kW Fuel Cell Pilot Facility","","2.5","","","","","2","","","","","0.81","","","","","","","","","","","","","","0.36","","","","","","0.69","","","2015-05","2016-05","","2016-05","2016-08","","","Base procurement dollars support in the amount of $6.360 million support fuel cell modernization effort at Iowa Army Ammunition Plant (AAP).  This project will develop a pilot-scale process utilizing fuel cell technology for the reduction of Iowa AAP operational costs.  The reduced operational costs will be the result of enhanced power production efficiencies, energetics demilitarization and process by-product sales.  This project includes construction of a 100kW mobile fuel cell pilot facility, equipment procurement, pilot scale testing and market sales research of the chemical by-product.","e4c7f4c038a61d32e0461f1db9af36aa1b024169-15-57a64fb79f89e61eb5a2ce24d8298d434c3f8bb8","e4c7f4c038a61d32e0461f1db9af36aa1b024169","root.record.FacilityList.ProductionSupportFacility","e4c7f4c038a61d32e0461f1db9af36aa1b024169-1-72b300d513ddcf2c71c30c53af0450c7a33a37c5"
"Production Support","","2.791","14.702","14.702","51X3356","Small Caliber Modernization, Production Line Upgrades","","","","","","","2.001","9.75","9.75","","","0.747","4.123","4.123","","","","0.279","0.279","","0.55","0.55","0.043","","","","","","","","","",".50 Cal (all types except SLAP-T), 5.56mm, 7.62mm (all types)","2015-01","2016-03","","2017-09","2017-12","2018-01","2015-01","","FY 2016 Base procurement dollars in the amount of $14.702 million support modernization improvements in small caliber ammunition manufacturing at Lake City Army Ammunition Plant.  Efforts include upgrades to the automated high-speed Small Caliber Ammunition Modernization Program (SCAMP) production lines, including waste incinerator and .50 Cal bullet restoration, will improve product quality and equipment reliability, availability and maintainability.","e4c7f4c038a61d32e0461f1db9af36aa1b024169-0-5c775ffb3f23b6d08cc03e3aaba5033233b394e4","e4c7f4c038a61d32e0461f1db9af36aa1b024169","root.record.FacilityList.ProductionSupportFacility","e4c7f4c038a61d32e0461f1db9af36aa1b024169-2-090f68576afcbf7bb8bd30fd12ea174e8962095b"
"Production Support","5.065","","","","5143645","Hard Road Surface Recapitalization","4.092","","","","","","","","","","","","","","","","","","","","","","","0.973","","","","","","","","","20mm, 5.56mm, 7.62mm, Cal .50","2014-06","2014-06","2015-04","","","","2014-01","","Procurement dollars in the amount of $5.065 million support effort to resurface existing roads at Lake City Army Ammunition Plant (AAP).  This project will provide adequate roadways to production lines, storage yards and support facilities for safe travel by employees utilizing government, private and explosively laden vehicles.  This effort will also improve road conditions and reduce maintenance costs to roads and vehicles, and enhance working conditions and safety.  This effort will improve the quality of work environment at Lake City AAP.","e4c7f4c038a61d32e0461f1db9af36aa1b024169-1-61c73044c7e293ae18178705f6f465209ee03425","e4c7f4c038a61d32e0461f1db9af36aa1b024169","root.record.FacilityList.ProductionSupportFacility","e4c7f4c038a61d32e0461f1db9af36aa1b024169-2-090f68576afcbf7bb8bd30fd12ea174e8962095b"
"Production Support","","2.939","","","5153758","Structural Upgrades (Buildings 8, 11, and 16)","","2.3","","","","","","","","","","","","","","","","","","","","","0.396","","","0.243","","","","","","","5.56mm, 7.62mm, Cal .50","2015-01","2015-01","2016-04","","","","2015-01","","Base procurement dollars in the amount of $2.939 million support effort to rehabilitate structural deficiencies identified in Buildings 8, 11 and 16 at Lake City Army Ammunition Plant.  This effort will ensure the safety of personnel, protect production equipment and assure compliance with Occupational Safety and Health Administration, National Fire Protection Agency, National Electrical Code, and Building Codes.","e4c7f4c038a61d32e0461f1db9af36aa1b024169-2-7dd0cc25f9b14dd983d422f457172fb255310173","e4c7f4c038a61d32e0461f1db9af36aa1b024169","root.record.FacilityList.ProductionSupportFacility","e4c7f4c038a61d32e0461f1db9af36aa1b024169-2-090f68576afcbf7bb8bd30fd12ea174e8962095b"
"Production Support","2.1","","","","5143615","Conductive Flooring Replacement/Asbestos Removal (Buildings 1, 2 and 3)","1.614","","","","","","","","","","0.391","","","","","","","","","","","","","0.095","","","","","","","","","5.56mm, 7.62mm, Cal .50","2014-05","2014-05","2016-10","2016-10","","","2014-08","","Procurement dollars in the amount of $2.100 million support effort to modernize degraded conductive flooring in the explosives manufacturing areas of Buildings, 1, 2, and 3 at Lake City Army Ammunition Plant.  Based on safety regulations, a conductive floor is required to manufacture explosives.","e4c7f4c038a61d32e0461f1db9af36aa1b024169-3-996572601144bdbc68750c54053b1f10bf072c6e","e4c7f4c038a61d32e0461f1db9af36aa1b024169","root.record.FacilityList.ProductionSupportFacility","e4c7f4c038a61d32e0461f1db9af36aa1b024169-2-090f68576afcbf7bb8bd30fd12ea174e8962095b"
"Production Support","","","4.074","4.074","5163782","Building Management System / Metering Upgrade","","","","","","","","1.439","1.439","","","","2.159","2.159","","","","","","","0.476","0.476","","","","","","","","","","","5.56mm, 7.62mm, Cal .50","2016-03","2016-03","","2019-03","2019-04","2019-04","2016-11","","FY 2016 Base procurement dollars in the amount of $4.074 million support installation of metering to support utility monitoring and control at Lake City Army Ammunition Plant.  Effort will evaluate, design and install meters that monitor water, air, gas and electrical utilities.  Meters will be installed plant wide and will be incorporated into the overall Building Management System.","e4c7f4c038a61d32e0461f1db9af36aa1b024169-4-cbd97df950bff120e6a8757e88823df1db9ac1b1","e4c7f4c038a61d32e0461f1db9af36aa1b024169","root.record.FacilityList.ProductionSupportFacility","e4c7f4c038a61d32e0461f1db9af36aa1b024169-2-090f68576afcbf7bb8bd30fd12ea174e8962095b"
"Production Support","","","1.231","1.231","5163778","Exterior Steam Main Supports","","","1.144","1.144","","","","","","","","","","","","","","","","","0.087","0.087","","","","","","","","","","","5.56mm, 7.62mm, Cal .50","2016-03","2016-03","2017-03","","2017-04","2017-04","2016-11","","FY 2016 Base procurement dollars in the amount of $1.231 million support modernization of exterior steam supports at Lake City Army Ammunition Plant.  Effort will evaluate existing steam main supports and design and install new steam supports.  Effort will improve safety, reduce steam loss to manufacturing buildings and reduce risk of production interruptions.","e4c7f4c038a61d32e0461f1db9af36aa1b024169-5-e1bdf8666e477e51fab444f146a75900135a6872","e4c7f4c038a61d32e0461f1db9af36aa1b024169","root.record.FacilityList.ProductionSupportFacility","e4c7f4c038a61d32e0461f1db9af36aa1b024169-2-090f68576afcbf7bb8bd30fd12ea174e8962095b"
"Production Support","","","0.437","0.437","5163779","Building 15 Reverse Osmosis System","","","","","","","","0.139","0.139","","","","0.207","0.207","","","","","","","0.091","0.091","","","","","","","","","","","5.56mm, 7.62mm, Cal .50","2016-03","2016-03","2018-03","2018-03","2018-04","2018-04","2016-11","","FY 2016 Base procurement dollars in the amount of $0.437 million support equipment upgrade in Building 15 at Lake City Army Ammunition Plant.  The effort will design and install a reverse osmosis system in building 15.  Project will improve water quality which reduces solids build up in boiler tubes.  Reduction in solids build up will maximize the heat transfer in producing steam which will result in reduced water, natural gas, and chemical consumption.","e4c7f4c038a61d32e0461f1db9af36aa1b024169-6-3321158bd1bd833a8ede188c9b02c39325c9095b","e4c7f4c038a61d32e0461f1db9af36aa1b024169","root.record.FacilityList.ProductionSupportFacility","e4c7f4c038a61d32e0461f1db9af36aa1b024169-2-090f68576afcbf7bb8bd30fd12ea174e8962095b"
"Production Support","","","1.458","1.458","5163780","Building 15 Programmable Logic Control (PLC) and Economizer Upgrade","","","","","","","","0.522","0.522","","","","0.875","0.875","","","","","","","0.061","0.061","","","","","","","","","","","5.56mm, 7.62mm, Cal .50","2016-03","2016-03","","2018-03","2018-04","2018-04","2016-11","","FY 2016 Base procurement dollars in the amount of $1.458 million support modernization upgrades to Building 15 Programmable Logic Control (PLC) and economizer at Lake City Army Ammunition Plant.  Existing equipment does not meet National Fire Protection Agency code, is obsolete and replacement parts are difficult to procure.  This effort will design and install new economizers and PLC on boilers 1-4.  This system serves as a safety device to prevent boiler explosions.","e4c7f4c038a61d32e0461f1db9af36aa1b024169-7-8917d52822244e8893fb10aa34e06f1f802c70cb","e4c7f4c038a61d32e0461f1db9af36aa1b024169","root.record.FacilityList.ProductionSupportFacility","e4c7f4c038a61d32e0461f1db9af36aa1b024169-2-090f68576afcbf7bb8bd30fd12ea174e8962095b"
