"Name_val","Name_@footnote","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_ToComplete_val","Cost_TotalCost_Total_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_Continuing_val","Cost_Quantity_AllPriorYears_val","Cost_Quantity_Total_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_Quantity_ToComplete_val","Cost_UnitCost_AllPriorYears_val","Cost_UnitCost_Total_val","Cost_UnitCost_PriorYear_val","Cost_UnitCost_CurrentYear_val","Cost_UnitCost_BudgetYearOneBase_val","Cost_UnitCost_BudgetYearOne_val","Cost_UnitCost_BudgetYearTwo_val","Cost_UnitCost_BudgetYearThree_val","Cost_UnitCost_BudgetYearFour_val","Cost_UnitCost_BudgetYearFive_val","Cost_UnitCost_ToComplete_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneBase_UnitCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearOne_UnitCost_val","Cost_BudgetYearOne_Quantity_val","Cost_AllPriorYears_TotalCost_val","Cost_AllPriorYears_UnitCost_val","Cost_AllPriorYears_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_PriorYear_UnitCost_val","Cost_PriorYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_CurrentYear_UnitCost_val","Cost_CurrentYear_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOneOCO_UnitCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_ToComplete_TotalCost_val","Cost_ToComplete_UnitCost_val","Cost_ToComplete_Quantity_val","Cost_Total_TotalCost_val","Cost_Total_UnitCost_val","Cost_Total_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearTwo_UnitCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearThree_UnitCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFour_UnitCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFive_TotalCost_val","Cost_BudgetYearFive_UnitCost_val","Cost_BudgetYearFive_Quantity_val","Cost_Continuing_val","Cost_Continuing_@footnote","AllPriorYearsDeliveries_val","ManufacturerList_Manufacturer","SubCostElementList_SubCostElement","Remarks_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"2.4) Pec Trng Eq","","411.466","14.516","13.163","23.348","23.348","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cd853530d7156d2fc7d67a7a924b17c7f4f1f18f-3-390f246aadf702bb02b71b2a8fb1ea041c61facf","cd853530d7156d2fc7d67a7a924b17c7f4f1f18f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","cd853530d7156d2fc7d67a7a924b17c7f4f1f18f-0-c28f6806f4aae99d132cfe42ebdca0803fe9f2a2"
"2.5) Pub/Tech Eq","","112.482","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cd853530d7156d2fc7d67a7a924b17c7f4f1f18f-4-afb69a9dcd40ff11b494cb90971bcbd39712ef44","cd853530d7156d2fc7d67a7a924b17c7f4f1f18f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","cd853530d7156d2fc7d67a7a924b17c7f4f1f18f-0-c28f6806f4aae99d132cfe42ebdca0803fe9f2a2"
"2.6) Prod Eng Supt","","818.526","104.727","52.679","75.976","75.976","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cd853530d7156d2fc7d67a7a924b17c7f4f1f18f-5-b6806184d4fcb6c48ada47c5f50531ff4b19849d","cd853530d7156d2fc7d67a7a924b17c7f4f1f18f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","cd853530d7156d2fc7d67a7a924b17c7f4f1f18f-0-c28f6806f4aae99d132cfe42ebdca0803fe9f2a2"
"2.7) Other ILS","","787.859","35.127","56.753","55.412","55.412","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cd853530d7156d2fc7d67a7a924b17c7f4f1f18f-6-2a2e18a9d842c9d50848d0bb99af2c891b179108","cd853530d7156d2fc7d67a7a924b17c7f4f1f18f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","cd853530d7156d2fc7d67a7a924b17c7f4f1f18f-0-c28f6806f4aae99d132cfe42ebdca0803fe9f2a2"
"2.8) Common SE","","231.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cd853530d7156d2fc7d67a7a924b17c7f4f1f18f-7-64f57b9ccc04ad43ff9835490f7e96468885081f","cd853530d7156d2fc7d67a7a924b17c7f4f1f18f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","cd853530d7156d2fc7d67a7a924b17c7f4f1f18f-0-c28f6806f4aae99d132cfe42ebdca0803fe9f2a2"
"7.1) PRODUCTION ENGINEERING","","17.922","2.942","2.497","3.03","3.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cdb8d9676f0b67da1f5627cfe8f95129e66bba42-0-9a3065c528da0e544e867ac691e7cc973b8dce92","cdb8d9676f0b67da1f5627cfe8f95129e66bba42","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","cdb8d9676f0b67da1f5627cfe8f95129e66bba42-0-7d974bf3a1af56caed6f3232e01a8cbe9a4479e5"
"5.1) PROCUREMENT SUPPORT","","200.587","16.354","16.021","13.479","13.479","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cef280d14409532ed5326d87f154b00c7d0a0013-0-0e79cb348a30f5f890f9d1a08f13f164429f7b2a","cef280d14409532ed5326d87f154b00c7d0a0013","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","cef280d14409532ed5326d87f154b00c7d0a0013-0-9495c30a9af37404209c1c0798faffe7bcd490d2"
"5.2) TOOLING AND TEST SUPPORT","","39.448","","0.482","0.497","0.497","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cef280d14409532ed5326d87f154b00c7d0a0013-1-af908fe321ca008b94fc12ab9a01fc403a943582","cef280d14409532ed5326d87f154b00c7d0a0013","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","cef280d14409532ed5326d87f154b00c7d0a0013-0-9495c30a9af37404209c1c0798faffe7bcd490d2"
"5.3) PERFORMANCE CHARACTERIZATION","","29.924","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cef280d14409532ed5326d87f154b00c7d0a0013-2-1408d2a9534e48610fd7fa92cb3ec96ed631eab3","cef280d14409532ed5326d87f154b00c7d0a0013","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","cef280d14409532ed5326d87f154b00c7d0a0013-0-9495c30a9af37404209c1c0798faffe7bcd490d2"
"5.4) ILS/FLEET DOCUMENTATION","","","","0.617","0.612","0.612","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cef280d14409532ed5326d87f154b00c7d0a0013-3-29f1b1c4ba5ebd1be82d0392b37acea74d7d8fbb","cef280d14409532ed5326d87f154b00c7d0a0013","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","cef280d14409532ed5326d87f154b00c7d0a0013-0-9495c30a9af37404209c1c0798faffe7bcd490d2"
"5.5) COMPONENT IMPROVEMENT/ECPS","Supports the new flex harness which replaces the Unit 8 round wire harness that connects the units in the guidance section.  Analysis of reliability data for all ESSM firings has identified the technically obsolete guidance section Unit 8 harness as the biggest contributor of ESSM reliability failures. The updated flex harness can be installed in guidance sections when they are returned for depot level repair.  Use of this new harness is expected to increase the in-flight reliability of the ESSM inventory.","","1.04","7.5","2.965","2.965","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cef280d14409532ed5326d87f154b00c7d0a0013-4-47a89b980fb6765a5e49c1f3a7e0706e2c984a12","cef280d14409532ed5326d87f154b00c7d0a0013","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","cef280d14409532ed5326d87f154b00c7d0a0013-0-9495c30a9af37404209c1c0798faffe7bcd490d2"
"5.6) DIMINISHING MANUFACTURING SOURCES","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cef280d14409532ed5326d87f154b00c7d0a0013-5-12ca616627c2d15b7b4c338220d5c9e5679564a6","cef280d14409532ed5326d87f154b00c7d0a0013","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","cef280d14409532ed5326d87f154b00c7d0a0013-0-9495c30a9af37404209c1c0798faffe7bcd490d2"
"Technical Publications","","1.316","0.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d0091030ff83504e3be8dd77ea4500daacc243a1-0-fe9e94bf51d3effdc5b2d873fa6c72ffc09a1149","d0091030ff83504e3be8dd77ea4500daacc243a1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","d0091030ff83504e3be8dd77ea4500daacc243a1-0-2ad7ff48199a8ce86cbf80885be3a960cffed5fd"
"Systems/Production Engineering","","","4.776","2.725","2.991","2.991","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d0091030ff83504e3be8dd77ea4500daacc243a1-1-a7582367725068daadd5c4adb30a4c9cd85b032e","d0091030ff83504e3be8dd77ea4500daacc243a1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","d0091030ff83504e3be8dd77ea4500daacc243a1-0-2ad7ff48199a8ce86cbf80885be3a960cffed5fd"
"Technical and Logistics Data/Services","","","0.192","0.37","0.381","0.381","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d0091030ff83504e3be8dd77ea4500daacc243a1-2-33daabb523f53dbb58d4c0272cc25a747a1bceeb","d0091030ff83504e3be8dd77ea4500daacc243a1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","d0091030ff83504e3be8dd77ea4500daacc243a1-0-2ad7ff48199a8ce86cbf80885be3a960cffed5fd"
"Information Assurance","","0.3","0.3","0.366","0.374","0.374","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d0091030ff83504e3be8dd77ea4500daacc243a1-3-4d70b8dd95a7a54fad6b7f9b2b270ee534b079aa","d0091030ff83504e3be8dd77ea4500daacc243a1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","d0091030ff83504e3be8dd77ea4500daacc243a1-0-2ad7ff48199a8ce86cbf80885be3a960cffed5fd"
"Quality Assurance","","","0.18","0.091","0.092","0.092","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d0091030ff83504e3be8dd77ea4500daacc243a1-4-c119b88d76a0fb1f2f3b244d81ad6d7bbf857b2e","d0091030ff83504e3be8dd77ea4500daacc243a1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","d0091030ff83504e3be8dd77ea4500daacc243a1-0-2ad7ff48199a8ce86cbf80885be3a960cffed5fd"
"Other Program Costs","","187.535","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d0091030ff83504e3be8dd77ea4500daacc243a1-5-68e15090062e744a9826f0f1f53e903c524856ba","d0091030ff83504e3be8dd77ea4500daacc243a1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","d0091030ff83504e3be8dd77ea4500daacc243a1-0-2ad7ff48199a8ce86cbf80885be3a960cffed5fd"
"Systems/Production Engineering","","7.729","1","2.72","1.039","1.039","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d0091030ff83504e3be8dd77ea4500daacc243a1-0-f9e935e19074a5e9573a3e6f4829ed5818ae18d8","d0091030ff83504e3be8dd77ea4500daacc243a1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","d0091030ff83504e3be8dd77ea4500daacc243a1-0-5c22d1e47cf5f5e754d6f03907d09134b741d5b8"
"Software Engineering/Support","","2.5","0.2","0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d0091030ff83504e3be8dd77ea4500daacc243a1-1-e33f1c7f7bbf77dab3c4b543c0f88d8df198a614","d0091030ff83504e3be8dd77ea4500daacc243a1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","d0091030ff83504e3be8dd77ea4500daacc243a1-0-5c22d1e47cf5f5e754d6f03907d09134b741d5b8"
"Quality Assurance","","0.25","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d0091030ff83504e3be8dd77ea4500daacc243a1-2-dd884588fe21b88ba808d9beaa9cb16b9bcdec39","d0091030ff83504e3be8dd77ea4500daacc243a1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","d0091030ff83504e3be8dd77ea4500daacc243a1-0-5c22d1e47cf5f5e754d6f03907d09134b741d5b8"
"Support Equipment - LRUs/TPSs","","3.051","2.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d0091030ff83504e3be8dd77ea4500daacc243a1-3-55fb9be4fde614a91a334098b12ba70ac9ce02e3","d0091030ff83504e3be8dd77ea4500daacc243a1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","d0091030ff83504e3be8dd77ea4500daacc243a1-0-5c22d1e47cf5f5e754d6f03907d09134b741d5b8"
"Test Program Set Support","","5.655","","7.6","2.5","2.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d0091030ff83504e3be8dd77ea4500daacc243a1-4-cb77efffaf0116c180df7e2420fd84a4707cfa7d","d0091030ff83504e3be8dd77ea4500daacc243a1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","d0091030ff83504e3be8dd77ea4500daacc243a1-0-5c22d1e47cf5f5e754d6f03907d09134b741d5b8"
"Technical and Logistics Data/Services","","","","0.9","0.5","0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d0091030ff83504e3be8dd77ea4500daacc243a1-5-2aa20960a92df3e78466c38c65c9f6d2a24964c0","d0091030ff83504e3be8dd77ea4500daacc243a1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","d0091030ff83504e3be8dd77ea4500daacc243a1-0-5c22d1e47cf5f5e754d6f03907d09134b741d5b8"
"Other Program Costs","","23.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d0091030ff83504e3be8dd77ea4500daacc243a1-6-e42e850279ad507095955bfd685b258a45bc0db8","d0091030ff83504e3be8dd77ea4500daacc243a1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","d0091030ff83504e3be8dd77ea4500daacc243a1-0-5c22d1e47cf5f5e754d6f03907d09134b741d5b8"
"2.1) Airframe PGSE","Cost Elements 2.1 Airframe Peculiar Ground Support Equipment (PGSE), 2.2 Engine PGSE, and 2.3 Avionics PGSE  increase in FY 2015 to support Title 10 United States code requirements to establish remaining program requirement capabilities for depot level maintenance and repair.","51.777","5.963","16.51","37.573","37.573","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d06f776b3838b9690f014e7de05dcde9225f3675-0-8955aff2ff056ca6407e336656283b8e95743043","d06f776b3838b9690f014e7de05dcde9225f3675","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","d06f776b3838b9690f014e7de05dcde9225f3675-0-331b7f20927317e59065d91199b77df775adc27c"
"2.2) Engine PGSE","","1.096","0.135","0.689","0.791","0.791","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d06f776b3838b9690f014e7de05dcde9225f3675-1-64a30b5f8915ecd537bbb9d6f0756e16d650186e","d06f776b3838b9690f014e7de05dcde9225f3675","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","d06f776b3838b9690f014e7de05dcde9225f3675-0-331b7f20927317e59065d91199b77df775adc27c"
"2.3) Avionics PGSE","","231.62","5.802","15.978","48.743","48.743","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d06f776b3838b9690f014e7de05dcde9225f3675-2-fc0677b62f8401dabcf7416cfff8632b905a0090","d06f776b3838b9690f014e7de05dcde9225f3675","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","d06f776b3838b9690f014e7de05dcde9225f3675-0-331b7f20927317e59065d91199b77df775adc27c"
"2.4) PEC Training Equipment","Cost Element 2.4 Pec Training increase in FY 2015 is to procure Tactical Operational Flight Trainers (TOFTs) 12 and 13 and convert a current SH-60B TOFT to MH-60R TOFT 14. Each TOFT will include an Operational Flight Trainer, Flight Instructor Station, Weapons Tactical Trainer, Sensor Instructor Station, and Tactical Instructor Stations. The MH-60R TOFTs provides the full range of high-fidelity training required by the operators in support of the aircraft's multiple missions.","343.772","3.151","4.459","63.337","63.337","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d06f776b3838b9690f014e7de05dcde9225f3675-3-e15ecb56da1ee16ed7526d9a5bf6b2a24223a83b","d06f776b3838b9690f014e7de05dcde9225f3675","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","d06f776b3838b9690f014e7de05dcde9225f3675-0-331b7f20927317e59065d91199b77df775adc27c"
"2.5) Pubs/Tech Data","Cost element 2.5 increase in FY 2015 is to procure remaining publications to support MH-60R production.","22.373","5.201","2.832","9.973","9.973","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d06f776b3838b9690f014e7de05dcde9225f3675-4-c960de3984cac9f7cc19382993dbed5cf62c6c7d","d06f776b3838b9690f014e7de05dcde9225f3675","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","d06f776b3838b9690f014e7de05dcde9225f3675-0-331b7f20927317e59065d91199b77df775adc27c"
"2.6) Other ILS","Cost element 2.6 increase in FY 2015 is to procure remaining ILS products to support MH-60R production.","70.874","2.436","5.996","17.426","17.426","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d06f776b3838b9690f014e7de05dcde9225f3675-5-7a0ecbfb42bb9f3cfecd6e825d06b4bad382931e","d06f776b3838b9690f014e7de05dcde9225f3675","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","d06f776b3838b9690f014e7de05dcde9225f3675-0-331b7f20927317e59065d91199b77df775adc27c"
"2.7) Field Activities","Cost element 2.7 increase in FY 2015 to support MH-60R production through final deliveries.","302.31","28.844","26.641","45.347","45.347","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d06f776b3838b9690f014e7de05dcde9225f3675-6-18a3968e05e2379bd36dfde8f21b4559ad2e6bc0","d06f776b3838b9690f014e7de05dcde9225f3675","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","d06f776b3838b9690f014e7de05dcde9225f3675-0-331b7f20927317e59065d91199b77df775adc27c"
"2.8) Production Line Support","Cost element 2.8 increase in FY 2015 to support MH-60R production through final deliveries.","126.609","1.519","0.95","4.956","4.956","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d06f776b3838b9690f014e7de05dcde9225f3675-7-59f6ebc2a20ec76bb9b1a24659efe6b4cc90d71a","d06f776b3838b9690f014e7de05dcde9225f3675","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","d06f776b3838b9690f014e7de05dcde9225f3675-0-331b7f20927317e59065d91199b77df775adc27c"
"2.1) Engineering Support","","4.602","2.83","9.369","3.464","3.464","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d2663b3650be4d26ade23c8df0c8dc2116ea8916-0-34d7f00673bee1c6dfecba23472caf1293c21106","d2663b3650be4d26ade23c8df0c8dc2116ea8916","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","d2663b3650be4d26ade23c8df0c8dc2116ea8916-0-1ac05888a9dfd634d7a2cedc462029828a488f44"
"2.2) Program Support","","4.554","1.539","6.387","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d2663b3650be4d26ade23c8df0c8dc2116ea8916-1-21c14b5237482a2b929331039264072b2c99944b","d2663b3650be4d26ade23c8df0c8dc2116ea8916","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","d2663b3650be4d26ade23c8df0c8dc2116ea8916-0-1ac05888a9dfd634d7a2cedc462029828a488f44"
"2.3) Shipping","","","","0.4","0.3","0.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d2663b3650be4d26ade23c8df0c8dc2116ea8916-2-7ca41a0f7f5aef96c732e8222441449d61e5f29c","d2663b3650be4d26ade23c8df0c8dc2116ea8916","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","d2663b3650be4d26ade23c8df0c8dc2116ea8916-0-1ac05888a9dfd634d7a2cedc462029828a488f44"
"2.4) Other Prior Year","","568.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d2663b3650be4d26ade23c8df0c8dc2116ea8916-3-1955c2059a9bde1af4133dac81ed18379603f590","d2663b3650be4d26ade23c8df0c8dc2116ea8916","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","d2663b3650be4d26ade23c8df0c8dc2116ea8916-0-1ac05888a9dfd634d7a2cedc462029828a488f44"
"2.1) Fielding/Training/FDT","","","","","1.61","1.61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d28f77eb6884de0bbcc5e8ad6248a5fc17e127b9-0-58e6b6fd96e7d9035370507a3d141e2b66444914","d28f77eb6884de0bbcc5e8ad6248a5fc17e127b9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","d28f77eb6884de0bbcc5e8ad6248a5fc17e127b9-0-90a8602a972ab2b1e0e43f26cf4532bd7a09196e"
"2.2) Production Verification Testing","","","","","8.64","8.64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d28f77eb6884de0bbcc5e8ad6248a5fc17e127b9-1-66e37298b2a8bd34d84abbb268e18b2cd1197d03","d28f77eb6884de0bbcc5e8ad6248a5fc17e127b9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","d28f77eb6884de0bbcc5e8ad6248a5fc17e127b9-0-90a8602a972ab2b1e0e43f26cf4532bd7a09196e"
"2.3) Pre-Production Qualification Test (PPQT)","","","","1.224","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d28f77eb6884de0bbcc5e8ad6248a5fc17e127b9-2-6d363e5d7d56eeb6f3fd2a79f73e131782c913e3","d28f77eb6884de0bbcc5e8ad6248a5fc17e127b9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","d28f77eb6884de0bbcc5e8ad6248a5fc17e127b9-0-90a8602a972ab2b1e0e43f26cf4532bd7a09196e"
"Airframe Peculiar Ground Support Equipment (PGSE)","","6.2","0.5","0.178","2.034","2.034","","4.77","16.211","0.756","1.773","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d32843718d71c1a25e1b3b3e9a420541746a559a-0-3380ab2a8878b0c9b7f236083b5a8ff252c7c1de","d32843718d71c1a25e1b3b3e9a420541746a559a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","d32843718d71c1a25e1b3b3e9a420541746a559a-0-aaa6b15b15d4dd90e4965c3b2a8ec6424c77acb8"
"Peculiar Training Equipment","","50.655","7.905","5.152","5.131","5.131","","15.971","125.998","5.026","34.408","","1.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d32843718d71c1a25e1b3b3e9a420541746a559a-1-a43082d573e90cfe032fb1fbc5ac61dfa6580663","d32843718d71c1a25e1b3b3e9a420541746a559a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","d32843718d71c1a25e1b3b3e9a420541746a559a-0-aaa6b15b15d4dd90e4965c3b2a8ec6424c77acb8"
"Block/Upgrade","","0.000","","0.000","0.000","0.000","","0.000","10","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d32843718d71c1a25e1b3b3e9a420541746a559a-2-a978dd13b8cdf57c300bb51aa729f6cb8795bddc","d32843718d71c1a25e1b3b3e9a420541746a559a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","d32843718d71c1a25e1b3b3e9a420541746a559a-0-aaa6b15b15d4dd90e4965c3b2a8ec6424c77acb8"
