"Name_val","Name_@footnote","CategoryList_Category","TotalCost_TotalCost_AllPriorYears_val","TotalCost_TotalCost_PriorYear_val","TotalCost_TotalCost_CurrentYear_val","TotalCost_TotalCost_BudgetYearOneBase_val","TotalCost_TotalCost_BudgetYearOneBase_@footnote","TotalCost_TotalCost_BudgetYearOneOCO_val","TotalCost_TotalCost_BudgetYearOne_val","TotalCost_TotalCost_BudgetYearTwo_val","TotalCost_TotalCost_BudgetYearThree_val","TotalCost_TotalCost_BudgetYearFour_val","TotalCost_TotalCost_BudgetYearFive_val","TotalCost_TotalCost_ToComplete_val","TotalCost_TotalCost_Total_val","TotalCost_TotalCost_Continuing_val","ModificationItemsIndicator_val","Remarks_val","OverallHistoryPlanningRemarks_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Acquisition Resource Analysis","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-25b305ab381dc4bd98079ef3d3b2ce1966203338-0-f0970bcdb9cdf09e4c17da2c552abe117f9be15a","43.679","15","","","","","","","","","","","","","","The FY 2014 request includes $15.000 million for the Indian Financing Act.  The Office of Small Business Programs expects to issue in excess of 120 rebates to prime contractors for utilizing native American firms in 2014.","","25b305ab381dc4bd98079ef3d3b2ce1966203338-0-457b5e442cb452064a7fc50b15a7dc634c39d384","25b305ab381dc4bd98079ef3d3b2ce1966203338","root","25b305ab381dc4bd98079ef3d3b2ce1966203338-b49ffc9285bae45c97458de902fe394f5d407380"
"B-2 Squadrons","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-25f1b666033f89cb33c735653e59c569dae1a9c4-0-30266e43dbf83e3fe42c5504675f059095bf81f1","","0.649","0.495","0.493","","","0.493","","","","","","","","","","","25f1b666033f89cb33c735653e59c569dae1a9c4-0-65a2a5a94d9059031d848678bd48cfe43c1a20be","25f1b666033f89cb33c735653e59c569dae1a9c4","root","25f1b666033f89cb33c735653e59c569dae1a9c4-64f8d2e78c0b5bdad0d6fb04d273c9878408d6a5"
"Strat War Planning System - USSTRATCOM","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-25f1b666033f89cb33c735653e59c569dae1a9c4-1-ca43ae448ddcef270f082295aec5466d5e43c593","","11.023","0","0","","0","0","","","","","","","","","","","25f1b666033f89cb33c735653e59c569dae1a9c4-1-f983fc67c2dabe77a1e4b90287822a37cbe6c255","25f1b666033f89cb33c735653e59c569dae1a9c4","root","25f1b666033f89cb33c735653e59c569dae1a9c4-64f8d2e78c0b5bdad0d6fb04d273c9878408d6a5"
"Worldwide Joint Strategic Communications","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-25f1b666033f89cb33c735653e59c569dae1a9c4-2-3820f7c1c0909e307b350778f14ec59ab7103e5e","","0","0","0.248","","0","0.248","","","","","","","","","","","25f1b666033f89cb33c735653e59c569dae1a9c4-2-4afaa2a7e51a3eb26f1b728866067860439e394d","25f1b666033f89cb33c735653e59c569dae1a9c4","root","25f1b666033f89cb33c735653e59c569dae1a9c4-64f8d2e78c0b5bdad0d6fb04d273c9878408d6a5"
"Cyber Command Activities","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-25f1b666033f89cb33c735653e59c569dae1a9c4-3-0be2f6ffc176ab959b61972db0fe6c0b91d082ee","","","","7.948","","","7.948","","","","","","","","","","","25f1b666033f89cb33c735653e59c569dae1a9c4-3-7a104c92c7b18f940d6492ae49b181e06b47a2a6","25f1b666033f89cb33c735653e59c569dae1a9c4","root","25f1b666033f89cb33c735653e59c569dae1a9c4-64f8d2e78c0b5bdad0d6fb04d273c9878408d6a5"
"Command, Control, Communication, and Computers (C4) - STRATCOM","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-25f1b666033f89cb33c735653e59c569dae1a9c4-4-9e5813481b57051ec82489f24b95efaafb6bd345","","11.051","139.489","278.291","","0","278.291","","","","","","","","","C2 Facility Fit-Out is broken down into 10 Major Categories:Fiber Ring, Transition Infrastructure, Premise Wiring, Electronic Security Systems, Network / Communications Systems, Server / Client / Data Systems, Audio Visual / Video Teleconferencing Systems, Missions Systems, Technical Control Facility, and Uninterruptable Power Supply.  There are thousands of parts and pieces to satisfy requirements...for example:Fiber Ring: Copper Cable (miles), Fiber Optic Cable (miles)Premise Wiring:  Equipment racks (2000+), Fiber Optic Cable (miles), CAT-6A Cable (miles), MUTOAs (6000+), Patch Cabling (thousands)Network/Communications:  Crypto Gear, Storage Chassis, IA Devices, Additional Cabling, Servers, Licensing, Access Layer Switches, Network Management Software, Intrusion Prevention Systems, Proxy System, Log Reduction Systems, Blade Server Enclosures, Mutli-Control Units (MCUs), VoIP Instruments, Call ManagersServer/Client/Data Hardware:  Client Machines, Printers, Devices, End-user Licensing, Additional Storage, Additional Server Blades, Cabling, Connectors Audio Visual/VTC Hardware:  AV/VTC Bridges, Audio/Video SwitchingMission Systems Hardware:  Servers, Storage Devices, Client Machines, Guards, Firewalls, Antennas, Bridges, Gateways, Gatekeepers, Border ControllerTech Control Facility Relocation: Circuits, Cabling, Specialized Racks, Patch Fields","","25f1b666033f89cb33c735653e59c569dae1a9c4-4-ddaba81fe3f5667b8061b3b56288c61593adf460","25f1b666033f89cb33c735653e59c569dae1a9c4","root","25f1b666033f89cb33c735653e59c569dae1a9c4-64f8d2e78c0b5bdad0d6fb04d273c9878408d6a5"
"","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-264b4a0106c90044b6bbbfcc5d12245fefcf6370-0-ea290d20ae714449d1f46d88d792aff8fbcdd9d6","2.666","","","0.637","","","0.637","","","","","","","","","","","264b4a0106c90044b6bbbfcc5d12245fefcf6370-0-416f93ad01093dabf7c64f01a51417237c4fd287","264b4a0106c90044b6bbbfcc5d12245fefcf6370","root","264b4a0106c90044b6bbbfcc5d12245fefcf6370-fbd75cc1606770062253b0d9006a69fb325a01bf"
"","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-269706bb96e2f9e7683231cfa68c23f9e42539e1-0-a457f6944c8a8f4da1b7cf4f425d48e7141305d3","113.777","0.554","0.426","0.425","","","0.425","","","","","","","","","","","269706bb96e2f9e7683231cfa68c23f9e42539e1-0-7f8db69525cb34f86853fd5af78518ef27ab958f","269706bb96e2f9e7683231cfa68c23f9e42539e1","root","269706bb96e2f9e7683231cfa68c23f9e42539e1-49c3f2aeb6b209012f3aeb6ba77f04c0a7ceb591"
"Mission Training Preparation Systems (MTPS)","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-26b0d75a1f3b77f36645cb5550376785c04f29e0-0-3a8036a9e19d9faf8cb630c2304ac7bf61b3276d","","7.996","4.436","","","","","","23.408","2.522","26.635","","","true","true","","","26b0d75a1f3b77f36645cb5550376785c04f29e0-0-7d6440d1d2d7dc2a73b08c3484a4043510cb156b","26b0d75a1f3b77f36645cb5550376785c04f29e0","root","26b0d75a1f3b77f36645cb5550376785c04f29e0-f8b6413f90b94a5ae68235a558df8421913efd09"
"Items Less Than $5 Million","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-26fc984aa618469b74e6ceb8c3746c2d43973f61-0-1e1e3d9de442a7fd2bb9c32eb4aa9e00b367f0c7","40.508","14.18","10.759","9.906","","","9.906","","","","","","","","","","","26fc984aa618469b74e6ceb8c3746c2d43973f61-0-d2d72b3d41e81666b972641dc4e5618c89ac44d7","26fc984aa618469b74e6ceb8c3746c2d43973f61","root","26fc984aa618469b74e6ceb8c3746c2d43973f61-2e7a41b89979ac8ce7b0b6a91e37359579f2d85f"
"Industrial Responsiveness","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-2907b397c4cf75e54a282b142eea57af9f639a84-0-e44677e168020b23ca51b266e3b0fa55fc2d6290","","17.742","21.363","18.802","","0","18.802","","","","","","","","","","","2907b397c4cf75e54a282b142eea57af9f639a84-0-804ee0fd4c5c88191208f7aca56ae5a2d0223974","2907b397c4cf75e54a282b142eea57af9f639a84","root","2907b397c4cf75e54a282b142eea57af9f639a84-273e49c4a0dc704e7f570d56838238b96940498c"
"EMI Control Instrumentation","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-291be7db00e9784249e646137212312f7366a233-0-bdfb900814741aade0e3e4cccd4dc6ece1e80121","123.415","4.664","4.113","4.175","","","4.175","","","","","","","","","","","291be7db00e9784249e646137212312f7366a233-0-4179a8b586ca6981c721e4060734596d76685636","291be7db00e9784249e646137212312f7366a233","root","291be7db00e9784249e646137212312f7366a233-cf1fd283d4aafdaa093c40dda179c67b96f3dcb8"
"","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-29cbc573a9a67d9d9a95ac748b19b747cf874b53-0-84efde291fbdcf039db648701cb2e6d49f7555fd","72.806","3.931","6.062","3.863","","","3.863","","","","","","","","","","","29cbc573a9a67d9d9a95ac748b19b747cf874b53-0-d4b94979e9b91f31b0dfe519315ecf0259725d6d","29cbc573a9a67d9d9a95ac748b19b747cf874b53","root","29cbc573a9a67d9d9a95ac748b19b747cf874b53-e2371027973379391113662d7ab02526311e5e9f"
"Pollution Control Equipment","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-2ad208eccc34a8fa30d0f79fc5be4261cbcc954d-0-bbc7b503254206f4d311356c64a7e43a2d362938","0","3.852","2.942","3.018","","","3.018","","","","","","","","","","","2ad208eccc34a8fa30d0f79fc5be4261cbcc954d-0-0ef1fa5cb65d5df820f1a08425051f6334946111","2ad208eccc34a8fa30d0f79fc5be4261cbcc954d","root","2ad208eccc34a8fa30d0f79fc5be4261cbcc954d-fc0866084495e794557348da7aec540851af87d8"
"Nuclear Alterations","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-2b783d0e93068f9a57234eb3d01fe7a35011c63b-0-ff8491c91185a94b82dcdf65b4d73eb5b287264a","402.126","106.328","118.129","132.625","","","132.625","","","","","","","","","","","2b783d0e93068f9a57234eb3d01fe7a35011c63b-0-04bb9ac6817c1237e4c7348efffd9a4a4a669902","2b783d0e93068f9a57234eb3d01fe7a35011c63b","root","2b783d0e93068f9a57234eb3d01fe7a35011c63b-d42186ae8730733cadcfd44120c3611facf35413"
"Standard Boats","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-2d3310a3ec4c0a639184d1e4d37ae8ca9574508c-0-4254707536d89096daf29c00ec8e7a8e695fce43","297.839","28.676","126.445","29.982","","","29.982","","","","","","","","","","","2d3310a3ec4c0a639184d1e4d37ae8ca9574508c-0-2d7978cd12856bfdd677b3a9efed38fc76c98e6d","2d3310a3ec4c0a639184d1e4d37ae8ca9574508c","root","2d3310a3ec4c0a639184d1e4d37ae8ca9574508c-f9e2141f1a5d42152d77a303d9f882e2eb3257e9"
"AMC Command and Control System","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-2e22640dc381b65ec04b76abf0f6b1b6a989dad9-0-a6f599514d7499815f79f311ae48f501b91a59f2","","9.079","11.095","11.062","","0","11.062","","","","","","","","","","","2e22640dc381b65ec04b76abf0f6b1b6a989dad9-0-f917c42de7a5c479c18d9d77a071e766b0d82d4c","2e22640dc381b65ec04b76abf0f6b1b6a989dad9","root","2e22640dc381b65ec04b76abf0f6b1b6a989dad9-4c6ddbf1befbca8c42cb7723227d8fe0d72962e4"
"Training","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-2e22640dc381b65ec04b76abf0f6b1b6a989dad9-1-770b6442fdd4dce87cf47bb48a2f75f16a3f6561","","0","0","0","","0","0","","","","","","","","","","","2e22640dc381b65ec04b76abf0f6b1b6a989dad9-1-d0a550dce202cf42abf442a08582372396aa5574","2e22640dc381b65ec04b76abf0f6b1b6a989dad9","root","2e22640dc381b65ec04b76abf0f6b1b6a989dad9-4c6ddbf1befbca8c42cb7723227d8fe0d72962e4"
"Special Operations Forces","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-2e22640dc381b65ec04b76abf0f6b1b6a989dad9-2-be7606645baa0664706fcc63bff5fe4f7798cf8a","","","","","","2","2","","","","","","","","","","","2e22640dc381b65ec04b76abf0f6b1b6a989dad9-2-46369914f88f3e2e4d71137ce3755553ccd3dc44","2e22640dc381b65ec04b76abf0f6b1b6a989dad9","root","2e22640dc381b65ec04b76abf0f6b1b6a989dad9-4c6ddbf1befbca8c42cb7723227d8fe0d72962e4"
"SPECIAL TACTICS / COMBAT CONTROL","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-2e22640dc381b65ec04b76abf0f6b1b6a989dad9-3-f94734d9b0cdde16eab6f583d42cb83be335e0df","","0.305","0.367","0","","0","0","","","","","","","","","","","2e22640dc381b65ec04b76abf0f6b1b6a989dad9-3-ab0a8f06c08f1a49bc18cdaafb5d9c3fdf6f0baf","2e22640dc381b65ec04b76abf0f6b1b6a989dad9","root","2e22640dc381b65ec04b76abf0f6b1b6a989dad9-4c6ddbf1befbca8c42cb7723227d8fe0d72962e4"
"Deep Subm Sys Proj (DSSP) Equip","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-2fc1390f7f24d982981d8397b4f27d446ad7c1d9-0-6d72da5a8feea5b3f28da6cbcf1ef93bfcf43cf1","132.793","2.455","5.518","7.376","","","7.376","","","","","","","","","","","2fc1390f7f24d982981d8397b4f27d446ad7c1d9-0-fcc50384072f5ac24ae7be1c45f35fc0523bdaea","2fc1390f7f24d982981d8397b4f27d446ad7c1d9","root","2fc1390f7f24d982981d8397b4f27d446ad7c1d9-9c778774c0f49f35faad502fd1817453677dd618"
"C-12","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-3014725d997f758d5ecfa48ecf71a87e327a70f4-0-91a08d6b5bdf6b6bd2e304b44240d4dab0dcc1c9","0","0.876","1.96","1.98","","0","1.98","2.013","2.053","2.091","2.126","0","13.099","","true","","","3014725d997f758d5ecfa48ecf71a87e327a70f4-0-9c629a1c4a3fdfbad295a2a91c98b16f43aded31","3014725d997f758d5ecfa48ecf71a87e327a70f4","root","3014725d997f758d5ecfa48ecf71a87e327a70f4-ca711f1ccbd4152957785c5600f41fc2f0148966"
"","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-30bf4cb2de25e12c97659f215ed81c9375360e1e-0-f7ee25f9668653ccd75a7366d1a9d185ab917527","223.05","10.474","36.93","33.778","","","33.778","","","","","","","","","","","30bf4cb2de25e12c97659f215ed81c9375360e1e-0-15f173825f9c0381a9be9b66ece7d9844bfeff46","30bf4cb2de25e12c97659f215ed81c9375360e1e","root","30bf4cb2de25e12c97659f215ed81c9375360e1e-5ece36014cf91b5f39eb55a500315f7be8518369"
"B-1B","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-3109faf158ed39bf8e2fe1eb34339c1d28decae0-0-c29fa080e5b6c1953d42c676e5c6a5451dd978ba","381.208","41.279","107.107","5.311","","0","5.311","2.139","1.294","1.583","0.771","0","540.692","","true","","","3109faf158ed39bf8e2fe1eb34339c1d28decae0-0-e27e58b2b65e50cdbe3a1a54f1f0b84375d46b8e","3109faf158ed39bf8e2fe1eb34339c1d28decae0","root","3109faf158ed39bf8e2fe1eb34339c1d28decae0-3395a90a58ffbb51c69752888217a459bbf0df48"
"Tactical/Mobile (TacMobile) C4I Systems","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-3342f68542a541e9fa48e1376ceda1d2ae063751-0-b4ced8d649094fc8a9949e044f0bcdbfaab2401e","25.514","17.14","11.029","0.717","","","0.717","","","","","","","","","","","3342f68542a541e9fa48e1376ceda1d2ae063751-0-6826189f6e33d0d6b9832230ad934522ef35d742","3342f68542a541e9fa48e1376ceda1d2ae063751","root","3342f68542a541e9fa48e1376ceda1d2ae063751-94892c741c47db42aa4b90d64efd97bdd85d1e43"
"MINUTEMAN Communications","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-3475a0931493a9bf43caa8a54f5fff41f7d4511e-0-8190c0b64d8269466a152a81c398970884a37dab","","0","0","6.06","","0","6.06","","","","","","","","","","","3475a0931493a9bf43caa8a54f5fff41f7d4511e-0-959532295b6fe0a7b54b916351db696b3b4e4938","3475a0931493a9bf43caa8a54f5fff41f7d4511e","root","3475a0931493a9bf43caa8a54f5fff41f7d4511e-646c93f38c17f7b8c291a1f5ffb59807f251b06a"
"Contingency Operations","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-3475a0931493a9bf43caa8a54f5fff41f7d4511e-1-dd78caf84de879d54bb57ad36780afcb590e48bb","","0","0","2.499","","0","2.499","","","","","","","","","","","3475a0931493a9bf43caa8a54f5fff41f7d4511e-1-887c2027eaaa696b9799774f261edbcd5b8304ac","3475a0931493a9bf43caa8a54f5fff41f7d4511e","root","3475a0931493a9bf43caa8a54f5fff41f7d4511e-646c93f38c17f7b8c291a1f5ffb59807f251b06a"
"Cyber Command Activities","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-3475a0931493a9bf43caa8a54f5fff41f7d4511e-2-480ba91b84d4aec6d0f6a9ffd9d91c70862fd054","","0","0","3.952","","0","3.952","","","","","","","","","","","3475a0931493a9bf43caa8a54f5fff41f7d4511e-2-99edbb707fd16ce5627282d895a62c1ed8d4e5aa","3475a0931493a9bf43caa8a54f5fff41f7d4511e","root","3475a0931493a9bf43caa8a54f5fff41f7d4511e-646c93f38c17f7b8c291a1f5ffb59807f251b06a"
"F-22A Squadrons","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-3475a0931493a9bf43caa8a54f5fff41f7d4511e-3-cd40e04867c297fe6cb85e3f93851e3b8165ef2c","","0.971","1.072","0.936","","0","0.936","","","","","","","","","","","3475a0931493a9bf43caa8a54f5fff41f7d4511e-3-25cb1b2f8d974fc14e56f2d8c43565d06c9cb1e1","3475a0931493a9bf43caa8a54f5fff41f7d4511e","root","3475a0931493a9bf43caa8a54f5fff41f7d4511e-646c93f38c17f7b8c291a1f5ffb59807f251b06a"
"AF Network Ops and Command Comms","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-3475a0931493a9bf43caa8a54f5fff41f7d4511e-4-18c1819d86140e96d4376b71586b4529529915a6","","0.559","0.846","0","","0","0","","","","","","","","","","","3475a0931493a9bf43caa8a54f5fff41f7d4511e-4-f1a64f0b6f586c48ca0b93c41fa238ba38a389da","3475a0931493a9bf43caa8a54f5fff41f7d4511e","root","3475a0931493a9bf43caa8a54f5fff41f7d4511e-646c93f38c17f7b8c291a1f5ffb59807f251b06a"
"Engineering and Installation - Air Force","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-3475a0931493a9bf43caa8a54f5fff41f7d4511e-5-eee9bc37fbde980ade8c33f3e2edbf87fe63cae9","","5.426","36.884","17.898","","0","17.898","","","","","","","","","","","3475a0931493a9bf43caa8a54f5fff41f7d4511e-5-b834fe7fee997c7ab38993bd55396e07c250fe00","3475a0931493a9bf43caa8a54f5fff41f7d4511e","root","3475a0931493a9bf43caa8a54f5fff41f7d4511e-646c93f38c17f7b8c291a1f5ffb59807f251b06a"
"Information Technology Services Management - Tactical Air Forces","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-3475a0931493a9bf43caa8a54f5fff41f7d4511e-6-7ffd8b85b06830811505190f7f9a769b97ae630c","","2.205","8.432","3.417","","15.4","18.817","","","","","","","","","","","3475a0931493a9bf43caa8a54f5fff41f7d4511e-6-50cc6b9ff7558412d806a60a2b14d1fba5d207a5","3475a0931493a9bf43caa8a54f5fff41f7d4511e","root","3475a0931493a9bf43caa8a54f5fff41f7d4511e-646c93f38c17f7b8c291a1f5ffb59807f251b06a"
"Long-Haul Communications - DCS","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-3475a0931493a9bf43caa8a54f5fff41f7d4511e-7-fd488bebe741a0c694935d2d8df06c569ccf42c0","","0.377","0.648","0.088","","0","0.088","","","","","","","","","","","3475a0931493a9bf43caa8a54f5fff41f7d4511e-7-c79787c3ec767bd362f2888bf634a30f3b3c2bbf","3475a0931493a9bf43caa8a54f5fff41f7d4511e","root","3475a0931493a9bf43caa8a54f5fff41f7d4511e-646c93f38c17f7b8c291a1f5ffb59807f251b06a"
"Theater Nuclear Weapon Storage & Security System","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-3475a0931493a9bf43caa8a54f5fff41f7d4511e-8-84d99ed872ae474ab4dc8effe7caf7bc4e4f5383","","0","0","7.163","","0","7.163","","","","","","","","","","","3475a0931493a9bf43caa8a54f5fff41f7d4511e-8-0e4fa84fc72246a01d374125a84b675bc6cadaad","3475a0931493a9bf43caa8a54f5fff41f7d4511e","root","3475a0931493a9bf43caa8a54f5fff41f7d4511e-646c93f38c17f7b8c291a1f5ffb59807f251b06a"
"Information Technology Services Management - Other","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-3475a0931493a9bf43caa8a54f5fff41f7d4511e-9-56662d79dd32c839b5c0fbac67303017e16e3775","","7.324","14.59","26.774","","0","26.774","","","","","","","","","","","3475a0931493a9bf43caa8a54f5fff41f7d4511e-9-83a8d6b4c0dc1eb18c18d5fab783005270b79af8","3475a0931493a9bf43caa8a54f5fff41f7d4511e","root","3475a0931493a9bf43caa8a54f5fff41f7d4511e-646c93f38c17f7b8c291a1f5ffb59807f251b06a"
"Information Technology Services Management - Mobility Air Forces","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-3475a0931493a9bf43caa8a54f5fff41f7d4511e-10-588fb99d0d3f2e8dbe900fb9ffdfe283d880b5a2","","0.854","0.853","0.733","","0","0.733","","","","","","","","","","","3475a0931493a9bf43caa8a54f5fff41f7d4511e-10-9444f423268d0ce1fe67e70e05a5b1cb261769ff","3475a0931493a9bf43caa8a54f5fff41f7d4511e","root","3475a0931493a9bf43caa8a54f5fff41f7d4511e-646c93f38c17f7b8c291a1f5ffb59807f251b06a"
"Information Technology Services Management - AFR","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-3475a0931493a9bf43caa8a54f5fff41f7d4511e-11-48fc06d79ffab223a8d95fd271de8309ca27fba0","","0.241","0.319","0.324","","0","0.324","","","","","","","","","","","3475a0931493a9bf43caa8a54f5fff41f7d4511e-11-71bbc8c4b059e01e4315a8aaae1ab9b1703af3f1","3475a0931493a9bf43caa8a54f5fff41f7d4511e","root","3475a0931493a9bf43caa8a54f5fff41f7d4511e-646c93f38c17f7b8c291a1f5ffb59807f251b06a"
"Information Technology Services Management - ANG","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-3475a0931493a9bf43caa8a54f5fff41f7d4511e-12-635d0e9c45727199a8434c430aab9663d27110e1","","41.286","23.129","4.637","","0","4.637","","","","","","","","","","","3475a0931493a9bf43caa8a54f5fff41f7d4511e-12-90136fe67a2a3504d4b1d4069ffbe43adc1ffcd5","3475a0931493a9bf43caa8a54f5fff41f7d4511e","root","3475a0931493a9bf43caa8a54f5fff41f7d4511e-646c93f38c17f7b8c291a1f5ffb59807f251b06a"
"Information Technology Services Management - Logistics","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-3475a0931493a9bf43caa8a54f5fff41f7d4511e-13-7b6bf4b0e1e973f3026907a189f5c9ac68a36214","","1.985","2.263","1.77","","0","1.77","","","","","","","","","","","3475a0931493a9bf43caa8a54f5fff41f7d4511e-13-1fde9341748b0df376606afb51f163ea766a515a","3475a0931493a9bf43caa8a54f5fff41f7d4511e","root","3475a0931493a9bf43caa8a54f5fff41f7d4511e-646c93f38c17f7b8c291a1f5ffb59807f251b06a"
"Information Technology Services Management - Training","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-3475a0931493a9bf43caa8a54f5fff41f7d4511e-14-53a6f83cbe850e9dc9cf7ec81127f86f233c48d4","","1.89","2.453","0.759","","0","0.759","","","","","","","","","","","3475a0931493a9bf43caa8a54f5fff41f7d4511e-14-71eff998bf3e5cadf21a8d902a06fc55b351732e","3475a0931493a9bf43caa8a54f5fff41f7d4511e","root","3475a0931493a9bf43caa8a54f5fff41f7d4511e-646c93f38c17f7b8c291a1f5ffb59807f251b06a"
"EOD Systems","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-34b9155608155f32c3997734360d7d4fdd856284-0-aa7a5f5f2a3fb8183ccb49e6fb104daa9d2e408f","8170.461","82.158","12.094","7.666","","","7.666","","","","","","","","","","","34b9155608155f32c3997734360d7d4fdd856284-0-500980c4960826db52d96fc44d7117cdb209f68d","34b9155608155f32c3997734360d7d4fdd856284","root","34b9155608155f32c3997734360d7d4fdd856284-7e046ed682bc937bddaf95b380e8fde0edd85a9c"
"RQ-4 MODS","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-35617ec48a49a411cef9f8cfb36dfe25540efc93-0-1fe6bf3b2135cc63dc7de687aa751c04981d28f3","384.71","9.313","21.354","4.715","","0","4.715","17.424","78.634","62.679","59.677","634.126","1272.632","","true","","","35617ec48a49a411cef9f8cfb36dfe25540efc93-0-98afa44522bba3d566ebe41491cd4b6124f6d9f8","35617ec48a49a411cef9f8cfb36dfe25540efc93","root","35617ec48a49a411cef9f8cfb36dfe25540efc93-f48ef2a8bb8b20fdfc6f8284bb9f7fd7fa406bf8"
"Materials Handling Equipment","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-35c9d2766e6a8e66a030cad81d3634234295a14d-0-0e9dbe9251ed8d8df0d6cdc85ded5f77085c3739","3.522","6.34","10.937","18.805","","","18.805","","","","","","","","","","","35c9d2766e6a8e66a030cad81d3634234295a14d-0-527711acbd9479e11141ffa31b3efecb68317d3f","35c9d2766e6a8e66a030cad81d3634234295a14d","root","35c9d2766e6a8e66a030cad81d3634234295a14d-109fe2f3fdf7e5cd8c47c4e593efd6209f5f31f2"
"Other Aviation Support Equipment","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-36761bdbfca7c271632f4dd9963ee82627e04578-0-c251e619a6999d0dbc81bbc9283c312fed3c340a","159.471","2.412","","","","","","","","","","","","","","","","36761bdbfca7c271632f4dd9963ee82627e04578-0-f5bac6b9d76a4b2bf825352c22415a43d5fe0773","36761bdbfca7c271632f4dd9963ee82627e04578","root","36761bdbfca7c271632f4dd9963ee82627e04578-1528c9b00bcaccca6b524d82aa803f5f3022038e"
"COMPASS CALL Mods","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-37915bb7403748a17483c9adb058fd31d24b127f-0-7c84057a7e3c5cd8d606e85b48a7972eea289d89","0","0","0","0","","0","0","0","0","18.46","19.285","0","37.745","","true","","","37915bb7403748a17483c9adb058fd31d24b127f-0-77560a56cf30ff370cc975ac3a8c4617e20516b1","37915bb7403748a17483c9adb058fd31d24b127f","root","37915bb7403748a17483c9adb058fd31d24b127f-d467a8c5925d26dfa90b59093e617b4aeb9ddc63"
"Non-Standard Aviation","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-37d3d11a7b8579ac7f0639c10933606fbe94050c-0-277010e7640bce7feaa6de3d81e397d5cf45c138","710.794","2.65","30.2","61.275","","","61.275","20.7","4.931","4.933","5.033","","","true","","","","37d3d11a7b8579ac7f0639c10933606fbe94050c-0-9e97362ff85f784919902a257f16adeb6f84c90a","37d3d11a7b8579ac7f0639c10933606fbe94050c","root","37d3d11a7b8579ac7f0639c10933606fbe94050c-7945a60a08e66908e9963f8e8011bab434539610"
"DRUG INTERDICTION SPT","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-398c175252e83b2e8fd284dba542f1cbed19d91b-0-da243b18d6ad97a92277d2b84c266d0217ed60b5","","32.768","","","","","","","","","","","","","","","","398c175252e83b2e8fd284dba542f1cbed19d91b-0-b8fe54fdbc707e8c6424cb0d0401c20e6a88b9f7","398c175252e83b2e8fd284dba542f1cbed19d91b","root","398c175252e83b2e8fd284dba542f1cbed19d91b-126e6bd3fea408cba314cfb9ffb9d93d11814267"
